Date,Mobility
15-02-2020,30095902.949451443
16-02-2020,30124162.63332728
17-02-2020,30170329.768858604
18-02-2020,30158897.637286022
19-02-2020,29345053.01623971
20-02-2020,30402515.82200134
21-02-2020,27913749.157253474
22-02-2020,28737400.982221927
23-02-2020,29931383.686224427
24-02-2020,29592099.346607238
25-02-2020,29903847.320998136
26-02-2020,30293532.28898677
27-02-2020,30051799.35081158
28-02-2020,30161684.492827043
29-02-2020,29918066.308111724
01-03-2020,29988081.34432744
02-03-2020,29090904.308952708
03-03-2020,29936518.788065422
04-03-2020,30769076.207955137
05-03-2020,30724972.609315272
06-03-2020,31044642.54108819
07-03-2020,30428166.940687504
08-03-2020,30836304.38862984
09-03-2020,29345231.306591053
10-03-2020,21197551.387053207
11-03-2020,30389921.762538195
12-03-2020,30144678.650172442
13-03-2020,30272292.953492057
14-03-2020,29632953.08994622
15-03-2020,30486026.5266811
16-03-2020,30405302.677542362
17-03-2020,29666786.484904088
18-03-2020,30140705.47622202
19-03-2020,29399402.42804274
20-03-2020,29402189.283583757
21-03-2020,25795930.27113201
22-03-2020,21244856.059956282
23-03-2020,23474445.334633335
24-03-2020,21839914.034510914
25-03-2020,20643583.08420843
26-03-2020,21388396.30657827
27-03-2020,21211282.983888105
28-03-2020,21300652.10905841
29-03-2020,22379354.250314757
30-03-2020,21459312.951794874
31-03-2020,21336110.43166671
01-04-2020,21446718.892331723
02-04-2020,21217580.013619684
03-04-2020,21638051.202135473
04-04-2020,21856919.87716551
05-04-2020,22689216.97816553
06-04-2020,21280574.70145427
07-04-2020,21720660.29781434
08-04-2020,22251276.947235283
09-04-2020,22324078.83899201
10-04-2020,22048512.50585896
11-04-2020,22212308.45043642
12-04-2020,23721288.98413069
13-04-2020,22705581.53070894
14-04-2020,22244979.91750371
15-04-2020,23235036.2522393
16-04-2020,22723310.69201309
17-04-2020,22791440.48168867
18-04-2020,22854435.16952326
19-04-2020,23785908.599615715
20-04-2020,23146568.736069888
21-04-2020,22820601.774565395
22-04-2020,22926075.13338941
23-04-2020,23115782.51554273
24-04-2020,23177615.275486737
25-04-2020,23031548.49221343
26-04-2020,24288988.88381037
27-04-2020,23167808.071564604
28-04-2020,23245745.06516233
29-04-2020,23682320.48733183
30-04-2020,23380379.71686307
01-05-2020,22947314.468884125
02-05-2020,23571712.026666824
03-05-2020,24739783.293093465
04-05-2020,24136625.070805486
05-05-2020,24073630.382970896
06-05-2020,25175457.106262077
07-05-2020,24898265.84547859
08-05-2020,25243586.89593767
09-05-2020,24839682.940835454
10-05-2020,25211817.03787127
11-05-2020,25053879.513784353
12-05-2020,24805849.54587759
13-05-2020,25527798.50510228
14-05-2020,25264826.231432382
15-05-2020,25599438.46896843
16-05-2020,25545527.66640643
17-05-2020,27171413.690497294
18-05-2020,25634896.791576732
19-05-2020,25308929.83007224
20-05-2020,26003342.42407065
21-05-2020,26120247.914467238
22-05-2020,27176809.111227985
23-05-2020,26985476.80142423
24-05-2020,28685789.644922256
25-05-2020,25318737.033994384
26-05-2020,27086278.05816711
27-05-2020,27969236.10642825
28-05-2020,28053470.129757553
29-05-2020,23561904.82274468
30-05-2020,23608795.276925553
31-05-2020,25790949.06912352
01-06-2020,27608712.431316346
02-06-2020,27507911.17457347
03-06-2020,27705540.5141088
04-06-2020,27882653.836798962
05-06-2020,27899221.07021254
06-06-2020,27949621.698583975
07-06-2020,29510164.788540263
08-06-2020,28095688.481857285
09-06-2020,27787450.681656945
10-06-2020,28228698.205907594
11-06-2020,27579551.13843962
12-06-2020,27389843.75628631
13-06-2020,27169350.153605834
14-06-2020,29004297.648804598
15-06-2020,27099335.11739012
16-06-2020,27628789.838920478
17-06-2020,28443618.097506043
18-06-2020,27480374.809347186
19-06-2020,25701141.334712196
20-06-2020,25886176.61478437
21-06-2020,27292007.64543578
22-06-2020,28149599.284419287
23-06-2020,27835064.454487372
24-06-2020,28451540.054888055
25-06-2020,27886627.010749385
26-06-2020,27915788.30362611
27-06-2020,27368604.420791596
28-06-2020,28886668.83975846
29-06-2020,27248188.75620444
30-06-2020,27185194.06836985
01-07-2020,26638010.185535334
02-07-2020,27449328.269930333
03-07-2020,27240266.798822433
04-07-2020,27814987.046883237
05-07-2020,29890042.552606754
06-07-2020,24077318.847512797
07-07-2020,23640743.42534329
08-07-2020,24082453.949353795
09-07-2020,24355233.426945835
10-07-2020,24567805.072244298
11-07-2020,23756486.987849303
12-07-2020,25915776.516902123
13-07-2020,24429660.246352997
14-07-2020,24429660.246352997
15-07-2020,24900069.063480362
16-07-2020,24823293.99777322
17-07-2020,24686335.490291324
18-07-2020,24620992.55615675
19-07-2020,26399242.393252496
20-07-2020,27272214.94724017
21-07-2020,27590259.951362647
22-07-2020,28281885.68982004
23-07-2020,27758727.99802125
