Date,Mobility
15-02-2020,61346377.2282127
16-02-2020,59813109.47662657
17-02-2020,61376999.786826804
18-02-2020,61352128.22505068
19-02-2020,58685485.49667194
20-02-2020,60950115.56381986
21-02-2020,57240218.04090461
22-02-2020,59156445.950397514
23-02-2020,60033202.34137306
24-02-2020,61533963.917530626
25-02-2020,61250658.21473709
26-02-2020,60693649.14362128
27-02-2020,61015212.018681355
28-02-2020,62077587.378156014
29-02-2020,61811518.62348617
01-03-2020,61009461.02184337
02-03-2020,62094824.3262797
03-03-2020,61903386.2993285
04-03-2020,62548479.770267464
05-03-2020,61794281.675362475
06-03-2020,62487234.653039254
07-03-2020,62447009.75995388
08-03-2020,61692811.66504888
09-03-2020,61738703.45096786
10-03-2020,57102306.41352481
11-03-2020,61746422.16862468
12-03-2020,61754056.78227711
13-03-2020,55624600.84394302
14-03-2020,60117351.29955857
15-03-2020,60530849.91207508
16-03-2020,61271594.33487556
17-03-2020,59305691.36344452
18-03-2020,59116136.95330776
19-03-2020,57904432.07678171
20-03-2020,58046042.87617629
21-03-2020,55999690.118574515
22-03-2020,38744444.96835176
23-03-2020,47657230.85345921
24-03-2020,41650181.04557718
25-03-2020,38771064.02371411
26-03-2020,40116829.18998668
27-03-2020,39779912.983617365
28-03-2020,39354912.377424866
29-03-2020,40920922.574062414
30-03-2020,40568584.97476974
31-03-2020,40455629.01317045
01-04-2020,40384781.56147096
02-04-2020,39613346.51844228
03-04-2020,40786794.22270178
04-04-2020,41636711.331082374
05-04-2020,42165217.73002139
06-04-2020,41707558.78278186
07-04-2020,42624472.00522867
08-04-2020,42396660.422825366
09-04-2020,42647375.84618597
10-04-2020,41648129.220753975
11-04-2020,42341082.19843075
12-04-2020,43884104.45010662
13-04-2020,43681096.36786533
14-04-2020,42662729.17749521
15-04-2020,44314703.88751861
16-04-2020,42963271.828412436
17-04-2020,43215954.972591855
18-04-2020,42289439.41567379
19-04-2020,43407545.16516155
20-04-2020,44092711.3635674
21-04-2020,43405509.382728614
22-04-2020,43734706.87144112
23-04-2020,43058990.84188804
24-04-2020,43861048.44353083
25-04-2020,43192967.02763018
26-04-2020,44351213.56619892
27-04-2020,44887134.35155777
28-04-2020,44490872.68716495
29-04-2020,44192213.65306217
30-04-2020,44617214.25925466
01-05-2020,42720191.018704265
02-05-2020,44839274.84481996
03-05-2020,45744838.23920929
04-05-2020,48357734.34078403
05-05-2020,48639156.42676312
06-05-2020,50488320.1605757
07-05-2020,49707282.78307575
08-05-2020,50890332.82180652
09-05-2020,50072921.88885447
10-05-2020,50775545.26261661
11-05-2020,51474181.175517276
12-05-2020,51166003.91094762
13-05-2020,51527791.679093055
14-05-2020,50867344.87684484
15-05-2020,51975696.126242846
16-05-2020,51757486.87831081
