Date,Mobility
15-02-2020,38750032.67553755
16-02-2020,38521974.65251869
17-02-2020,38878794.9079046
18-02-2020,39031231.689080626
19-02-2020,35814059.36914372
20-02-2020,38710348.856293134
21-02-2020,35851019.352728
22-02-2020,36772789.360067196
23-02-2020,37849892.09503556
24-02-2020,38196322.862099305
25-02-2020,38622293.37844487
26-02-2020,38418760.72871638
27-02-2020,38620419.99297762
28-02-2020,39184519.29473803
29-02-2020,38566428.17797201
01-03-2020,38282505.3287688
02-03-2020,39034978.46001515
03-03-2020,38596745.44416864
04-03-2020,39013177.296673425
05-03-2020,38943176.21123238
06-03-2020,39332186.74399366
07-03-2020,38793635.37650949
08-03-2020,39281090.8754412
09-03-2020,38929040.32626419
10-03-2020,35052219.684849575
11-03-2020,38590102.72678099
12-03-2020,38686674.30748415
13-03-2020,33448656.345393453
14-03-2020,37833882.82460012
15-03-2020,38851373.96244961
16-03-2020,39468614.254734255
17-03-2020,38123597.940998115
18-03-2020,37101337.84551673
19-03-2020,37557625.25377044
20-03-2020,38015786.4217799
21-03-2020,32801270.89770518
22-03-2020,25267000.92140089
23-03-2020,29255722.951688733
24-03-2020,26220282.4924271
25-03-2020,24666113.746849194
26-03-2020,25500000.012844637
27-03-2020,25974170.077001046
28-03-2020,25561484.99543078
29-03-2020,26575057.251552746
30-03-2020,26359434.21311632
31-03-2020,26087773.863414034
01-04-2020,25952368.91365933
02-04-2020,25457420.247147083
03-04-2020,26064099.31460506
04-04-2020,25965654.348434635
05-04-2020,26688661.037965737
06-04-2020,25883390.76349266
07-04-2020,26826111.1096922
08-04-2020,26753214.07779801
09-04-2020,27036286.476808347
10-04-2020,26818617.942111667
11-04-2020,26813848.610191274
12-04-2020,28612084.649223477
13-04-2020,27673282.81046295
14-04-2020,27029643.759420697
15-04-2020,27877665.91038433
16-04-2020,25716645.986555442
17-04-2020,25840638.8870021
18-04-2020,25477176.288517043
19-04-2020,26736860.960065063
20-04-2020,26435055.454959143
21-04-2020,26353642.320210047
22-04-2020,26404738.188762516
23-04-2020,26484277.938044358
24-04-2020,26798518.053444203
25-04-2020,26039402.2048102
26-04-2020,26991489.478346035
27-04-2020,26478658.15593108
28-04-2020,26502332.704740062
29-04-2020,26565691.072793454
30-04-2020,26694453.305160508
01-05-2020,26320601.218353283
02-05-2020,26805160.77083186
03-05-2020,28047813.610958558
04-05-2020,29520741.332580373
05-05-2020,29940069.13153829
06-05-2020,30651835.882554345
07-05-2020,28864839.782037184
08-05-2020,29422296.36640995
09-05-2020,28588410.1004145
10-05-2020,27406047.94538356
11-05-2020,30403850.08166103
12-05-2020,29958974.34842687
13-05-2020,31006782.378184486
14-05-2020,30692542.262784645
15-05-2020,29973110.233395055
16-05-2020,29485654.734463345
17-05-2020,27980536.361177646
18-05-2020,30978338.49745512
19-05-2020,30343215.54926777
20-05-2020,31329538.596439246
21-05-2020,31162965.930295035
22-05-2020,30837313.765587136
23-05-2020,29780989.63297461
24-05-2020,29233750.42613102
25-05-2020,28136891.64979269
26-05-2020,30610106.56704966
27-05-2020,31204523.135006715
28-05-2020,32041305.347455297
29-05-2020,32134980.981705327
