Date,Mobility
15-02-2020,198426326.16915634
16-02-2020,193213301.18067712
17-02-2020,194757989.0187103
18-02-2020,195437090.77866477
19-02-2020,186398257.5894782
20-02-2020,194816740.5452088
21-02-2020,179290560.14184853
22-02-2020,190700741.2264056
23-02-2020,193227097.43370256
24-02-2020,194940589.83668762
25-02-2020,194685441.23918632
26-02-2020,196312589.60962203
27-02-2020,194247691.8237077
28-02-2020,197674676.6296779
29-02-2020,197529581.07062995
01-03-2020,196398933.6421714
02-03-2020,195706035.62919152
03-03-2020,196654082.2396727
04-03-2020,199484425.8180909
05-03-2020,198184973.82468048
06-03-2020,197857277.44765517
07-03-2020,197857277.44765517
08-03-2020,195574736.323169
09-03-2020,192058944.74631462
10-03-2020,132273890.7309998
11-03-2020,190078970.23113763
12-03-2020,189813908.88075778
13-03-2020,191017104.08874026
14-03-2020,182198376.97646037
15-03-2020,181580489.48133928
16-03-2020,180740033.1709766
17-03-2020,174751649.6371149
18-03-2020,168166624.87570125
19-03-2020,159771850.9258746
20-03-2020,147795083.85815123
21-03-2020,124251706.63213232
22-03-2020,94035539.8503384
23-03-2020,104298089.52430373
24-03-2020,99330300.38044724
25-03-2020,91738477.48205383
26-03-2020,94910313.69052272
27-03-2020,95872156.55402933
28-03-2020,94168576.90392281
29-03-2020,100524307.82632408
30-03-2020,95603211.70350261
31-03-2020,94582617.31349745
01-04-2020,93548226.67046686
02-04-2020,92276367.18310723
03-04-2020,94851562.16402416
04-04-2020,94861474.91690274
05-04-2020,100793252.67685078
06-04-2020,93224413.79358844
07-04-2020,93138069.76103906
08-04-2020,92358827.71550977
09-04-2020,93210617.54056303
10-04-2020,90576671.03314756
11-04-2020,90076286.59102356
12-04-2020,95739119.5004449
13-04-2020,91862326.7735326
14-04-2020,89542280.39011697
15-04-2020,92613976.31301108
16-04-2020,91352029.57853001
17-04-2020,91876123.02655801
18-04-2020,92141184.37693788
19-04-2020,97890361.31890862
20-04-2020,92300076.18901123
21-04-2020,92131271.62405932
22-04-2020,92555224.78651252
23-04-2020,92131271.62405932
24-04-2020,93165662.26708989
25-04-2020,91279481.79900606
26-04-2020,96432017.51342483
27-04-2020,91876123.02655801
28-04-2020,91889919.27958344
29-04-2020,91352029.57853001
30-04-2020,92641568.81906189
01-05-2020,91283365.2991529
02-05-2020,93854676.77992298
03-05-2020,99603853.7218937
04-05-2020,95530663.92397866
05-05-2020,95275515.32647735
06-05-2020,94241124.6834468
07-05-2020,93210617.54056303
08-05-2020,96820203.16451053
09-05-2020,94678874.0989254
10-05-2020,99845206.0663696
11-05-2020,95275515.32647735
12-05-2020,96054757.37200664
13-05-2020,95261719.07345195
14-05-2020,96054757.37200664
15-05-2020,97782046.02801716
16-05-2020,97778162.52787031
17-05-2020,103199643.09281579
18-05-2020,98702500.13244754
19-05-2020,98716296.38547295
20-05-2020,97668109.48941696
21-05-2020,98205999.19047035
22-05-2020,99409194.39845288
23-05-2020,98726209.13835151
24-05-2020,107502126.7297432
25-05-2020,94341264.96902157
26-05-2020,99564202.71037938
27-05-2020,100243304.47033387
28-05-2020,100526045.57388599
29-05-2020,101984389.37936978
30-05-2020,103635246.7557095
31-05-2020,113031514.5805571
01-06-2020,104290639.50975999
02-06-2020,102577147.10677493
03-06-2020,93882269.2859738
04-06-2020,102422138.7948484
05-06-2020,110196562.51121914
06-06-2020,110813029.24452825
07-06-2020,119457647.52989742
08-06-2020,114626461.95402223
09-06-2020,114371313.35652094
10-06-2020,116071009.50648062
11-06-2020,115647056.3440274
12-06-2020,117870845.94201508
13-06-2020,117894554.94791909
14-06-2020,125132130.93975925
15-06-2020,117784501.90946572
16-06-2020,116157353.53903
17-06-2020,118281002.85144287
18-06-2020,112088772.23203473
19-06-2020,119060244.89697218
20-06-2020,119859312.44825861
21-06-2020,122411840.3997944
22-06-2020,119994495.25442797
23-06-2020,118791300.04644546
24-06-2020,121111346.42986108
25-06-2020,119242845.71494949
26-06-2020,120701189.5204333
27-06-2020,120200805.07830928
28-06-2020,125300935.50471117
29-06-2020,118391055.88989624
30-06-2020,116691359.73993656
01-07-2020,117794414.66234428
02-07-2020,116691359.73993656
03-07-2020,110571676.90005237
04-07-2020,111908634.15239224
05-07-2020,117175106.40541118
06-07-2020,119156501.68240014
07-07-2020,114212421.54444762
08-07-2020,119325306.24735203
09-07-2020,119156501.68240014
10-07-2020,120869994.0853852
11-07-2020,120638554.4937879
12-07-2020,118619653.95786957
13-07-2020,120345900.63735722
14-07-2020,115415616.75243011
15-07-2020,113702124.34944504
16-07-2020,114395022.36242492
17-07-2020,120628641.74090932
18-07-2020,123541445.85173008
19-07-2020,123549937.84279668
20-07-2020,123335136.02784878
21-07-2020,121621643.62486367
22-07-2020,122993643.39779808
23-07-2020,121366495.02736239
24-07-2020,122824838.83284618
25-07-2020,122155649.82577024
26-07-2020,122601891.23231547
27-07-2020,119397854.02687602
28-07-2020,116181062.54493399
29-07-2020,123307543.52179794
30-07-2020,122190692.3463648
31-07-2020,125872825.74983627
01-08-2020,117160268.17586292
02-08-2020,126132582.83825733
03-08-2020,115833223.67640166
04-08-2020,106910789.76415005
05-08-2020,108233950.76346451
06-08-2020,112812829.26546238
07-08-2020,124838435.10680568
08-08-2020,127072137.45767194
09-08-2020,129983520.80668072
10-08-2020,128551727.53072488
11-08-2020,127034632.19874254
12-08-2020,117146471.92283751
13-08-2020,126282982.65926407
14-08-2020,125007239.67175761
15-08-2020,113344372.7280341
16-08-2020,130238669.404182
17-08-2020,125758889.21123607
18-08-2020,127472381.61422117
19-08-2020,129172077.76418084
20-08-2020,125248592.0162335
21-08-2020,125262388.2692589
22-08-2020,113271824.94851016
23-08-2020,129386879.57912874
24-08-2020,128647984.31615284
25-08-2020,129172077.76418084
26-08-2020,128575436.5366289
27-08-2020,126693139.56869188
28-08-2020,118642320.98725069
29-08-2020,124726961.30654034
30-08-2020,129218075.01417683
31-08-2020,131309523.32961914
01-09-2020,124969734.41282822
02-09-2020,133505720.421556
03-09-2020,131819820.52462171
04-09-2020,133533312.9276068
05-09-2020,133908427.31644005
06-09-2020,135155157.0360837
