Date,Mobility
15-02-2020,52796028.17857385
16-02-2020,52003602.04337294
17-02-2020,52927285.24823826
18-02-2020,52576608.936555386
19-02-2020,50046344.12921238
20-02-2020,52651689.57688229
21-02-2020,50006623.55371107
22-02-2020,50521991.84926948
23-02-2020,51625373.720651954
24-02-2020,52459895.56720465
25-02-2020,52534976.20753155
26-02-2020,53521108.50593264
27-02-2020,52359638.05169011
28-02-2020,52890013.02989013
29-02-2020,51996866.396846734
01-03-2020,51286329.769801624
02-03-2020,52639594.23372179
03-03-2020,52703042.513216145
04-03-2020,54393438.77446409
05-03-2020,53596189.146259524
06-03-2020,53939593.60778557
07-03-2020,52667682.44839055
08-03-2020,52843020.60423198
09-03-2020,52172667.53501612
10-03-2020,36595892.54079711
11-03-2020,52995094.038408324
12-03-2020,50816954.71394277
13-03-2020,52838660.09355627
14-03-2020,50533624.21010202
15-03-2020,51178800.40413025
16-03-2020,51726094.21849442
17-03-2020,50400917.96924301
18-03-2020,49765461.9825248
19-03-2020,48977396.3579996
20-03-2020,49817277.9011866
21-03-2020,42558302.80696988
22-03-2020,34105957.73388873
23-03-2020,37571927.867954865
24-03-2020,34433832.30623445
25-03-2020,33651126.37834355
26-03-2020,34555905.37221949
27-03-2020,34581082.24740712
28-03-2020,34141780.78104226
29-03-2020,36125214.75634904
30-03-2020,35006839.1994169
31-03-2020,34628074.67306527
01-04-2020,35202993.71977025
02-04-2020,34455647.85670495
03-04-2020,35317794.93559846
04-04-2020,35221897.93075964
05-04-2020,36994633.68539939
06-04-2020,35002478.688741185
07-04-2020,36598890.098672844
08-04-2020,36849308.89484119
09-04-2020,37230984.76067394
10-04-2020,36569352.7128095
11-04-2020,36513176.28347199
12-04-2020,39422205.61716663
13-04-2020,37953153.7485516
14-04-2020,36812499.658820994
15-04-2020,38329006.93542211
16-04-2020,36426000.2999846
17-04-2020,36493809.090154655
18-04-2020,36058868.134465516
19-04-2020,38166287.32927987
20-04-2020,37255698.65353362
21-04-2020,36626515.331013665
22-04-2020,36437632.66081714
23-04-2020,35629749.85773861
24-04-2020,36372735.210128196
25-04-2020,35750823.73776507
26-04-2020,38084934.02475472
27-04-2020,36380007.06028503
28-04-2020,36344646.99545944
29-04-2020,37174345.34900847
30-04-2020,36795580.82265685
01-05-2020,35750823.73776507
02-05-2020,35874345.9749447
03-05-2020,37645632.55838986
04-05-2020,36424088.14646205
05-05-2020,35937794.25443905
06-05-2020,37457212.870521285
07-05-2020,36480264.57579956
08-05-2020,37442669.17020761
09-05-2020,37099264.708681576
10-05-2020,39433374.99567123
11-05-2020,37746353.05623234
12-05-2020,37881970.63657247
13-05-2020,38840014.7203048
14-05-2020,38822109.695274
15-05-2020,39429477.46732345
16-05-2020,38915095.3606317
17-05-2020,41101955.706448674
18-05-2020,40104654.02954298
19-05-2020,40268359.824551865
20-05-2020,41173138.81842781
21-05-2020,40511506.77056337
22-05-2020,41173138.81842781
23-05-2020,41229315.247765325
24-05-2020,44038087.065945424
25-05-2020,39598006.75533601
26-05-2020,42505586.91783605
27-05-2020,43538711.64189529
28-05-2020,43602159.92138964
29-05-2020,44120902.53875711
30-05-2020,44288968.84444171
31-05-2020,46422564.10040229
01-06-2020,44863887.8911467
02-06-2020,43924748.018403746
03-06-2020,45661137.51935125
04-06-2020,44971417.25681806
05-06-2020,45553608.153679885
06-06-2020,45242652.41749832
07-06-2020,46854593.716610305
08-06-2020,45674682.03370634
09-06-2020,45060042.41150005
10-06-2020,46093167.13555928
11-06-2020,45413630.062664054
12-06-2020,45838387.82871523
13-06-2020,44669645.52431587
14-06-2020,47186365.81730379
15-06-2020,44620740.94513519
16-06-2020,44984961.77117315
17-06-2020,45850020.18954778
18-06-2020,45406358.21250721
19-06-2020,46224424.2052237
20-06-2020,45370998.147681616
21-06-2020,47004754.9972641
22-06-2020,46345498.08525016
23-06-2020,45927012.983397216
24-06-2020,47142747.71345472
25-06-2020,46237968.71957878
26-06-2020,46716990.76144495
27-06-2020,45419902.7268623
28-06-2020,47350071.61231268
29-06-2020,46413306.87542022
30-06-2020,46013725.98455667
01-07-2020,46738806.31191546
02-07-2020,46528108.09124842
03-07-2020,46818247.46291807
04-07-2020,47110298.988110244
05-07-2020,48540629.46718255
06-07-2020,47082210.773441486
07-07-2020,46663725.671588555
08-07-2020,47432887.08512436
09-07-2020,46378945.99655321
10-07-2020,46825519.3130749
11-07-2020,47358269.42712542
12-07-2020,50204849.66728428
13-07-2020,35900522.03609092
14-07-2020,36239565.98694124
15-07-2020,36868749.309461206
16-07-2020,37139984.47014146
17-07-2020,37429124.65585253
18-07-2020,36982551.33933083
19-07-2020,39344749.84098924
20-07-2020,37536654.02152389
21-07-2020,38111573.068228886
22-07-2020,38569778.745583124
23-07-2020,38336814.98920958
