Date,Mobility
15-02-2020,24975823.69987324
16-02-2020,24651536.331467446
17-02-2020,25248032.823520586
18-02-2020,24702802.245448332
19-02-2020,23708919.376637403
20-02-2020,25092297.3785653
21-02-2020,24093303.027037468
22-02-2020,24318888.15723455
23-02-2020,25078825.09002129
24-02-2020,25331980.88022144
25-02-2020,25040062.613078102
26-02-2020,25333449.021047782
27-02-2020,24948566.08132769
28-02-2020,25286482.25900625
29-02-2020,25156536.29177017
01-03-2020,25514318.13367348
02-03-2020,25709315.344891977
03-03-2020,25462895.698963832
04-03-2020,25918097.886112012
05-03-2020,25592185.856151123
06-03-2020,25781259.253875166
07-03-2020,25274634.63201734
08-03-2020,25086373.56507085
09-03-2020,25209084.09871489
10-03-2020,22935823.196764167
11-03-2020,24963163.742106773
12-03-2020,24546410.990444258
13-03-2020,24831436.59258683
14-03-2020,24702302.956128307
15-03-2020,25234560.53497657
16-03-2020,25273978.82196855
17-03-2020,24877904.065308336
18-03-2020,25678228.13659336
19-03-2020,25047581.36099391
20-03-2020,25410631.206342887
21-03-2020,24429095.253840894
22-03-2020,18286618.478089117
23-03-2020,20610721.548106615
24-03-2020,19166591.454135645
25-03-2020,18229085.982022505
26-03-2020,18423926.672512244
27-03-2020,18827706.424950775
28-03-2020,18722737.60465635
29-03-2020,19658305.37375687
30-03-2020,19112888.547822107
31-03-2020,19029596.30117004
01-04-2020,18742946.037472364
02-04-2020,18476161.437999442
03-04-2020,19158886.45835733
04-04-2020,19125548.50558857
05-04-2020,20314585.106346764
06-04-2020,19165123.3133093
07-04-2020,19347959.85608137
08-04-2020,19458353.20055023
09-04-2020,19431252.10273344
10-04-2020,19009387.86835402
11-04-2020,18591822.78591396
12-04-2020,19761306.763904925
13-04-2020,19442756.96113108
14-04-2020,18592635.116691507
15-04-2020,20205473.654841743
16-04-2020,18507561.68775558
17-04-2020,18683662.086255644
18-04-2020,17849813.814339347
19-04-2020,18875566.4950927
20-04-2020,17861974.482785776
21-04-2020,18298935.66726431
22-04-2020,18162097.035027463
23-04-2020,17719055.516325716
24-04-2020,17927681.536816992
25-04-2020,17751581.138316926
26-04-2020,19032114.27082553
27-04-2020,18544856.023872424
28-04-2020,18447934.967947587
