Date,Mobility
15-02-2020,25528015.93024337
16-02-2020,25680152.976889018
17-02-2020,26052232.748163518
18-02-2020,25830110.407699298
19-02-2020,24543753.046305433
20-02-2020,25626258.465679865
21-02-2020,23085689.336368393
22-02-2020,24418343.077168703
23-02-2020,25238542.07460862
24-02-2020,25507378.985549383
25-02-2020,25605830.616520926
26-02-2020,25205933.959819824
27-02-2020,25198985.279743478
28-02-2020,25690803.078409877
29-02-2020,25559325.141579434
01-03-2020,25119662.59447814
02-03-2020,25612129.844870906
03-03-2020,25534106.0630583
04-03-2020,26144153.890128814
05-03-2020,25586910.76634977
06-03-2020,25750347.366242643
07-03-2020,25769916.66814016
08-03-2020,26721615.76753175
09-03-2020,25499571.758211624
10-03-2020,23512103.975043368
11-03-2020,25566923.27338215
12-03-2020,25802733.878464013
13-03-2020,22566054.652275395
14-03-2020,25145971.480916962
15-03-2020,25572363.95447071
16-03-2020,26090281.54404088
17-03-2020,25414599.296322674
18-03-2020,26004450.534890518
19-03-2020,25170772.368368
20-03-2020,25333999.872725826
21-03-2020,22748433.267460648
22-03-2020,18586840.156253174
23-03-2020,20861401.442185618
24-03-2020,19291638.19285072
25-03-2020,18581421.64028583
26-03-2020,19113005.329352424
27-03-2020,19198627.242967736
28-03-2020,19388581.824834477
29-03-2020,19625878.263782904
30-03-2020,19808465.974503204
31-03-2020,18599251.682539303
01-04-2020,19887997.755303588
02-04-2020,19277091.38097166
03-04-2020,19637640.338342667
04-04-2020,18750508.016802315
05-04-2020,19079516.502180982
06-04-2020,19919747.32283097
07-04-2020,20708428.013399776
08-04-2020,20641935.045490667
09-04-2020,20595429.57054918
10-04-2020,20096013.640080072
11-04-2020,20660205.443935458
12-04-2020,21291517.5023051
13-04-2020,20811461.77819847
14-04-2020,20162506.60798918
15-04-2020,21193297.131989833
16-04-2020,21016172.267479315
17-04-2020,20799490.608103655
18-04-2020,21107025.766648147
19-04-2020,21371049.28310549
20-04-2020,20891202.654533908
21-04-2020,20925527.863845535
22-04-2020,21291957.85849642
23-04-2020,21088105.916476987
24-04-2020,21160689.01720103
25-04-2020,20858176.34867501
