Date,Mobility
15-02-2020,24478982.206292257
16-02-2020,24150570.40949002
17-02-2020,24600087.499715522
18-02-2020,24760457.951558396
19-02-2020,23749270.058156487
20-02-2020,24590019.734104186
21-02-2020,23554077.773954507
22-02-2020,24235830.643771347
23-02-2020,24290197.450607967
24-02-2020,24536418.693477344
25-02-2020,24555963.667954847
26-02-2020,24131025.435012512
27-02-2020,24346435.50154563
28-02-2020,24433484.728819557
29-02-2020,24300090.006754704
01-03-2020,24630723.466587186
02-03-2020,24738516.104586042
03-03-2020,24816696.00249606
04-03-2020,24791093.91843006
05-03-2020,24956323.043614008
06-03-2020,25470707.37632511
07-03-2020,25059257.00827179
08-03-2020,26097502.88256017
09-03-2020,26403814.945682537
10-03-2020,24326990.100933652
11-03-2020,26760991.465255383
12-03-2020,26798882.97796297
13-03-2020,25488288.14834542
14-03-2020,25717536.498696737
15-03-2020,26090072.127259657
16-03-2020,26174309.13475816
17-03-2020,26125151.420191817
18-03-2020,25839665.018902827
19-03-2020,25134099.05801259
20-03-2020,22029336.24240264
21-03-2020,20110227.51642873
22-03-2020,16803864.888099115
23-03-2020,20189928.2395106
24-03-2020,18952479.424997393
25-03-2020,17771443.870886445
26-03-2020,18583779.242992725
27-03-2020,18397631.497619256
28-03-2020,17372698.27875529
29-03-2020,18042336.929395143
30-03-2020,18930537.57802504
31-03-2020,18855777.779392697
01-04-2020,18945223.879161473
02-04-2020,18424432.017932676
03-04-2020,18886413.74626437
04-04-2020,17886059.384683568
05-04-2020,18619366.841561608
06-04-2020,19154401.626641493
07-04-2020,19765662.814421896
08-04-2020,19867223.133367658
09-04-2020,19536414.464070573
10-04-2020,19027912.031483363
11-04-2020,18237085.836311784
12-04-2020,19052583.84712268
13-04-2020,20081609.973117948
14-04-2020,19340374.162550367
15-04-2020,20387839.78513186
16-04-2020,20025196.71271569
17-04-2020,19699597.135688867
18-04-2020,18635573.967869893
19-04-2020,19121461.74563113
20-04-2020,20639270.120271508
21-04-2020,20494609.19634789
22-04-2020,20456717.683640305
23-04-2020,20564335.112174563
24-04-2020,20493410.76010047
25-04-2020,19042340.872046743
26-04-2020,19718036.632275093
27-04-2020,20823020.99315013
28-04-2020,20754318.30410628
29-04-2020,20627155.90109452
30-04-2020,20595321.497975424
01-05-2020,19655473.303928193
02-05-2020,19580456.0447228
03-05-2020,20307355.973083142
04-05-2020,21997824.22820798
05-05-2020,21681701.86004733
06-05-2020,22100582.983401164
07-05-2020,21351916.41753307
08-05-2020,22010113.656849567
09-05-2020,20686381.3812722
10-05-2020,21652422.21613061
11-05-2020,22550275.28309127
12-05-2020,22252674.662625298
13-05-2020,22646976.928695966
14-05-2020,22214607.940453116
15-05-2020,22595597.551099367
16-05-2020,21308733.561446764
17-05-2020,22384788.69733427
18-05-2020,23269153.899405923
19-05-2020,23117237.42964639
20-05-2020,23449069.325726304
21-05-2020,23333845.93242693
22-05-2020,23458961.88187304
23-05-2020,21995777.77464233
24-05-2020,23223749.380289372
25-05-2020,22909930.926267423
26-05-2020,23950316.2124776
27-05-2020,24503790.49414371
28-05-2020,24567284.090917293
29-05-2020,24406913.639074422
30-05-2020,23443602.772882983
31-05-2020,23800779.292455837
01-06-2020,24642219.099014234
02-06-2020,24204991.437430315
03-06-2020,17610926.239583746
04-06-2020,22191928.35727576
05-06-2020,23150795.8974067
06-06-2020,22531431.146472163
07-06-2020,23288967.041704174
08-06-2020,24560378.964010574
09-06-2020,24860376.456971392
10-06-2020,25045325.766097438
11-06-2020,24726806.525441937
12-06-2020,24598270.476718154
13-06-2020,23503611.34202751
14-06-2020,24252868.464640785
15-06-2020,25080820.40631018
16-06-2020,24502767.26736089
17-06-2020,24197735.8915944
18-06-2020,23777656.331993137
19-06-2020,24973027.768311318
20-06-2020,23813676.60059967
21-06-2020,24048374.181037236
22-06-2020,25672361.410148468
23-06-2020,25304859.664391227
24-06-2020,25985846.767998304
25-06-2020,25508155.51174735
26-06-2020,25124944.23807085
27-06-2020,23597916.115137357
28-06-2020,24252868.464640785
29-06-2020,26021341.40821103
30-06-2020,26986201.129579097
01-07-2020,20858690.84282746
02-07-2020,20852458.52377437
03-07-2020,20329444.999515325
04-07-2020,19291199.125226945
05-07-2020,20761906.946114317
06-07-2020,21626727.17370847
07-07-2020,20864747.952415958
08-07-2020,21462521.275307346
09-07-2020,22677437.68610303
10-07-2020,23343913.69803827
11-07-2020,22420716.00758466
12-07-2020,23107502.760207176
13-07-2020,24111950.02891927
14-07-2020,23636655.645163167
15-07-2020,23915909.727399062
16-07-2020,24399658.093238503
17-07-2020,24098462.16403026
18-07-2020,23525618.11735124
19-07-2020,23659953.815090466
20-07-2020,24944853.602285877
21-07-2020,25156603.431725346
22-07-2020,25563195.126437593
23-07-2020,25443113.059797153
24-07-2020,24765961.402748324
25-07-2020,23589111.71412482
26-07-2020,24345799.59203861
27-07-2020,25072191.214762233
28-07-2020,25487236.891557828
29-07-2020,25849704.7545094
30-07-2020,25608342.184981093
31-07-2020,25880340.72138107
01-08-2020,23151884.052540902
02-08-2020,24518459.47252307
03-08-2020,24394799.419897433
04-08-2020,22771069.65135925
05-08-2020,22649964.35793598
06-08-2020,24354686.2441596
07-08-2020,24931716.156326067
08-08-2020,23823569.15674641
09-08-2020,25120243.451437302
10-08-2020,24504381.05088888
11-08-2020,25454554.47112051
12-08-2020,25206959.58253911
13-08-2020,25225481.33023379
