Date,Mobility
15-02-2020,12467613.912515523
16-02-2020,13464072.187450852
17-02-2020,13719922.529578006
18-02-2020,13490147.597843612
19-02-2020,12729586.624382328
20-02-2020,13291428.575349936
21-02-2020,12753704.6381428
22-02-2020,12880388.927113257
23-02-2020,12685782.720287018
24-02-2020,12660804.06073891
25-02-2020,12333710.502960768
26-02-2020,12258073.246538289
27-02-2020,12129736.793907968
28-02-2020,12275794.702847948
29-02-2020,12049865.436462717
01-03-2020,12125266.587828182
02-03-2020,12281323.577118237
03-03-2020,12120011.901269056
04-03-2020,12404131.155478267
05-03-2020,12307398.987510996
06-03-2020,12458711.5830101
07-03-2020,12205374.050330445
08-03-2020,12538270.670090038
09-03-2020,12687115.576188684
10-03-2020,11080593.397550577
11-03-2020,12441264.314411603
12-03-2020,12237526.710415816
13-03-2020,12382487.868511148
14-03-2020,11952036.517650792
15-03-2020,11932076.439604795
16-03-2020,12210902.924600732
17-03-2020,11834483.625849886
18-03-2020,11962545.890769042
19-03-2020,11726655.626687886
20-03-2020,11866872.390992269
21-03-2020,10973817.02918619
22-03-2020,8075187.934488173
23-03-2020,9634942.301648112
24-03-2020,8833326.338596035
25-03-2020,8428912.315474289
26-03-2020,8699148.741330115
27-03-2020,8742633.337667221
28-03-2020,8367036.60204986
29-03-2020,8837713.341974631
30-03-2020,8947741.880218819
31-03-2020,8802232.346701164
01-04-2020,8544188.50288471
02-04-2020,8334061.378831002
03-04-2020,8808309.596393775
04-04-2020,8636998.840194523
05-04-2020,8978516.564355487
06-04-2020,8802194.264047014
07-04-2020,9022320.468450796
08-04-2020,9097173.244393935
09-04-2020,8990167.808365425
10-04-2020,8957154.502492419
11-04-2020,8695188.828018505
12-04-2020,9209114.059223369
13-04-2020,9238212.571831804
14-04-2020,8876772.852278993
15-04-2020,9430618.239575854
16-04-2020,9146224.797655478
17-04-2020,9296989.017732259
18-04-2020,8819679.61529966
19-04-2020,9198604.68610512
20-04-2020,9335531.197875552
21-04-2020,9372154.064040711
22-04-2020,9479159.50006922
23-04-2020,9329179.760471778
24-04-2020,9469160.419719148
25-04-2020,9050315.19282169
26-04-2020,9591922.87803214
27-04-2020,9566715.150819909
28-04-2020,9490765.624032117
29-04-2020,9657095.881383408
30-04-2020,9550090.445354898
01-05-2020,9242408.59020043
02-05-2020,9336079.573297877
03-05-2020,9619095.039269548
04-05-2020,9905452.9152151
05-05-2020,10087547.232243761
06-05-2020,10227253.70377997
07-05-2020,10187888.960503187
08-05-2020,10560698.698961886
09-05-2020,9948663.323841043
10-05-2020,10416514.983953005
11-05-2020,10620023.520284664
12-05-2020,10334807.515230803
13-05-2020,10382800.400301846
14-05-2020,10329552.828671679
15-05-2020,10662723.636142435
16-05-2020,10368056.926160824
17-05-2020,10759410.684062667
18-05-2020,10549915.138132475
