Date,Mobility
15-02-2020,43567740.26511417
16-02-2020,43092112.836390086
17-02-2020,44200850.29533837
18-02-2020,44449379.39855645
19-02-2020,42722034.52797102
20-02-2020,43997466.337366216
21-02-2020,40195564.09828103
22-02-2020,41386121.353857115
23-02-2020,43197584.56703551
24-02-2020,43840677.51357602
25-02-2020,44150366.803079344
26-02-2020,44260483.10302797
27-02-2020,44033384.77752195
28-02-2020,44429475.99944005
29-02-2020,43747409.85555248
01-03-2020,43042323.121840976
02-03-2020,44546458.02499744
03-03-2020,44317832.32089577
04-03-2020,45308060.37569101
05-03-2020,44348412.41403839
06-03-2020,45302722.028677896
07-03-2020,44726961.2163215
08-03-2020,45223185.8218719
09-03-2020,43722105.675906755
10-03-2020,31905665.29497021
11-03-2020,44517405.31045048
12-03-2020,44405761.6319062
13-03-2020,44324698.04650454
14-03-2020,42889422.65612784
15-03-2020,43859747.31180668
16-03-2020,43769534.410974465
17-03-2020,43221236.501053154
18-03-2020,43172280.38738977
19-03-2020,41576405.204805434
20-03-2020,41075536.02995183
21-03-2020,39696082.478847265
22-03-2020,30675021.59480969
23-03-2020,33858456.24543356
24-03-2020,31578925.106849756
25-03-2020,30100031.949822802
26-03-2020,31250859.796825692
27-03-2020,31528441.614590734
28-03-2020,31020706.714128356
29-03-2020,32010163.60155408
30-03-2020,31899291.090379313
31-03-2020,31899291.090379313
01-04-2020,31780781.686226264
02-04-2020,30780570.715114713
03-04-2020,31955112.929651454
04-04-2020,32183738.633753132
05-04-2020,33024106.02388317
06-04-2020,31877104.101441115
07-04-2020,33565553.164339095
08-04-2020,33156424.26891337
09-04-2020,33085281.166311808
10-04-2020,32683851.597380593
11-04-2020,32919343.027091045
12-04-2020,34558758.58666605
13-04-2020,33599881.792382956
14-04-2020,33000406.6124927
15-04-2020,34371467.05939283
16-04-2020,33107468.155250005
17-04-2020,33193870.08766477
18-04-2020,33503559.377168097
19-04-2020,34103790.76828449
20-04-2020,33589961.30958286
21-04-2020,33918026.619606934
22-04-2020,34035008.645164326
23-04-2020,33263423.378154453
24-04-2020,33417157.444753334
25-04-2020,32286926.774576765
26-04-2020,33251141.91587297
27-04-2020,32466596.365015075
28-04-2020,33072243.49280418
29-04-2020,33571585.28906213
30-04-2020,33238181.63202494
01-05-2020,32614992.08460083
02-05-2020,33801738.37175946
03-05-2020,34332416.47238617
04-05-2020,34246785.707340926
05-05-2020,34439492.971286856
06-05-2020,34969414.86068743
07-05-2020,34236109.013314694
08-05-2020,35360167.73559241
09-05-2020,34717074.7890519
10-05-2020,35737111.76962024
11-05-2020,36504129.85698652
12-05-2020,37062348.24970793
13-05-2020,36893355.35329585
14-05-2020,36250262.406755336
15-05-2020,36862775.26015322
16-05-2020,37197706.29578606
17-05-2020,38417316.265909106
18-05-2020,37872906.71406486
19-05-2020,37446235.39900413
20-05-2020,37147222.80352703
21-05-2020,36894882.731891505
22-05-2020,38663561.77930539
23-05-2020,38485419.56746274
24-05-2020,39701974.78039448
25-05-2020,36803142.45246362
26-05-2020,39262343.18148573
27-05-2020,39831238.26823336
28-05-2020,39548318.1034552
29-05-2020,39825899.92122024
30-05-2020,40445278.50022691
31-05-2020,41257286.953519896
01-06-2020,40803923.903393604
02-06-2020,40358876.56781214
03-06-2020,40004042.1330629
04-06-2020,40445278.50022691
05-06-2020,40245705.5106722
06-06-2020,40152437.85264866
07-06-2020,41490557.226924755
08-06-2020,40660172.75311103
09-06-2020,40152437.85264866
10-06-2020,40460599.76355633
11-06-2020,40091277.6663634
12-06-2020,40783326.726567276
13-06-2020,39992671.66132675
14-06-2020,41706978.85840455
15-06-2020,39763212.35633933
16-06-2020,40586808.494203895
17-06-2020,40876594.38459082
18-06-2020,39867990.30927484
19-06-2020,40208259.691920795
20-06-2020,40226635.712441534
21-06-2020,40549979.06350281
22-06-2020,40438412.77461813
23-06-2020,40209787.07051645
24-06-2020,40621199.55576397
25-06-2020,39644702.95218628
26-06-2020,40052304.46901634
27-06-2020,39187451.54398293
28-06-2020,41447773.06116025
29-06-2020,38888438.948505834
30-06-2020,40275591.82610491
01-07-2020,41042532.52381158
02-07-2020,39961257.96729838
03-07-2020,40692280.22484932
04-07-2020,40933943.60245862
05-07-2020,41957729.1179282
06-07-2020,41001969.51435265
07-07-2020,41180945.32708103
08-07-2020,41128934.45622635
09-07-2020,40047659.89971315
10-07-2020,40797058.17778482
11-07-2020,40339806.76958147
12-07-2020,41366709.47575859
13-07-2020,41353749.19191057
14-07-2020,39974989.41851593
15-07-2020,38901336.79883763
16-07-2020,39088705.71577045
17-07-2020,39582709.16501529
18-07-2020,39719594.58968908
19-07-2020,40803846.513734
20-07-2020,39428975.0984164
21-07-2020,39726460.31529785
22-07-2020,38928105.9235628
23-07-2020,38570987.89899176
24-07-2020,40488896.26687715
25-07-2020,35373899.18680996
26-07-2020,37600585.853653334
27-07-2020,36609601.58763195
28-07-2020,36374110.15792151
29-07-2020,37381186.854641825
30-07-2020,37096739.31126802
31-07-2020,37287919.19661829
01-08-2020,36801615.07386797
02-08-2020,39097855.03120102
03-08-2020,39085728.34823874
04-08-2020,40678548.773631774
05-08-2020,39491725.096813545
06-08-2020,38953410.10320854
07-08-2020,39669173.53094627
08-08-2020,38717918.67349809
09-08-2020,40334313.64324916
10-08-2020,38986211.35265674
11-08-2020,40384874.52516779
12-08-2020,40055281.83654806
13-08-2020,38843987.58096983
14-08-2020,39654546.04532677
15-08-2020,38726311.777702525
16-08-2020,40589708.472076006
17-08-2020,
18-08-2020,
19-08-2020,37611402.370855376
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,41474464.796225816
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,39349501.32512663
29-08-2020,
30-08-2020,41516555.1842804
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,40763345.93779127
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,40626537.90277708
12-09-2020,38886911.56991017
13-09-2020,40138629.01177151
14-09-2020,40125668.72792348
15-09-2020,39464199.76086224
16-09-2020,40199032.98683062
17-09-2020,38458650.44273757
18-09-2020,39594913.23763717
19-09-2020,40232667.837164566
20-09-2020,41281001.32105374
21-09-2020,40679242.55134168
22-09-2020,40280034.13871606
23-09-2020,42385171.60035845
24-09-2020,40906278.44333149
25-09-2020,41414013.34379386
26-09-2020,40900940.09631838
27-09-2020,42505964.59433329
28-09-2020,41297031.31823647
29-09-2020,40868832.624580085
30-09-2020,39958203.21010706
01-10-2020,37408914.447285175
02-10-2020,35585247.16148489
03-10-2020,37483112.30707805
04-10-2020,38241659.9005803
05-10-2020,37811177.61710212
06-10-2020,38344154.26369401
07-10-2020,39588943.54643036
08-10-2020,39932267.68626764
09-10-2020,40900308.752124675
10-10-2020,40140233.78002677
11-10-2020,41146476.87586135
12-10-2020,41118257.76220012
13-10-2020,41867656.0402718
14-10-2020,42951151.753090575
15-10-2020,43121672.028098315
16-10-2020,43326583.364666134
17-10-2020,42906777.77521419
18-10-2020,44176871.237596266
19-10-2020,43067377.56742184
20-10-2020,43084226.20934691
21-10-2020,43488772.96898566
22-10-2020,41716345.386670545
23-10-2020,42172903.01716396
24-10-2020,41884644.505372696
25-10-2020,41681183.157740936
26-10-2020,40712385.88065776
27-10-2020,41808919.26698416
28-10-2020,41831800.03363228
29-10-2020,41579459.96199675
30-10-2020,40104455.163046844
31-10-2020,41202438.538309306
01-11-2020,42581892.089413874
02-11-2020,41723211.11227931
03-11-2020,42305143.87253457
04-11-2020,42600268.10993461
05-11-2020,41493058.02958199
06-11-2020,41714818.00807489
07-11-2020,42589591.41590838
08-11-2020,43806917.79620964
09-11-2020,41766828.87892957
10-11-2020,43446822.40410689
11-11-2020,44739874.022796676
12-11-2020,44333106.10685236
13-11-2020,45525268.130683705
14-11-2020,41318741.74230017
15-11-2020,40770428.87623548
16-11-2020,39192313.32612155
17-11-2020,41230181.08709604
18-11-2020,42056754.59249232
19-11-2020,41662190.74916987
20-11-2020,41549019.69202993
21-11-2020,42007798.47882895
22-11-2020,42040662.16179337
23-11-2020,41542847.74413109
24-11-2020,41933600.61903607
25-11-2020,42848103.43544277
26-11-2020,41722517.33456939
27-11-2020,41976384.784800574
28-11-2020,42089555.841940515
29-11-2020,42907736.24313236
30-11-2020,39514962.89947289
01-12-2020,42018475.172855176
02-12-2020,44117440.68659871
03-12-2020,43276302.12909915
04-12-2020,43443767.64691557
05-12-2020,43797074.70306915
06-12-2020,44227556.98654733
07-12-2020,42886382.85507991
08-12-2020,40007299.14694626
09-12-2020,45041170.20809558
10-12-2020,45300313.571823664
11-12-2020,45926557.876439095
12-12-2020,44713042.46455529
13-12-2020,46580327.51700583
14-12-2020,45902843.50890524
15-12-2020,46342552.49747358
16-12-2020,46828856.6202239
17-12-2020,45679556.15181667
18-12-2020,46266827.259085044
19-12-2020,45708608.86636364
20-12-2020,47088062.417468205
21-12-2020,46403712.68375884
22-12-2020,45957137.969581716
23-12-2020,47059009.70292124
24-12-2020,46149845.23352766
25-12-2020,44761242.36699252
26-12-2020,45054839.22579691
27-12-2020,46659863.72381183
28-12-2020,46428954.42988835
29-12-2020,46578043.92718404
30-12-2020,47485681.01798196
