Date,Mobility
15-02-2020,23743951.96752163
16-02-2020,23577301.330064133
17-02-2020,23452690.454379912
18-02-2020,23825438.18620959
19-02-2020,23687858.51855525
20-02-2020,23429289.02584098
21-02-2020,20056237.322529
22-02-2020,23175120.996690292
23-02-2020,23321141.9597308
24-02-2020,23775014.278507438
25-02-2020,23503114.362082057
26-02-2020,23658425.91701109
27-02-2020,23701188.942266364
28-02-2020,23872241.04328744
29-02-2020,24278461.208483864
01-03-2020,23220655.7760675
02-03-2020,23885933.098739553
03-03-2020,24215917.805313963
04-03-2020,24070677.255212747
05-03-2020,24039614.944226936
06-03-2020,24202225.749861855
07-03-2020,24497527.094826166
08-03-2020,24802480.663419995
09-03-2020,24481729.399276823
10-03-2020,17898586.695922986
11-03-2020,23287612.376906767
12-03-2020,24017424.44393137
13-03-2020,24077557.724720336
14-03-2020,19944830.83753552
15-03-2020,24183587.416627508
16-03-2020,23777367.251431085
17-03-2020,23373557.208615594
18-03-2020,23018902.995801605
19-03-2020,23524828.931722045
20-03-2020,23313423.927826628
21-03-2020,22649776.31459622
22-03-2020,16528878.341842122
23-03-2020,16467964.648113865
24-03-2020,16290881.374087553
25-03-2020,15337057.142938418
26-03-2020,15503346.14865492
27-03-2020,15782906.94752718
28-03-2020,15891834.426576648
29-03-2020,16738653.636295889
30-03-2020,15719514.247854915
31-03-2020,16072177.119486256
01-04-2020,15849433.033062374
02-04-2020,15726813.498560797
03-04-2020,16052815.522769913
04-04-2020,16192805.31280519
05-04-2020,17249399.816978198
06-04-2020,15826031.604523446
07-04-2020,16439255.310051706
08-04-2020,16307706.815402595
09-04-2020,16259274.248883095
10-04-2020,16198779.336353129
11-04-2020,16364161.896109976
12-04-2020,17536983.130038336
13-04-2020,16642092.985540587
14-04-2020,16612298.752255432
15-04-2020,16876537.786233936
16-04-2020,16026154.675347691
17-04-2020,16043524.930881387
18-04-2020,16197206.776368773
19-04-2020,17123520.86359332
20-04-2020,16414642.95326942
21-04-2020,16761636.283636527
22-04-2020,16550231.279741108
23-04-2020,16482437.116505265
24-04-2020,16488106.657769494
25-04-2020,16610726.192271076
26-04-2020,17655619.98217462
27-04-2020,16748667.491666412
28-04-2020,17132754.30602456
29-04-2020,16921349.302129146
30-04-2020,16958081.15437918
01-05-2020,16785037.712175455
02-05-2020,17165865.107650302
03-05-2020,18179696.586568043
04-05-2020,17248981.03577991
05-05-2020,18555284.95608273
06-05-2020,19025259.452692416
07-05-2020,18805774.78515183
08-05-2020,19409346.26705056
09-05-2020,19172910.125174567
10-05-2020,20691818.243510384
11-05-2020,19718339.66746698
12-05-2020,20110087.364272006
13-05-2020,17866244.57313075
14-05-2020,18201898.82096939
15-05-2020,18335857.43799944
16-05-2020,18371321.212548822
17-05-2020,19287925.92668656
18-05-2020,18349549.493451547
19-05-2020,19681246.18347594
20-05-2020,19693308.529486403
21-05-2020,20033002.60914763
22-05-2020,20137528.624633517
23-05-2020,20011649.67124864
24-05-2020,20759612.40674623
25-05-2020,18867899.407123443
26-05-2020,19883360.59548283
27-05-2020,20180653.281629786
28-05-2020,20038672.150411863
29-05-2020,20347303.919087283
30-05-2020,20541757.448647294
31-05-2020,21487794.764329184
01-06-2020,20640195.141670655
02-06-2020,20572039.34669381
03-06-2020,20149590.97064398
04-06-2020,19926485.2524791
05-06-2020,21142500.0269668
06-06-2020,20865349.350475475
07-06-2020,21644374.396958865
08-06-2020,20857269.686830305
09-06-2020,20707627.673165504
10-06-2020,20923434.140624505
11-06-2020,20707627.673165504
12-06-2020,20583378.42922228
13-06-2020,20585008.138663925
14-06-2020,21274886.084012486
15-06-2020,20070640.90735732
16-06-2020,20708895.750866156
17-06-2020,20819814.571098268
18-06-2020,20466428.435984932
19-06-2020,20788752.26011246
20-06-2020,20540253.77222601
21-06-2020,20864500.053973112
22-06-2020,20907331.962791454
23-06-2020,20759681.290309303
24-06-2020,20870238.47880042
25-06-2020,20405933.523454968
26-06-2020,20454727.72171547
27-06-2020,20493450.915148154
28-06-2020,21734427.944053356
29-06-2020,20616070.449649733
30-06-2020,21077603.65087325
01-07-2020,21042920.289263148
02-07-2020,20714926.923871383
03-07-2020,21017527.519541577
04-07-2020,21124825.289149392
05-07-2020,21013418.804155916
06-07-2020,20762091.412690237
07-07-2020,21116745.625504225
08-07-2020,20822224.693479203
09-07-2020,20946473.937422432
10-07-2020,21212342.680842582
11-07-2020,20923072.508883506
12-07-2020,17493009.176539704
13-07-2020,21033991.329115618
14-07-2020,20878679.77418659
15-07-2020,20530056.73437783
16-07-2020,20698337.081276976
17-07-2020,21150579.69061197
18-07-2020,21420488.2658547
19-07-2020,17962260.40966739
20-07-2020,21397448.469056774
21-07-2020,20820956.615778554
22-07-2020,21092856.532203935
23-07-2020,20888750.7790144
24-07-2020,21154619.522434555
25-07-2020,20862089.931592178
26-07-2020,17708454.012257706
27-07-2020,16777738.461469576
28-07-2020,21546728.850980576
29-07-2020,20994000.05798228
30-07-2020,21653246.207649108
31-07-2020,22268099.62261901
01-08-2020,16561931.994010573
02-08-2020,18068777.766335927
03-08-2020,16188765.480982604
04-08-2020,19990784.398111016
05-08-2020,20183246.586488377
06-08-2020,20404722.59521161
07-08-2020,20973191.93430195
08-08-2020,20372030.574784156
09-08-2020,17593552.509660296
10-08-2020,20892428.979095984
11-08-2020,20787541.331869103
12-08-2020,19688964.21538011
13-08-2020,18940570.964578453
14-08-2020,20259843.676851388
15-08-2020,20305866.120989956
16-08-2020,18014371.176268484
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,19511031.64485144
