Date,Mobility
15-02-2020,11129550.355953548
16-02-2020,
17-02-2020,10976009.309382424
18-02-2020,11003894.501647634
19-02-2020,10929250.667838005
20-02-2020,11559605.371106949
21-02-2020,10202119.45216127
22-02-2020,10958824.642765068
23-02-2020,
24-02-2020,11184444.926855808
25-02-2020,11307703.102007894
26-02-2020,10857646.331405986
27-02-2020,11035613.663187386
28-02-2020,10801401.045787966
29-02-2020,10847703.283381546
01-03-2020,
02-03-2020,11010360.145480385
03-03-2020,11105985.620908396
04-03-2020,10948105.619980454
05-03-2020,11192580.856213648
06-03-2020,11027273.822419846
07-03-2020,11246951.944896875
08-03-2020,
09-03-2020,10823529.490712406
10-03-2020,7889926.494782079
11-03-2020,8746443.46149756
12-03-2020,10811140.182402704
13-03-2020,11237836.129369162
14-03-2020,10755789.207549606
15-03-2020,
16-03-2020,10895861.220773162
17-03-2020,10686193.224588767
18-03-2020,11000787.92600183
19-03-2020,10911357.10472867
20-03-2020,10896299.127587244
21-03-2020,10645358.247521304
22-03-2020,
23-03-2020,8632973.004091648
24-03-2020,
25-03-2020,
26-03-2020,
27-03-2020,
28-03-2020,
29-03-2020,
30-03-2020,
31-03-2020,
01-04-2020,
02-04-2020,
03-04-2020,
04-04-2020,
05-04-2020,
06-04-2020,
07-04-2020,8651994.873370282
08-04-2020,7795748.8963327
09-04-2020,8865207.352014566
10-04-2020,7758291.484588937
11-04-2020,8922937.508884734
12-04-2020,
13-04-2020,8485522.539133662
14-04-2020,7687463.122917087
15-04-2020,8989968.895555558
16-04-2020,7868013.54812526
17-04-2020,
18-04-2020,7886159.603775735
19-04-2020,
20-04-2020,7723502.741676897
21-04-2020,
22-04-2020,7974881.528556919
23-04-2020,
24-04-2020,8167112.365582818
25-04-2020,
26-04-2020,
27-04-2020,
28-04-2020,8017824.697963556
29-04-2020,
30-04-2020,8434258.026096243
01-05-2020,
02-05-2020,8358196.399302658
03-05-2020,
04-05-2020,9475645.875239953
05-05-2020,
06-05-2020,
07-05-2020,
08-05-2020,
09-05-2020,
10-05-2020,
11-05-2020,10041890.353210937
12-05-2020,9910934.155515091
13-05-2020,
14-05-2020,
15-05-2020,
16-05-2020,
17-05-2020,
18-05-2020,10477178.633486073
19-05-2020,
20-05-2020,
21-05-2020,
22-05-2020,
23-05-2020,
24-05-2020,
25-05-2020,10426081.03758484
26-05-2020,
27-05-2020,
28-05-2020,
29-05-2020,
30-05-2020,
31-05-2020,
01-06-2020,
02-06-2020,
03-06-2020,
04-06-2020,
05-06-2020,
06-06-2020,
07-06-2020,
08-06-2020,
09-06-2020,
10-06-2020,
11-06-2020,
12-06-2020,
13-06-2020,
14-06-2020,
15-06-2020,
16-06-2020,
17-06-2020,
18-06-2020,
19-06-2020,
20-06-2020,
21-06-2020,
22-06-2020,
23-06-2020,
24-06-2020,
25-06-2020,
26-06-2020,
27-06-2020,
28-06-2020,
29-06-2020,
30-06-2020,
01-07-2020,
02-07-2020,
03-07-2020,
04-07-2020,
05-07-2020,
06-07-2020,
07-07-2020,
08-07-2020,
09-07-2020,
10-07-2020,
11-07-2020,
12-07-2020,
13-07-2020,
14-07-2020,
15-07-2020,
16-07-2020,
17-07-2020,
18-07-2020,
19-07-2020,
20-07-2020,10387038.915720934
21-07-2020,
22-07-2020,
23-07-2020,
24-07-2020,
25-07-2020,
26-07-2020,
27-07-2020,11307209.703783538
28-07-2020,
29-07-2020,
30-07-2020,
31-07-2020,
01-08-2020,
02-08-2020,
03-08-2020,10287901.718432833
04-08-2020,
05-08-2020,
06-08-2020,
07-08-2020,
08-08-2020,
09-08-2020,
10-08-2020,11275527.536517305
11-08-2020,10739109.526014522
12-08-2020,10451167.638155656
13-08-2020,
14-08-2020,
15-08-2020,10612677.696948437
16-08-2020,
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,
12-09-2020,
13-09-2020,
14-09-2020,11089472.8565095
15-09-2020,
16-09-2020,
17-09-2020,
18-09-2020,
19-09-2020,11008363.378867121
20-09-2020,
21-09-2020,11019605.883870766
22-09-2020,11020043.790684847
23-09-2020,
24-09-2020,
25-09-2020,
