Date,Mobility
15-02-2020,24164445.07355918
16-02-2020,23983648.915086973
17-02-2020,23935482.71943484
18-02-2020,23812235.28913648
19-02-2020,24039428.03779338
20-02-2020,23615854.39805417
21-02-2020,22094402.62477436
22-02-2020,23585042.540479578
23-02-2020,23941505.48027245
24-02-2020,23708289.97077794
25-02-2020,23575302.400312252
26-02-2020,24012155.39115367
27-02-2020,23307735.822308272
28-02-2020,23515626.45902535
29-02-2020,23788858.190221325
01-03-2020,23479327.6166536
02-03-2020,23810465.683669038
03-03-2020,23028659.49866952
04-03-2020,23544668.711132497
05-03-2020,23046192.005141903
06-03-2020,23544668.711132497
07-03-2020,23582737.158971686
08-03-2020,23895108.890087757
09-03-2020,23090640.82146432
10-03-2020,18253928.721354336
11-03-2020,23390967.030905165
12-03-2020,23154212.310475774
13-03-2020,23511909.07969563
14-03-2020,17896231.952134475
15-03-2020,23795416.727099385
16-03-2020,23210349.040827796
17-03-2020,22736661.431574177
18-03-2020,23044780.00732008
19-03-2020,22633251.88925609
20-03-2020,22800590.528231252
21-03-2020,22721970.082650147
22-03-2020,17107525.51366003
23-03-2020,17603178.22400698
24-03-2020,17054945.156147588
25-03-2020,16133966.362498691
26-03-2020,16114664.25055887
27-03-2020,15549612.62066239
28-03-2020,15861448.575738003
29-03-2020,17662138.950002648
30-03-2020,15936351.641989393
31-03-2020,16551517.241400287
01-04-2020,15820896.577996086
02-04-2020,15961676.514766827
03-04-2020,16138219.517868862
04-04-2020,16491841.300113386
05-04-2020,17235026.099328563
06-04-2020,16280769.060107043
07-04-2020,16594374.620650098
08-04-2020,16748433.90852305
09-04-2020,16526030.091276772
10-04-2020,16318139.454559695
11-04-2020,16475916.121762361
12-04-2020,17334020.208930396
13-04-2020,16967136.23748836
14-04-2020,16808823.79424524
15-04-2020,17330319.991505373
16-04-2020,16591371.18575567
17-04-2020,16658481.885702007
18-04-2020,16681501.376971545
19-04-2020,17387851.55777452
20-04-2020,16916486.491933495
21-04-2020,16898953.985461116
22-04-2020,17126146.734118015
23-04-2020,16891697.395196516
24-04-2020,16916486.491933495
25-04-2020,16981827.586412393
26-04-2020,17772820.973634087
27-04-2020,17253647.319786545
28-04-2020,17112867.383015804
29-04-2020,17277900.64048307
30-04-2020,17197510.589434523
01-05-2020,16995106.937514603
02-05-2020,17293127.765447557
03-05-2020,18078634.167872094
04-05-2020,17676149.407444846
05-05-2020,17706961.265019435
06-05-2020,18136021.8895558
07-05-2020,17712984.025857046
08-05-2020,18147531.635190573
09-05-2020,18269009.460021492
10-05-2020,18944547.783249877
11-05-2020,18806090.38989173
12-05-2020,18652031.10201878
13-05-2020,19173527.29927891
14-05-2020,19025490.772243574
15-05-2020,19215848.902488276
16-05-2020,19255865.12418974
17-05-2020,19924146.857153524
18-05-2020,19490850.239151686
19-05-2020,19521662.09672628
20-05-2020,19681208.369396385
21-05-2020,19533171.842361048
22-05-2020,19556191.333630584
23-05-2020,19500054.603278566
24-05-2020,20580400.230346788
25-05-2020,18909499.932209816
26-05-2020,20214214.31229129
27-05-2020,20466196.157685168
28-05-2020,20298857.518710006
29-05-2020,20500725.394589476
30-05-2020,20694800.90416389
31-05-2020,21547953.782575216
01-06-2020,20771473.57588272
02-06-2020,21601088.348888755
03-06-2020,21662712.064037934
04-06-2020,20060690.800458793
05-06-2020,21298992.533980466
06-06-2020,21899109.17682171
