Date,Mobility
15-02-2020,31091153.984763727
16-02-2020,30568855.44881202
17-02-2020,30687490.948087692
18-02-2020,30889766.29786458
19-02-2020,31110904.327323925
20-02-2020,31210677.146917142
21-02-2020,27701010.589336928
22-02-2020,30755885.49237464
23-02-2020,30672245.641873427
24-02-2020,30992268.82804825
25-02-2020,31124374.307782706
26-02-2020,30470746.10443801
27-02-2020,30982304.370521404
28-02-2020,31372497.426738653
29-02-2020,31145899.976098385
01-03-2020,30597682.586021326
02-03-2020,30874520.991650313
03-03-2020,31057933.661744747
04-03-2020,30361299.25034772
05-03-2020,30818820.61548068
06-03-2020,30859275.68543606
07-03-2020,31269994.896554977
08-03-2020,30899730.755391434
09-03-2020,29078788.811465964
10-03-2020,21975391.978860073
11-03-2020,25165102.0722227
12-03-2020,28989510.967290327
13-03-2020,30058363.41809988
14-03-2020,29244935.555139903
15-03-2020,29399454.36606778
16-03-2020,29167642.788697347
17-03-2020,28759474.715675373
18-03-2020,28986959.829193376
19-03-2020,29148780.109014884
20-03-2020,28339857.282400846
21-03-2020,27075076.565873057
22-03-2020,18368834.09180259
23-03-2020,19889993.781014934
24-03-2020,18476086.95278295
25-03-2020,17245771.367138904
26-03-2020,17974671.71671993
27-03-2020,17900108.66086783
28-03-2020,18086960.131936945
29-03-2020,18870427.90035912
30-03-2020,18174217.355906356
31-03-2020,18301751.077337638
01-04-2020,16505064.512318304
02-04-2020,16894369.905657817
03-04-2020,17582815.185283467
04-04-2020,17648301.44648645
05-04-2020,19801603.599717032
06-04-2020,17464179.686007794
07-04-2020,18059020.657605372
08-04-2020,17221449.26627553
09-04-2020,17249388.7406071
10-04-2020,17417556.104487266
11-04-2020,17623270.255238842
12-04-2020,18581073.89910633
13-04-2020,17863270.96438065
14-04-2020,17893761.57680917
15-04-2020,18171487.645315897
16-04-2020,17241021.036342215
17-04-2020,17608734.03940881
18-04-2020,17499884.42516648
19-04-2020,17043072.150417756
20-04-2020,16898696.369510245
21-04-2020,18010376.45587862
22-04-2020,17359656.535617888
23-04-2020,17668051.78904665
24-04-2020,17755309.01301606
25-04-2020,18265801.043728195
26-04-2020,18868585.8526464
27-04-2020,17733716.62274314
28-04-2020,18122843.443589143
29-04-2020,17961023.163767632
30-04-2020,17873765.93979822
01-05-2020,17827142.3582777
02-05-2020,18306965.204067804
03-05-2020,18980874.267863415
04-05-2020,18655636.954958428
05-05-2020,19253386.209639978
06-05-2020,19097913.013877124
07-05-2020,18686306.139880463
08-05-2020,19104260.09793578
09-05-2020,18702439.108972464
10-05-2020,19174072.822991192
11-05-2020,18889469.152535092
12-05-2020,19661554.282661952
13-05-2020,19390884.38859811
14-05-2020,19471794.528508864
15-05-2020,19852023.127199266
16-05-2020,19985903.9326892
17-05-2020,20504339.800721962
18-05-2020,19833160.447516806
19-05-2020,20368862.24197006
20-05-2020,19985903.9326892
21-05-2020,20904564.03642331
22-05-2020,21231821.969534528
23-05-2020,21337763.30069289
24-05-2020,21360952.444227777
25-05-2020,20199985.787705664
26-05-2020,20917079.632047113
27-05-2020,21620948.79038053
28-05-2020,21620948.79038053
29-05-2020,22022769.779343847
30-05-2020,22481000.234861035
31-05-2020,22787374.868083563
01-06-2020,22103501.346761093
02-06-2020,21844637.957936827
03-06-2020,22601477.78184943
04-06-2020,22446004.586086575
05-06-2020,23305346.94018285
06-06-2020,23442845.119140983
07-06-2020,23266488.623489436
08-06-2020,22822615.811308775
09-06-2020,22140339.043248277
