Date,Mobility
15-02-2020,51377759.92754227
16-02-2020,50535788.17056849
17-02-2020,51085798.942821294
18-02-2020,51451044.16234928
19-02-2020,51559018.33407885
20-02-2020,51718836.648712374
21-02-2020,48329906.74368791
22-02-2020,50995757.71680654
23-02-2020,50505582.72695439
24-02-2020,51093011.84258458
25-02-2020,50508112.52602239
26-02-2020,50709833.677341774
27-02-2020,51151870.27786501
28-02-2020,52021517.67938488
29-02-2020,52467061.426096335
01-03-2020,51830516.57401702
02-03-2020,51858192.21856312
03-03-2020,51715329.50252416
04-03-2020,52226944.584279336
05-03-2020,52254620.228825435
06-03-2020,52254620.228825435
07-03-2020,51388479.973493785
08-03-2020,50916237.92935646
09-03-2020,49050257.269138925
10-03-2020,34099434.526105024
11-03-2020,47126975.65310778
12-03-2020,48640380.80647027
13-03-2020,49822451.93749393
14-03-2020,35602898.37324939
15-03-2020,49055719.109567635
16-03-2020,49440449.7267582
17-03-2020,48994905.98004673
18-03-2020,48737833.539635144
19-03-2020,48244151.40359478
20-03-2020,47513859.57192565
21-03-2020,45062205.88293157
22-03-2020,29575604.587303653
23-03-2020,36495940.56091278
24-03-2020,29084070.72537155
25-03-2020,26212019.13514412
26-03-2020,26483517.37508229
27-03-2020,26417446.04003857
28-03-2020,26521913.06557991
29-03-2020,28476560.389918294
30-03-2020,24995258.067197904
31-03-2020,25297939.097870406
01-04-2020,25297939.097870406
02-04-2020,25569437.337808575
03-04-2020,25798834.133674063
04-04-2020,26038950.97549107
05-04-2020,28028486.844138842
06-04-2020,25600620.128542904
07-04-2020,25329121.888604738
08-04-2020,25263050.553561017
09-04-2020,25475690.358218756
10-04-2020,25444507.567484427
11-04-2020,25580157.3837601
12-04-2020,27701835.9224953
13-04-2020,25646228.718803816
14-04-2020,25468477.458455466
15-04-2020,25743482.844581865
16-04-2020,25156053.72895168
17-04-2020,25156053.72895168
18-04-2020,25298916.44499064
19-04-2020,27079518.262555733
20-04-2020,25023911.058864247
21-04-2020,24919444.033322908
22-04-2020,24919444.033322908
23-04-2020,25058799.603173636
24-04-2020,25124870.938217353
25-04-2020,25267733.65425631
26-04-2020,27048335.471821405
27-04-2020,25302622.198565707
28-04-2020,25132083.837980647
29-04-2020,25295409.298802413
30-04-2020,25229337.963758696
01-05-2020,25222125.063995406
02-05-2020,25601597.475663137
03-05-2020,27284945.16745018
04-05-2020,25629273.120209236
05-05-2020,25458734.759624176
06-05-2020,25385450.524817165
07-05-2020,25354267.73408284
08-05-2020,25688131.555489663
09-05-2020,25830994.271528624
10-05-2020,27611596.08909372
11-05-2020,25858669.916074723
12-05-2020,25858669.916074723
13-05-2020,25851457.01631143
14-05-2020,26293493.616834663
15-05-2020,26390747.742612705
16-05-2020,26498721.914342273
17-05-2020,28387496.51102377
18-05-2020,26561286.103197765
19-05-2020,26421930.533347033
20-05-2020,26658540.228975818
21-05-2020,26829078.58956087
22-05-2020,27368369.31586215
23-05-2020,27371876.462050375
24-05-2020,29128508.388644435
25-05-2020,26731824.463782825
26-05-2020,27562877.56741824
27-05-2020,27660131.693196293
28-05-2020,28102168.29371952
29-05-2020,28265493.754541293
30-05-2020,28742220.291987076
31-05-2020,30506065.118344422
01-06-2020,29663513.229024082
02-06-2020,30216053.800344873
03-06-2020,30748131.62688286
04-06-2020,29660006.082835857
05-06-2020,31182955.327642795
06-06-2020,31461467.85995742
07-06-2020,32898661.764671236
08-06-2020,31443534.914242607
09-06-2020,31272996.55365755
10-06-2020,31898821.359785352
11-06-2020,32361320.705091387
12-06-2020,32796144.405851327
13-06-2020,32695184.526498213
14-06-2020,32438692.218433194
15-06-2020,32517433.266149864
16-06-2020,32288036.470284376
17-06-2020,33143258.072277665
18-06-2020,32913861.276412178
19-06-2020,33209329.407321386
20-06-2020,33553913.27467973
21-06-2020,31246099.648844853
22-06-2020,33031578.146973033
23-06-2020,33132538.026326142
24-06-2020,33800265.669139795
25-06-2020,33807478.56890309
26-06-2020,33866337.004183516
27-06-2020,33810985.71509132
28-06-2020,32747410.19436191
29-06-2020,33706518.689549975
30-06-2020,34227876.47013644
01-07-2020,34767167.19643772
02-07-2020,34082483.95502949
03-07-2020,35361809.21183119
04-07-2020,35744788.76968715
05-07-2020,32868832.81849783
06-07-2020,34377952.08593869
07-07-2020,35692165.88704979
08-07-2020,35932282.72886679
09-07-2020,35873424.293586366
10-07-2020,36506461.99947747
11-07-2020,37073428.37032484
12-07-2020,26978756.990589455
13-07-2020,37073428.37032484
14-07-2020,35122669.717134416
15-07-2020,34876317.32267436
16-07-2020,35331603.7682171
17-07-2020,35529817.77334826
18-07-2020,36072615.64583776
19-07-2020,27437550.58232043
20-07-2020,35891357.23930118
21-07-2020,35661960.4434357
22-07-2020,36326180.94006112
23-07-2020,36361069.484370515
24-07-2020,36096784.14419564
25-07-2020,36496719.30064618
26-07-2020,27740231.612992927
27-07-2020,36781467.38560387
28-07-2020,36590466.280236
29-07-2020,37084148.41627636
30-07-2020,37289575.321170814
31-07-2020,37076935.516513065
01-08-2020,37226033.78519508
02-08-2020,29742437.194313645
03-08-2020,30703098.14144947
04-08-2020,35159889.45312497
05-08-2020,35445614.88520289
06-08-2020,36447404.9568102
07-08-2020,36750085.9874827
08-08-2020,37612520.48923928
09-08-2020,28521970.372792367
10-08-2020,37772338.803872816
11-08-2020,36930367.04689904
12-08-2020,35435093.446638204
13-08-2020,35571720.61003411
14-08-2020,37080442.662701294
15-08-2020,32349623.312019635
16-08-2020,28692508.733377427
17-08-2020,37706267.4688291
18-08-2020,37647409.033548675
19-08-2020,37619733.38900258
20-08-2020,37421519.383871414
21-08-2020,36472550.80228831
22-08-2020,31916952.912887007
23-08-2020,29934415.646801747
24-08-2020,38575914.870348975
25-08-2020,37779551.70363611
26-08-2020,37650916.179736905
27-08-2020,37922414.419675075
28-08-2020,37685804.72404629
29-08-2020,36407456.81436483
30-08-2020,30362026.447798386
31-08-2020,38273233.83967648
01-09-2020,37629476.08783386
02-09-2020,38008948.4995016
03-09-2020,37984978.608530566
04-09-2020,38544732.07961465
05-09-2020,39059854.30755805
06-09-2020,37220576.97228543
07-09-2020,38308122.38398587
08-09-2020,38137584.023400806
09-09-2020,38075019.834545314
10-09-2020,36302012.44170325
11-09-2020,38777834.629055195
12-09-2020,38419802.3092905
13-09-2020,36508218.0863311
14-09-2020,38221588.30415934
15-09-2020,38256476.848468736
16-09-2020,37905657.428467326
17-09-2020,38089644.241458744
18-09-2020,38955585.88940355
19-09-2020,38125311.525501534
20-09-2020,38911733.385996275
21-09-2020,38889514.55435982
22-09-2020,37498509.37225349
23-09-2020,36901536.165178865
24-09-2020,39603049.39482123
25-09-2020,39964588.86077415
26-09-2020,38820913.42024812
27-09-2020,37924369.11391554
28-09-2020,39529765.16001422
29-09-2020,39094941.45925428
30-09-2020,38788554.67500672
01-10-2020,39177769.78550574
02-10-2020,37924364.0863965
03-10-2020,40023248.688667744
04-10-2020,38917770.3312525
05-10-2020,39427629.32615404
06-10-2020,39257090.965568975
07-10-2020,39768706.04732416
08-10-2020,40047417.18702562
09-10-2020,40680454.89291671
10-10-2020,40764459.17367524
11-10-2020,40504459.71942199
12-10-2020,40377773.86224422
13-10-2020,40075092.83157172
14-10-2020,41247421.26376408
15-10-2020,41142954.23822275
16-10-2020,41803667.58865994
17-10-2020,41672502.26569274
18-10-2020,41524182.73674412
19-10-2020,40812597.56300415
20-10-2020,40708130.537462816
21-10-2020,41041994.35886964
22-10-2020,40572282.11380031
23-10-2020,40923101.533801705
24-10-2020,39807101.73782177
25-10-2020,40198072.935174435
26-10-2020,37788515.662733994
27-10-2020,40081129.77682794
28-10-2020,40895425.88925561
29-10-2020,41100852.79415007
30-10-2020,40613406.210752755
31-10-2020,42360692.65328921
01-11-2020,43315123.07530101
02-11-2020,41799961.83508488
03-11-2020,41921384.4592208
04-11-2020,41807174.734848164
05-11-2020,42241998.435608104
06-11-2020,42933894.576779634
07-11-2020,44054378.866068035
08-11-2020,45492748.72528891
09-11-2020,42592817.855609514
10-11-2020,42818707.50528677
11-11-2020,43813284.67713079
12-11-2020,43364233.78423111
13-11-2020,42904462.8453799
14-11-2020,37914819.99495205
15-11-2020,35156183.699549906
16-11-2020,34701869.57360836
17-11-2020,38348070.52643125
18-11-2020,40272130.8821958
19-11-2020,41082919.84843525
20-11-2020,41715957.55432634
21-11-2020,42210617.03748694
22-11-2020,42229328.722935155
23-11-2020,41062457.10365244
24-11-2020,40352628.01676611
25-11-2020,40081129.77682794
26-11-2020,40457095.04230745
27-11-2020,41090132.74819855
28-11-2020,41678539.21094897
29-11-2020,41484611.09173944
30-11-2020,39085575.257863685
01-12-2020,40404273.55228324
02-12-2020,42216852.59013
03-12-2020,42460675.18552207
04-12-2020,42961570.22132573
05-12-2020,43410621.11422542
06-12-2020,43063110.23302541
07-12-2020,41388130.67817574
08-12-2020,41044524.15793763
09-12-2020,41530993.394214705
10-12-2020,41406063.62389055
11-12-2020,38183192.61366172
12-12-2020,40917064.58854549
13-12-2020,42792787.94759431
14-12-2020,41643849.2740264
15-12-2020,42607243.655136086
16-12-2020,43348255.53275676
17-12-2020,43362681.33228335
18-12-2020,43619753.77269493
19-12-2020,44437557.031310834
20-12-2020,44741016.80171673
21-12-2020,43414326.86780048
22-12-2020,43111645.83712798
23-12-2020,43821474.92401432
24-12-2020,43981293.23864786
25-12-2020,43698296.21302476
26-12-2020,44002733.3305509
27-12-2020,44876666.6179924
28-12-2020,43282184.19771304
29-12-2020,42882249.04126249
30-12-2020,43828687.82377761
31-12-2020,45163364.369671516
