Date,Mobility
15-02-2020,19578697.85492703
16-02-2020,19208578.812411867
17-02-2020,19598429.330689896
18-02-2020,19781654.321813315
19-02-2020,19566485.829650316
20-02-2020,20123367.889395606
21-02-2020,18160424.317800097
22-02-2020,19721629.75208564
23-02-2020,19483902.90846416
24-02-2020,19690204.029374
25-02-2020,19392128.20978006
26-02-2020,19590909.88020374
27-02-2020,19664625.430136744
28-02-2020,19480882.660685387
29-02-2020,19858521.153686713
01-03-2020,19581524.730622645
02-03-2020,19915718.84771877
03-03-2020,19811732.123757962
04-03-2020,19980242.620153837
05-03-2020,20416751.134198993
06-03-2020,20090076.467589032
07-03-2020,20042263.923138067
08-03-2020,20100616.165853962
09-03-2020,20017902.21050618
10-03-2020,14289107.723347241
11-03-2020,19444633.329021573
12-03-2020,20037440.314185895
13-03-2020,20052479.215158213
14-03-2020,15891954.172364583
15-03-2020,19758902.59827167
16-03-2020,20007169.140158087
17-03-2020,19734671.919801407
18-03-2020,19272584.80651899
19-03-2020,19862564.915987696
20-03-2020,19817254.840987567
21-03-2020,19637880.24008198
22-03-2020,13240959.587054042
23-03-2020,18356304.732472964
24-03-2020,14128884.48195506
25-03-2020,12829056.453511791
26-03-2020,13492752.1129135
27-03-2020,13028992.672619307
28-03-2020,13164405.119291758
29-03-2020,13653044.05054578
30-03-2020,13235293.793529145
31-03-2020,13099881.346856695
01-04-2020,13197503.169015178
02-04-2020,13263374.862217236
03-04-2020,13181116.34727586
04-04-2020,13459460.691106925
05-04-2020,13701181.00124153
06-04-2020,13302837.81374298
07-04-2020,13646223.70833705
08-04-2020,13718266.931258276
09-04-2020,13497757.051815167
10-04-2020,13071788.236034939
11-04-2020,13597051.200985426
12-04-2020,14040380.057239318
13-04-2020,13591204.07751104
14-04-2020,13570318.053064331
15-04-2020,14026364.670789206
16-04-2020,13461963.160557756
17-04-2020,13204504.841173403
18-04-2020,13329377.58958092
19-04-2020,13607216.197217714
20-04-2020,13334070.164371468
21-04-2020,13304316.7686716
22-04-2020,13030471.627547927
23-04-2020,13558237.061949247
24-04-2020,13177578.32116915
25-04-2020,13294931.619090507
26-04-2020,13734915.821320843
27-04-2020,13340241.694090638
28-04-2020,13314663.094853379
29-04-2020,13398918.343051314
30-04-2020,13748151.36111977
01-05-2020,13391398.892565154
02-05-2020,13684782.137368541
03-05-2020,13909791.219519041
04-05-2020,13579640.864723895
05-05-2020,13469807.017288703
06-05-2020,13793461.4361199
07-05-2020,13623278.61271225
08-05-2020,13892755.585290158
09-05-2020,13909142.407029478
10-05-2020,14429207.060995143
11-05-2020,13930546.209804125
12-05-2020,13904967.610566866
13-05-2020,14219430.251900125
14-05-2020,14863394.435538962
15-05-2020,14594241.869205834
16-05-2020,14548931.794205707
17-05-2020,15034226.071436176
18-05-2020,14327591.772323541
19-05-2020,14064286.3294648
20-05-2020,14207218.226623414
21-05-2020,14444945.070244897
22-05-2020,14265894.875584092
23-05-2020,14342630.673295865
24-05-2020,14723938.226565529
25-05-2020,13400266.263818309
26-05-2020,14293145.801833129
27-05-2020,14479715.446980093
28-05-2020,15023037.560681676
29-05-2020,14598741.071913226
30-05-2020,14928242.614218807
31-05-2020,15091554.79962986
01-06-2020,14784156.168376355
02-06-2020,15527932.279513393
03-06-2020,15366423.455275746
04-06-2020,15453181.172924513
05-06-2020,16191627.938915102
06-06-2020,16283402.637599202
07-06-2020,16527625.417184634
08-06-2020,16107372.690717168
