Date,Mobility
15-02-2020,28413549.97417022
16-02-2020,27666644.04483482
17-02-2020,28845284.290274173
18-02-2020,28467118.121512283
19-02-2020,28473355.39233325
20-02-2020,28434367.60641633
21-02-2020,27211415.702076778
22-02-2020,28680137.473549828
23-02-2020,28132923.77215756
24-02-2020,28415344.870293044
25-02-2020,28196629.90622663
26-02-2020,28201072.280924775
27-02-2020,28099631.5982695
28-02-2020,27942516.948488954
29-02-2020,28891762.58434279
01-03-2020,28246297.337662663
02-03-2020,28347196.36152583
03-03-2020,28417139.76641587
04-03-2020,28534955.70661912
05-03-2020,28570353.700290386
06-03-2020,28049653.24317309
07-03-2020,29017921.615150213
08-03-2020,28640838.763972532
09-03-2020,27834127.416474093
10-03-2020,22871751.563185178
11-03-2020,28025787.477473423
12-03-2020,28436704.161331266
13-03-2020,28095730.88236347
14-03-2020,22679238.919733368
15-03-2020,28370350.548686877
16-03-2020,28624463.506424557
17-03-2020,28060332.888692204
18-03-2020,28108205.424005404
19-03-2020,28500951.954192445
20-03-2020,28081692.179730427
21-03-2020,28497051.23828641
22-03-2020,21068643.165747534
23-03-2020,22983961.622577418
24-03-2020,21844850.821847085
25-03-2020,20695291.110729374
26-03-2020,20604530.07359321
27-03-2020,20408427.637895744
28-03-2020,20633379.87278313
29-03-2020,21304275.046154026
30-03-2020,20941060.977862872
31-03-2020,20860437.927453715
01-04-2020,20744958.542165402
02-04-2020,20478912.70157789
03-04-2020,20748859.258071437
04-04-2020,21080947.787642956
05-04-2020,21741704.97428685
06-04-2020,21222228.83866763
07-04-2020,22027997.872495722
08-04-2020,22236574.849835128
09-04-2020,21881562.868234288
10-04-2020,21669085.174988844
11-04-2020,21873219.77763011
12-04-2020,22762829.91506742
13-04-2020,22538249.419225626
14-04-2020,22195481.244135
15-04-2020,22926553.574714523
16-04-2020,22753374.59104638
17-04-2020,22590022.670444865
18-04-2020,22787920.002265163
19-04-2020,23029417.414447036
20-04-2020,23197041.790000178
21-04-2020,23066751.30815499
22-04-2020,23349714.06508258
23-04-2020,23265190.29876739
24-04-2020,23207179.77672718
25-04-2020,22888819.026128326
26-04-2020,23407041.924416825
27-04-2020,23446712.373039708
28-04-2020,23440475.102218743
29-04-2020,23807961.625461522
30-04-2020,23657395.170162324
01-05-2020,23455055.46364389
02-05-2020,24053189.833802916
03-05-2020,24224743.841094743
04-05-2020,24290927.53399262
05-05-2020,24204067.212762494
06-05-2020,25168434.86883358
07-05-2020,24417086.564800043
08-05-2020,24790268.70007169
09-05-2020,24903642.26557679
10-05-2020,25161514.93530664
11-05-2020,25471673.599215183
12-05-2020,25428243.43860012
13-05-2020,26056080.190401543
14-05-2020,25959081.882444415
15-05-2020,25901071.36040421
16-05-2020,25817800.83141974
17-05-2020,26156296.551558744
18-05-2020,26497410.834440406
19-05-2020,26160879.930170745
20-05-2020,26555421.356480617
21-05-2020,26793159.05667031
22-05-2020,26735148.53463011
23-05-2020,26486731.188921295
24-05-2020,26788034.019266203
25-05-2020,25682356.396337796
26-05-2020,27591296.578432847
27-05-2020,28208995.343507268
28-05-2020,27723692.88006124
29-05-2020,27719250.505363096
30-05-2020,28236761.825112972
31-05-2020,28092291.63672088
01-06-2020,28739292.12855946
02-06-2020,28857108.068762705
03-06-2020,28592857.124298025
04-06-2020,27732266.705797143
05-06-2020,29051415.608337346
06-06-2020,29298438.712801564
07-06-2020,28652290.80341547
08-06-2020,29451652.64667608
09-06-2020,29077928.852612324
10-06-2020,29854537.163590126
11-06-2020,29321903.823622998
12-06-2020,29007985.447722282
13-06-2020,29069896.685668524
14-06-2020,28446361.304651376
15-06-2020,29262098.405459955
16-06-2020,28852976.617724944
17-06-2020,29683153.07604481
18-06-2020,28623582.00813942
19-06-2020,28443854.82998993
20-06-2020,29444873.717063002
21-06-2020,28611197.197715346
22-06-2020,29385609.95769207
23-06-2020,29697733.43746996
24-06-2020,29767676.84236
25-06-2020,29499294.446857557
26-06-2020,28894070.223425075
27-06-2020,28895865.1195479
28-06-2020,25112158.42753099
29-06-2020,29612668.012362663
30-06-2020,29866780.970100336
01-07-2020,29955436.18745329
02-07-2020,29296643.81667874
03-07-2020,29311224.178103887
04-07-2020,30066473.198043462
05-07-2020,26070288.812781107
06-07-2020,30184830.797038812
07-07-2020,30263117.292533036
08-07-2020,30258674.917834893
09-07-2020,30007209.438672528
10-07-2020,29891188.394592114
11-07-2020,30205106.770492822
12-07-2020,24246583.97553986
13-07-2020,30593410.925981723
14-07-2020,29944756.541934177
15-07-2020,29827171.336862653
16-07-2020,30339297.968244046
17-07-2020,30190526.40906768
18-07-2020,30446434.26292818
19-07-2020,24465298.93960627
20-07-2020,30748419.75597906
21-07-2020,29839415.14337287
22-07-2020,30473489.165995263
23-07-2020,30149432.803367548
24-07-2020,30068809.752958395
25-07-2020,30038395.792777374
26-07-2020,24461398.223700237
27-07-2020,24715341.2616914
28-07-2020,31673799.626133222
29-07-2020,30771032.284348
30-07-2020,30955201.837195635
31-07-2020,30851966.25841754
01-08-2020,29623889.316673875
02-08-2020,24280187.073088292
03-08-2020,27386761.320913345
04-08-2020,30067325.780495945
05-08-2020,28380860.274459478
06-08-2020,27802690.954094082
07-08-2020,27919965.235505223
08-08-2020,28832870.56401745
09-08-2020,23502184.520865913
10-08-2020,29481524.94806499
11-08-2020,28698679.36626622
12-08-2020,27401200.678424627
13-08-2020,27383431.179632057
