Date,Mobility
15-02-2020,16648502.214167643
16-02-2020,16032555.234847143
17-02-2020,15639033.94533463
18-02-2020,16070975.971881991
19-02-2020,15667179.36852273
20-02-2020,15661509.186020518
21-02-2020,14825043.380709514
22-02-2020,15965335.00211245
23-02-2020,15184364.709648123
24-02-2020,15764524.99115564
25-02-2020,16013573.59521783
26-02-2020,15973630.349249082
27-02-2020,15325595.762495132
28-02-2020,15434076.260809503
29-02-2020,15862991.01866396
01-03-2020,15107980.693354648
02-03-2020,15166700.089629743
03-03-2020,15384315.158770228
04-03-2020,15508283.695657339
05-03-2020,15412460.581958327
06-03-2020,15677660.171692446
07-03-2020,16371111.572181836
08-03-2020,16192113.85481172
09-03-2020,16344013.450976519
10-03-2020,12078532.514692789
11-03-2020,12551781.285950126
12-03-2020,14044333.931285892
13-03-2020,14684736.1180024
14-03-2020,13858357.886390079
15-03-2020,15035286.89285326
16-03-2020,15381681.119548364
17-03-2020,15245260.68736886
18-03-2020,15363559.041753758
19-03-2020,14958445.41878356
20-03-2020,14921341.70135964
21-03-2020,14260846.344725853
22-03-2020,11231424.789826326
23-03-2020,11677126.85668957
24-03-2020,11640677.211777397
25-03-2020,11018808.081501422
26-03-2020,11174873.100409426
27-03-2020,11382670.313479383
28-03-2020,11372852.457408855
29-03-2020,11628037.576336928
30-03-2020,11371535.437797923
31-03-2020,11237086.097741093
01-04-2020,11274189.815165011
02-04-2020,11072062.784597268
03-04-2020,11520613.254592784
04-04-2020,11563844.61229514
05-04-2020,11951956.562346144
06-04-2020,11302335.238353109
07-04-2020,11374823.54953153
08-04-2020,11299299.095072763
09-04-2020,11247566.900910811
10-04-2020,11274395.304487977
11-04-2020,11330284.046805687
12-04-2020,11532214.462637912
13-04-2020,11404491.481653523
14-04-2020,11277683.416221585
15-04-2020,11632381.864640763
16-04-2020,11520613.254592784
17-04-2020,11934890.661121763
18-04-2020,11526740.89487122
19-04-2020,11756816.733891545
20-04-2020,11847166.279823864
21-04-2020,11913526.95072385
22-04-2020,11469992.5907188
23-04-2020,11582826.25192445
24-04-2020,12024389.51980682
25-04-2020,11662507.25453898
26-04-2020,11978588.351187788
27-04-2020,11694800.351295393
28-04-2020,11840179.07771072
29-04-2020,11587431.383268993
30-04-2020,11675818.711666081
01-05-2020,12125023.25417334
02-05-2020,11959803.326293996
03-05-2020,12170234.578585815
04-05-2020,12512472.257125158
05-05-2020,12832897.642077802
06-05-2020,12974988.256759517
07-05-2020,12954232.139743047
08-05-2020,13259832.43322214
09-05-2020,13070157.297946787
10-05-2020,13437316.516245805
11-05-2020,13259832.43322214
12-05-2020,12998780.517056335
13-05-2020,13121889.492108738
14-05-2020,13201113.036947044
15-05-2020,13700078.681493575
16-05-2020,13506255.872649908
17-05-2020,13645973.291150467
18-05-2020,13696585.080437005
19-05-2020,13600556.477415027
20-05-2020,13702049.773616254
21-05-2020,13582434.399620423
22-05-2020,13582434.399620423
23-05-2020,13729998.582068833
24-05-2020,13871892.582015028
25-05-2020,13033250.195258388
26-05-2020,13826475.76827959
27-05-2020,13784561.430188168
28-05-2020,13837816.133284016
29-05-2020,13924680.952747207
30-05-2020,14442431.622187532
31-05-2020,14557039.760780342
01-06-2020,14419947.506914206
02-06-2020,14532575.678796893
03-06-2020,13976207.657586195
04-06-2020,14081194.554843994
05-06-2020,14373680.005931504
06-06-2020,14643036.143821383
07-06-2020,14437872.969973292
08-06-2020,14163706.21141591
09-06-2020,14323918.903892228
10-06-2020,14267170.599739809
11-06-2020,14053049.131655898
