Date,Mobility
15-02-2020,31416352.754504073
16-02-2020,29666332.999631155
17-02-2020,30528948.854616832
18-02-2020,30769885.107113205
19-02-2020,30592764.664716493
20-02-2020,30874599.106188465
21-02-2020,29216396.573425367
22-02-2020,30934976.80982622
23-02-2020,31488759.197825518
24-02-2020,31308200.648966905
25-02-2020,31484181.2331203
26-02-2020,31453744.10114398
27-02-2020,30715887.056084383
28-02-2020,31200048.543429736
29-02-2020,30645691.593375783
01-03-2020,30652567.8062996
02-03-2020,30974082.576764088
03-03-2020,30880900.75705763
04-03-2020,30217173.84148343
05-03-2020,31085594.787023395
06-03-2020,31148836.03506841
07-03-2020,32016760.420293495
08-03-2020,31684288.03251486
09-03-2020,30835921.163691703
10-03-2020,24124765.149549585
11-03-2020,28943162.031041175
12-03-2020,30176353.654247604
13-03-2020,31095909.10640913
14-03-2020,29743823.233838692
15-03-2020,29784146.860759635
16-03-2020,29616766.17569401
17-03-2020,29349327.45799811
18-03-2020,29903109.84599742
19-03-2020,30152140.17140069
20-03-2020,30161879.928731766
21-03-2020,29681653.108163215
22-03-2020,21780630.113890424
23-03-2020,23672677.21273874
24-03-2020,22095696.49587219
25-03-2020,21709148.055324964
26-03-2020,21732212.414062582
27-03-2020,21576860.468680643
28-03-2020,22282556.695599977
29-03-2020,23136154.09292277
30-03-2020,21777619.831869617
31-03-2020,21233577.201201394
01-04-2020,20798183.236385223
02-04-2020,20158095.24160329
03-04-2020,20708439.523140684
04-04-2020,20563548.634758018
05-04-2020,21630508.69700813
06-04-2020,20405333.14496883
07-04-2020,20795319.691977963
08-04-2020,21267452.43963962
09-04-2020,20690605.692902703
10-04-2020,21009753.479274806
11-04-2020,20993712.071074553
12-04-2020,21982460.59944893
13-04-2020,20960907.95500586
14-04-2020,21165105.424656738
15-04-2020,21855831.36574535
16-04-2020,20749337.712116275
17-04-2020,21247972.924977463
18-04-2020,21148489.45440184
19-04-2020,22306264.352266017
20-04-2020,21452666.954943225
21-04-2020,21241671.27410829
22-04-2020,21759211.439576987
23-04-2020,21479169.420142755
24-04-2020,22203770.59966959
25-04-2020,21767305.512483884
26-04-2020,22819295.288903274
27-04-2020,22518409.157210253
28-04-2020,23038316.306771327
29-04-2020,23447207.806387972
30-04-2020,23284483.087767333
01-05-2020,21951302.167804413
02-05-2020,22137091.245162662
03-05-2020,22609370.73043787
04-05-2020,21781204.675945073
05-05-2020,23400729.266211405
06-05-2020,24152904.0333073
07-05-2020,23990179.314686667
08-05-2020,24789553.921627328
09-05-2020,24569889.60583084
10-05-2020,24618307.305658683
11-05-2020,24755678.683189098
12-05-2020,24055212.984769408
13-05-2020,24662496.863482647
14-05-2020,24361182.907348525
15-05-2020,25292845.1009335
16-05-2020,24760334.649634086
17-05-2020,24548189.84468985
18-05-2020,24770074.406965166
19-05-2020,24770074.406965166
20-05-2020,25783386.24088779
21-05-2020,26200371.813411333
22-05-2020,26672504.561072994
23-05-2020,26851991.987562075
24-05-2020,26060136.891473662
25-05-2020,25669507.046536103
26-05-2020,26296417.177525043
27-05-2020,26744414.444079556
28-05-2020,26801354.041255403
29-05-2020,26897399.405369114
30-05-2020,27689401.239071075
31-05-2020,27177588.16241689
01-06-2020,26821554.855585758
02-06-2020,26842826.792285647
03-06-2020,27230446.355202403
04-06-2020,27383431.316491958
05-06-2020,27277646.19504717
06-06-2020,27833221.0050842
07-06-2020,26926912.152589444
08-06-2020,27481269.1026434
09-06-2020,27289178.374415975
10-06-2020,27473175.0297365
11-06-2020,28028749.839773536
12-06-2020,28224278.674462866
13-06-2020,27978111.89346686
14-06-2020,27705589.384884868
15-06-2020,27271344.544177994
16-06-2020,27193133.01030226
17-06-2020,27653733.578595117
18-06-2020,27174724.618009634
19-06-2020,27511706.234619718
