Date,Mobility
15-02-2020,20138141.087232966
16-02-2020,19832553.195735797
17-02-2020,20426563.478467803
18-02-2020,19875756.45610173
19-02-2020,20179917.954188682
20-02-2020,20648597.636053544
21-02-2020,20469446.37039473
22-02-2020,20039852.570149407
23-02-2020,19875756.45610173
24-02-2020,20544446.59563913
25-02-2020,20197081.83718625
26-02-2020,20094937.826867037
27-02-2020,19948007.213081688
28-02-2020,19977478.39669071
29-02-2020,20001087.056968875
01-03-2020,19853152.119503547
02-03-2020,20394082.558348365
03-03-2020,19763735.86226126
04-03-2020,19977478.39669071
05-03-2020,20165605.24074679
06-03-2020,20349876.59156721
07-03-2020,20411828.695295673
08-03-2020,20307677.65488126
09-03-2020,20271181.057306662
10-03-2020,15409613.854521094
11-03-2020,17969821.400448788
12-03-2020,19690480.781601325
13-03-2020,19758295.408660647
14-03-2020,17395247.150849808
15-03-2020,19689056.00545587
16-03-2020,20400367.15140946
17-03-2020,19379454.0537683
18-03-2020,19531244.484469283
19-03-2020,19765584.325401716
20-03-2020,19791622.08550532
21-03-2020,19323364.473370694
22-03-2020,14518892.791927474
23-03-2020,15535368.142383235
24-03-2020,14288248.260011196
25-03-2020,13863615.977972738
26-03-2020,14213990.472936042
27-03-2020,14189959.742927637
28-03-2020,14079365.542497385
29-03-2020,14400429.038071165
30-03-2020,14469931.944051437
31-03-2020,14281805.099995358
01-04-2020,14051901.388983564
02-04-2020,14238021.202944443
03-04-2020,14533891.0778751
04-04-2020,14413578.860878339
05-04-2020,14664398.629567366
06-04-2020,14409986.870418176
07-04-2020,14151616.299477339
08-04-2020,14197829.29635369
09-04-2020,14311698.353334617
10-04-2020,14199677.759494148
11-04-2020,14273354.909884322
12-04-2020,14926624.693743857
13-04-2020,14832031.48567645
14-04-2020,14690117.638496721
15-04-2020,15228618.977516104
16-04-2020,14804145.26243239
17-04-2020,14543767.661396356
18-04-2020,14559506.768248465
19-04-2020,14834357.266945897
20-04-2020,14905867.20302137
21-04-2020,14655788.255236827
22-04-2020,14793846.6091809
23-04-2020,15096001.077172646
24-04-2020,15025757.350287892
25-04-2020,14963383.17682919
26-04-2020,15560563.380291121
27-04-2020,15103870.630598702
28-04-2020,15059664.663817551
29-04-2020,15017887.796861837
30-04-2020,15294004.504749982
01-05-2020,15025757.350287892
02-05-2020,15213462.124613736
03-05-2020,15706491.287661247
04-05-2020,15506320.64576921
05-05-2020,15706331.103441747
06-05-2020,16268863.17246953
07-05-2020,16367151.68955309
08-05-2020,16487041.836819615
09-05-2020,16258564.519218037
10-05-2020,16895514.55954048
11-05-2020,16829546.778356858
12-05-2020,16835409.301687717
13-05-2020,16869316.615217373
14-05-2020,17275622.12362354
15-05-2020,16652722.911232252
16-05-2020,16702369.33161402
17-05-2020,17175223.257888786
18-05-2020,17053165.896307558
19-05-2020,16818826.05537513
20-05-2020,17319406.02067445
21-05-2020,17423557.061088864
22-05-2020,17361182.88763017
23-05-2020,17230994.087112144
24-05-2020,17818297.707052823
25-05-2020,16989628.832214136
26-05-2020,17547461.26854579
27-05-2020,17755763.34937462
28-05-2020,17755763.34937462
29-05-2020,17739602.17279227
30-05-2020,17719004.86628928
31-05-2020,18520473.09038964
01-06-2020,18320883.085182585
02-06-2020,18250639.358297825
03-06-2020,18404858.888824247
04-06-2020,17324846.474275067
05-06-2020,18354790.39871224
06-06-2020,18646646.213452496
07-06-2020,19218210.72654106
08-06-2020,19179707.098871265
09-06-2020,18346920.845286187
10-06-2020,18134763.2712217
11-06-2020,18200570.868185822
12-06-2020,18090557.30444055
13-06-2020,18176962.207907654
14-06-2020,18850248.661585197
15-06-2020,18397569.972083174
16-06-2020,17818876.726473045
17-06-2020,17682244.765939187
18-06-2020,17944629.397070423
19-06-2020,17800708.519795492
20-06-2020,17894560.906958416
21-06-2020,17790411.48380876
22-06-2020,18102862.987787247
23-06-2020,17570224.17209872
24-06-2020,18195288.981539946
25-06-2020,17906866.59030511
