Date,Mobility
15-02-2020,23021905.027347993
16-02-2020,22816586.15965223
17-02-2020,23002684.08738657
18-02-2020,23113315.30770497
19-02-2020,23046363.83809263
20-02-2020,23514664.393368416
21-02-2020,22180321.713937353
22-02-2020,23168244.211901926
23-02-2020,23149796.683864985
24-02-2020,23557157.052236125
25-02-2020,23359036.559086397
26-02-2020,23242394.056060303
27-02-2020,23257693.98849608
28-02-2020,23244484.331242353
29-02-2020,23552462.63278599
01-03-2020,23098145.146688413
02-03-2020,23422067.02117309
03-03-2020,23444565.3281549
04-03-2020,23463012.856191844
05-03-2020,23584893.230001144
06-03-2020,23651844.69961349
07-03-2020,23792172.60145973
08-03-2020,24047955.914493725
09-03-2020,23567862.754393946
10-03-2020,17904592.99940031
11-03-2020,22297507.668296527
12-03-2020,23268399.6906539
13-03-2020,23600836.80294218
14-03-2020,18609225.967157274
15-03-2020,23483007.208077744
16-03-2020,23028689.721980162
17-03-2020,22803376.502398502
18-03-2020,22894786.782755475
19-03-2020,22701490.480475098
20-03-2020,22975721.32154603
21-03-2020,22912277.17954547
22-03-2020,17134584.96812701
23-03-2020,18216751.851308044
24-03-2020,16836538.95681671
25-03-2020,16153217.204203213
26-03-2020,16236655.698089674
27-03-2020,16291170.922372768
28-03-2020,16686508.72532852
29-03-2020,17157856.6870333
30-03-2020,16448759.260417607
31-03-2020,16400255.318842206
01-04-2020,16200174.321929656
02-04-2020,16200947.733854132
03-04-2020,16727454.56034727
04-04-2020,16689012.680424428
05-04-2020,17368413.425512277
06-04-2020,16377343.33194653
07-04-2020,16605574.186537966
08-04-2020,16636044.279990293
09-04-2020,16872606.65306286
10-04-2020,16565401.763443697
11-04-2020,16709780.444234807
12-04-2020,17461370.52971821
13-04-2020,16957591.970798284
14-04-2020,17030968.403032184
15-04-2020,17454042.383752953
16-04-2020,17227542.07233295
17-04-2020,17227542.07233295
18-04-2020,17275272.601983868
19-04-2020,17439415.674069487
20-04-2020,16993299.93503382
21-04-2020,17288482.2592376
22-04-2020,17432087.52810423
23-04-2020,17632168.52501678
24-04-2020,18214377.667631354
25-04-2020,18068038.483077418
26-04-2020,18824866.439344034
27-04-2020,17937642.871464517
28-04-2020,18510333.403759617
29-04-2020,18401662.68720404
30-04-2020,18789802.115613755
01-05-2020,18917693.772130758
02-05-2020,19303099.284853164
03-05-2020,20018981.406101026
04-05-2020,19438962.727840677
05-05-2020,19618275.960942846
06-05-2020,20207683.478103455
07-05-2020,19922203.483541623
08-05-2020,20881302.901075006
09-05-2020,20225717.326226536
10-05-2020,21309744.523998212
11-05-2020,20743708.91491607
12-05-2020,21219751.296070978
13-05-2020,20886540.77185822
14-05-2020,21109120.07575258
