Date,Mobility
15-02-2020,37568941.633938044
16-02-2020,37670788.44849211
17-02-2020,37541130.04070758
18-02-2020,37785863.68255073
19-02-2020,38350822.06201241
20-02-2020,38477001.70931713
21-02-2020,34869043.68043624
22-02-2020,37321715.3945715
23-02-2020,37631821.881900325
24-02-2020,37698231.45045763
25-02-2020,37576567.28670434
26-02-2020,38271234.63406577
27-02-2020,37428128.2527922
28-02-2020,37864414.38742576
29-02-2020,38001749.00809179
01-03-2020,37679450.82433002
02-03-2020,37690605.79769134
03-03-2020,37815748.72192444
04-03-2020,38501334.54206779
05-03-2020,38013890.144409515
06-03-2020,37744823.669815704
07-03-2020,37898865.47046611
08-03-2020,37792452.612245396
09-03-2020,36691803.321004294
10-03-2020,27077313.81039318
11-03-2020,33377295.15958308
12-03-2020,36065001.41665196
13-03-2020,36519031.4543415
14-03-2020,30716612.753099564
15-03-2020,37441306.11218154
16-03-2020,36898607.11932728
17-03-2020,36111174.48462987
18-03-2020,37081497.23627977
19-03-2020,36195277.39612794
20-03-2020,36242906.33855763
21-03-2020,35270510.14076449
22-03-2020,24987390.970420893
23-03-2020,27278146.250712946
24-03-2020,25387571.727251023
25-03-2020,23951027.241478633
26-03-2020,24053910.77910432
27-03-2020,23852240.036024217
28-03-2020,24204423.2591597
29-03-2020,25662858.540274553
30-03-2020,24084832.54154965
31-03-2020,23792469.957276803
01-04-2020,23349594.89294858
02-04-2020,23177809.18924218
03-04-2020,23857842.802762486
04-04-2020,24431463.558062077
05-04-2020,25865566.00642627
06-04-2020,23869983.939080205
07-04-2020,24524647.99677823
08-04-2020,24613316.95194295
09-04-2020,24275348.31126843
10-04-2020,22732390.967275333
11-04-2020,23234049.947394572
12-04-2020,24859704.88854917
13-04-2020,23681491.05538944
14-04-2020,23739238.24810884
15-04-2020,24507940.816793863
16-04-2020,23425653.00030019
17-04-2020,23497614.775480546
18-04-2020,23689167.26827095
19-04-2020,24652532.49896124
20-04-2020,22883990.730517555
21-04-2020,23092250.40329232
22-04-2020,23174330.428762373
23-04-2020,23504203.705175217
24-04-2020,23712463.377949987
25-04-2020,23904015.870740395
26-04-2020,24980382.88934606
27-04-2020,23951644.81317009
28-04-2020,24159904.485944863
29-04-2020,24187766.63929055
30-04-2020,24320535.216289934
01-05-2020,24200944.498679888
02-05-2020,24815605.266714502
03-05-2020,26017115.20955327
04-05-2020,25899966.529351406
05-05-2020,26090482.29907019
06-05-2020,26548041.657354765
07-05-2020,26065112.743247915
08-05-2020,26776068.119213544
09-05-2020,26591104.55611781
10-05-2020,28056128.76692734
11-05-2020,27324319.31869086
12-05-2020,27442873.31322929
13-05-2020,27596915.113879696
14-05-2020,27348652.15144152
15-05-2020,25864478.723239437
16-05-2020,26121404.06151552
17-05-2020,27227656.119494896
18-05-2020,26329663.734290294
19-05-2020,26282034.7918606
20-05-2020,26728439.17678385
21-05-2020,26693988.093743492
22-05-2020,28511564.118953448
23-05-2020,28941261.323892333
24-05-2020,30460503.40682622
25-05-2020,27193573.62771949
26-05-2020,28679820.50206481
