Date,Mobility
15-02-2020,34663691.293859206
16-02-2020,34791414.69299705
17-02-2020,34411937.38101102
18-02-2020,34864419.167162396
19-02-2020,34914860.81436337
20-02-2020,35102619.13174596
21-02-2020,31735525.80696196
22-02-2020,34196884.635735855
23-02-2020,35002774.55284472
24-02-2020,34885813.209438704
25-02-2020,34730795.38240828
26-02-2020,34435084.600319415
27-02-2020,34523582.73114479
28-02-2020,35805101.653713435
29-02-2020,35107350.73267417
01-03-2020,34147481.704035595
02-03-2020,34886397.60178273
03-03-2020,34581093.5486501
04-03-2020,34542452.67268167
05-03-2020,35493312.8226205
06-03-2020,36005245.1346726
07-03-2020,35664408.69865499
08-03-2020,35737413.17282034
09-03-2020,34532989.47082525
10-03-2020,23437719.863177057
11-03-2020,28135735.042229954
12-03-2020,34204538.19838422
13-03-2020,34899367.15770334
14-03-2020,33727553.87687307
15-03-2020,34726518.10463676
16-03-2020,34460439.31981659
17-03-2020,34133741.22440765
18-03-2020,33894956.86748006
19-03-2020,33843930.827935055
20-03-2020,33739354.648105614
21-03-2020,32373298.27193246
22-03-2020,23432143.731530122
23-03-2020,27806967.169238277
24-03-2020,23070895.50656097
25-03-2020,22480910.518864676
26-03-2020,22496404.17552471
27-03-2020,22985773.66061243
28-03-2020,22807608.614273615
29-03-2020,24344363.005500525
30-03-2020,22956726.055687763
31-03-2020,22905700.016142756
01-04-2020,22613949.911274757
02-04-2020,22429884.47931967
03-04-2020,23150384.758686613
04-04-2020,23439026.370471153
05-04-2020,25175924.24265722
06-04-2020,22801123.83631331
07-04-2020,23729421.159287777
08-04-2020,23564225.668869566
09-04-2020,23097419.01074621
10-04-2020,23311116.43997
11-04-2020,23526169.18524516
12-04-2020,25256582.27947093
13-04-2020,23497121.580320492
14-04-2020,23291077.71374506
15-04-2020,24069088.810617324
16-04-2020,23579134.933185566
17-04-2020,23868360.937314134
18-04-2020,23667633.064010944
19-04-2020,25166330.97161346
20-04-2020,24699922.17447083
21-04-2020,24782519.919679936
22-04-2020,24201543.810683373
23-04-2020,24061435.24796896
24-04-2020,24506263.471471976
25-04-2020,24372639.686717864
26-04-2020,25848774.76735601
27-04-2020,24572783.167677015
28-04-2020,24862009.171805583
29-04-2020,24973070.12959533
30-04-2020,25122187.57100948
01-05-2020,25071161.531464472
02-05-2020,25404344.40483371
03-05-2020,26925605.13940059
04-05-2020,27195190.278284945
05-05-2020,27135155.360040206
06-05-2020,27579983.583543226
07-05-2020,27129254.974423937
08-05-2020,28040305.463706277
09-05-2020,27512879.494994152
10-05-2020,28995499.353592597
11-05-2020,28064807.999066044
12-05-2020,28962118.008720446
13-05-2020,28151366.421496022
14-05-2020,28701355.21717252
15-05-2020,28901498.69813167
16-05-2020,28967434.001992684
17-05-2020,30027788.464052483
18-05-2020,28754320.965112925
19-05-2020,29244274.84254468
20-05-2020,28968018.394336715
21-05-2020,29539985.62463355
22-05-2020,29629068.14780296
23-05-2020,28893845.135483313
24-05-2020,30199468.732431
25-05-2020,27767741.900925808
26-05-2020,29355335.800334424
27-05-2020,29279222.83308562
28-05-2020,28509636.22256906
29-05-2020,28807871.105397362
30-05-2020,29280578.14913699
31-05-2020,30926453.78975825
01-06-2020,29847229.386161577
02-06-2020,30047957.259464763
03-06-2020,29854298.556465913
04-06-2020,28871866.700862974
05-06-2020,30642487.31672596
06-06-2020,30975085.797751173
07-06-2020,31648707.246157292
08-06-2020,30813583.19276045
09-06-2020,30591461.27718096
10-06-2020,30537911.13689652
11-06-2020,31087899.932573013
12-06-2020,31370641.158741273
13-06-2020,29959459.128639385
14-06-2020,31828041.07718417
15-06-2020,30792189.15048414
16-06-2020,31513858.214539155
17-06-2020,30970354.196822964
18-06-2020,30947791.3698586
19-06-2020,31720486.473458614
20-06-2020,31192476.112402458
21-06-2020,31417576.451878067
22-06-2020,30925228.54289423
23-06-2020,30910319.278578226
24-06-2020,31609425.51566887
25-06-2020,31046467.16407177
26-06-2020,30718600.28397477
27-06-2020,31001925.902487062
28-06-2020,31793093.08664323
29-06-2020,29418479.211662628
30-06-2020,31186575.726786185
01-07-2020,30747647.88889944
02-07-2020,30992332.6314433
03-07-2020,31704408.424454547
04-07-2020,31162844.11513375
05-07-2020,31865513.168464545
06-07-2020,30753548.27451571
07-07-2020,31542321.427119788
08-07-2020,30909150.493890163
09-07-2020,31102809.19688902
10-07-2020,31547637.420392033
11-07-2020,31392619.593361616
12-07-2020,24456779.279341646
13-07-2020,31474632.946226694
14-07-2020,30724500.66959104
15-07-2020,31881404.686105303
16-07-2020,31302952.67784817
17-07-2020,32104110.994028825
18-07-2020,31725802.46673085
19-07-2020,25073287.771223176
20-07-2020,31792322.162935898
21-07-2020,31643789.113865778
22-07-2020,31293359.40680441
23-07-2020,31375957.152013518
24-07-2020,32282276.04036765
25-07-2020,25592102.7222163
26-07-2020,25146292.245388523
27-07-2020,31821369.767860565
28-07-2020,31894958.63436994
29-07-2020,32273267.16166792
30-07-2020,33449942.112613734
31-07-2020,25125296.06409294
01-08-2020,24480324.359630767
02-08-2020,26729154.54386893
03-08-2020,23753655.902854167
04-08-2020,24499510.901718292
05-08-2020,28067332.099805474
06-08-2020,30233962.399815254
07-08-2020,31638075.25961281
08-08-2020,31095155.63424065
09-08-2020,26278028.073768917
10-08-2020,31437931.778653655
11-08-2020,31111233.683244716
12-08-2020,26905964.27415638
13-08-2020,31339840.376784515
14-08-2020,31934370.434045717
15-08-2020,30064035.308468834
16-08-2020,26284512.85172922
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,26625349.28774682
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,26203083.89120817
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,30415690.26239422
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,31219770.540295035
12-09-2020,30966076.91905144
13-09-2020,30572461.266456738
14-09-2020,31693061.97637869
15-09-2020,31715624.803343058
16-09-2020,31439368.355135098
17-09-2020,31461931.182099465
18-09-2020,32307046.367520798
19-09-2020,32001742.31438816
20-09-2020,31970941.5324314
21-09-2020,32412206.93969427
22-09-2020,32142435.26944661
23-09-2020,31151578.927487973
24-09-2020,32295513.388081633
25-09-2020,32985610.74647254
26-09-2020,33045645.664717283
27-09-2020,32481518.52843212
28-09-2020,32594332.66325396
29-09-2020,32483271.70546421
30-09-2020,31395995.87823846
01-10-2020,30612855.319457263
02-10-2020,30006922.351944245
03-10-2020,30947206.97751456
04-10-2020,30071875.4024805
05-10-2020,31023904.3371074
06-10-2020,31224047.818066552
07-10-2020,31421082.80594225
08-10-2020,32406306.554077998
09-10-2020,33459218.783106852
10-10-2020,32375903.63310196
11-10-2020,32895091.64682169
12-10-2020,33497859.659075283
13-10-2020,33519838.093695622
14-10-2020,33443725.12644682
15-10-2020,33866574.9153295
16-10-2020,34690296.05847452
17-10-2020,33567755.64015716
18-10-2020,33915263.38549838
19-10-2020,33666431.43437034
20-10-2020,33911116.17691421
21-10-2020,33170577.171322316
22-10-2020,33395807.579985272
23-10-2020,33650085.59357289
24-10-2020,32611896.097496744
25-10-2020,32530069.275994968
26-10-2020,29207517.21279568
27-10-2020,32226518.399894428
28-10-2020,31793490.947623957
29-10-2020,32209271.566202305
30-10-2020,31497009.24182775
31-10-2020,31924006.23929461
01-11-2020,33266915.396159362
02-11-2020,32594649.26380462
03-11-2020,33106581.575856704
04-11-2020,32318392.815596648
05-11-2020,32377843.341497358
06-11-2020,32756151.86879534
07-11-2020,33117797.95474522
08-11-2020,33444496.050154153
09-11-2020,32171215.0825779
10-11-2020,33914809.0623417
11-11-2020,33759206.84296724
12-11-2020,34555049.165875666
13-11-2020,34889985.21627699
14-11-2020,32520687.334568623
15-11-2020,26028823.059914265
16-11-2020,30812942.33824046
17-11-2020,32911299.765013102
18-11-2020,32201431.472190633
19-11-2020,33374413.537708968
20-11-2020,34331758.4656081
21-11-2020,33885761.45741702
22-11-2020,33856129.46014833
23-11-2020,33590635.067672186
24-11-2020,34125130.20668864
25-11-2020,33486058.88784274
26-11-2020,33317487.112547684
27-11-2020,33695211.247501634
28-11-2020,33968359.20262613
29-11-2020,34466737.56641358
30-11-2020,32201561.541377977
01-12-2020,33627068.443451844
02-12-2020,34246368.82786619
