Date,Mobility
15-02-2020,23377866.11830202
16-02-2020,23600549.225348435
17-02-2020,23131405.831603922
18-02-2020,23632683.296598252
19-02-2020,22214685.315736767
20-02-2020,22931394.450194284
21-02-2020,21696966.35456596
22-02-2020,22701618.29091079
23-02-2020,22925580.065209094
24-02-2020,23226687.76344764
25-02-2020,23045729.80282857
26-02-2020,22436104.58342212
27-02-2020,22733752.362160612
28-02-2020,22856444.60639303
29-02-2020,23448121.859023824
01-03-2020,23423239.225357227
02-03-2020,23337404.81123573
03-03-2020,23511269.719617713
04-03-2020,22862432.2046152
05-03-2020,22924316.225848034
06-03-2020,23243386.718753077
07-03-2020,23688594.547499757
08-03-2020,24178070.029286727
09-03-2020,23566060.688613478
10-03-2020,17637426.867534906
11-03-2020,22021910.544019513
12-03-2020,22048057.017047167
13-03-2020,23051717.401050735
14-03-2020,18573230.459974304
15-03-2020,23529232.51428421
16-03-2020,23929240.44921266
17-03-2020,23093457.375368915
18-03-2020,22704160.797523737
19-03-2020,22661315.369190644
20-03-2020,22883998.47623706
21-03-2020,22570915.581554186
22-03-2020,17366301.64407968
23-03-2020,19391253.608170196
24-03-2020,17398406.059547834
25-03-2020,15943708.633921562
26-03-2020,16127021.060025768
27-03-2020,16384365.91704411
28-03-2020,17045020.243144814
29-03-2020,17329458.641859584
30-03-2020,17058086.065713223
31-03-2020,16305609.727268863
01-04-2020,16262779.126826601
02-04-2020,16598533.747146243
03-04-2020,16903274.578121815
04-04-2020,17386604.07634048
05-04-2020,18490126.59359356
06-04-2020,17374787.265242293
07-04-2020,16809256.48563916
08-04-2020,16696184.972365927
09-04-2020,16940290.793578885
10-04-2020,17643934.10546799
11-04-2020,17671344.417856704
12-04-2020,18599911.400603715
13-04-2020,17852302.378475767
14-04-2020,17218885.151526798
15-04-2020,17455754.36304737
16-04-2020,16998571.33785636
17-04-2020,17034323.713952374
18-04-2020,17412923.76260511
19-04-2020,18075962.209972616
20-04-2020,17334340.786066834
21-04-2020,17033059.874591313
22-04-2020,17088971.12549282
23-04-2020,16705647.317978976
24-04-2020,17462847.415284447
25-04-2020,17392606.502453476
26-04-2020,18066356.306904256
27-04-2020,17359223.419733435
28-04-2020,17929477.958197676
29-04-2020,17566313.02548932
30-04-2020,18112790.38430188
01-05-2020,17963966.494932633
02-05-2020,18899755.259481203
03-05-2020,19375862.975898303
04-05-2020,18938967.555077266
05-05-2020,19109214.158613056
06-05-2020,19443719.767462477
07-05-2020,18374685.786944356
08-05-2020,18966377.867465977
09-05-2020,18910466.61656447
10-05-2020,19273502.81970835
11-05-2020,19343714.076757655
12-05-2020,19790185.744865395
13-05-2020,19533014.101084027
14-05-2020,19765144.725852653
15-05-2020,20192562.973169815
16-05-2020,20577150.62004472
17-05-2020,20729464.08469568
18-05-2020,20681880.069610644
19-05-2020,20552109.601031974
20-05-2020,20852126.673146434
21-05-2020,21322375.520905856
22-05-2020,20994962.964293517
23-05-2020,21456869.748345636
24-05-2020,22004482.216954775
25-05-2020,20255710.833763704
26-05-2020,21591363.975785412
27-05-2020,21697357.2647124
28-05-2020,21715146.84614192
29-05-2020,21910434.46869045
30-05-2020,22723545.816897426
31-05-2020,23125952.70098351
01-06-2020,22453293.522656817
02-06-2020,22009176.320034217
03-06-2020,22096116.188170623
04-06-2020,20308176.993055988
05-06-2020,21742557.15853063
06-06-2020,22510468.612919375
07-06-2020,22755694.716038078
08-06-2020,22285416.212496996
09-06-2020,21455620.73687541
10-06-2020,21883038.984192573
11-06-2020,22366353.654520407
12-06-2020,22353287.831951994
13-06-2020,21321111.6815448
14-06-2020,23552092.28104879
15-06-2020,22622261.458940722
16-06-2020,22132959.19039072
17-06-2020,21873418.253233384
18-06-2020,21524582.982454494
19-06-2020,21784123.919611834
20-06-2020,22355642.297437135
21-06-2020,22883095.89124078
22-06-2020,22330601.278424393
23-06-2020,21998464.962950945
24-06-2020,22275795.4815378
25-06-2020,22007897.652782332
26-06-2020,21707895.408558704
27-06-2020,21853259.378427893
28-06-2020,23602001.105837293
29-06-2020,22667461.35275895
30-06-2020,22573443.260276295
01-07-2020,22188870.44129223
02-07-2020,22405565.95011647
03-07-2020,22432976.262505185
04-07-2020,22975835.316471547
05-07-2020,22311735.898761626
06-07-2020,22781811.53328407
07-07-2020,22475806.862947445
08-07-2020,22388881.822701864
09-07-2020,22711570.6204531
10-07-2020,22473452.397462305
11-07-2020,21441276.247055117
12-07-2020,18484168.651153058
13-07-2020,22835353.490809605
14-07-2020,22152027.439072132
15-07-2020,20699684.478931
16-07-2020,20872285.547951926
17-07-2020,21435461.86206992
18-07-2020,20518726.51831193
19-07-2020,19478223.132088266
20-07-2020,22638975.24213699
21-07-2020,22241321.77269368
22-07-2020,22913951.29523871
23-07-2020,22560392.26559871
24-07-2020,23046076.22930252
25-07-2020,19456785.59003089
26-07-2020,19507987.909962114
27-07-2020,23658070.742084943
28-07-2020,22768745.710715655
29-07-2020,22744968.531063978
30-07-2020,22852052.44611504
31-07-2020,22646053.466483235
01-08-2020,21566308.128881842
02-08-2020,21081744.447083782
03-08-2020,20725786.468286157
04-08-2020,21487566.766997423
05-08-2020,20239830.217562567
06-08-2020,20386284.813555837
07-08-2020,20985055.118423704
08-08-2020,20433854.000750042
09-08-2020,19001684.74330523
10-08-2020,21850602.970141303
11-08-2020,21224437.180775557
12-08-2020,19985171.424612474
13-08-2020,20566152.14805082
14-08-2020,21424448.562185198
15-08-2020,20789925.881221317
16-08-2020,19843455.415371142
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
