Date,Mobility
15-02-2020,16504991.708590811
16-02-2020,
17-02-2020,
18-02-2020,
19-02-2020,
20-02-2020,16136471.952986531
21-02-2020,14554874.88433796
22-02-2020,16053895.401241876
23-02-2020,16107867.069521366
24-02-2020,16975734.17822467
25-02-2020,
26-02-2020,
27-02-2020,16205448.822374882
28-02-2020,16562526.447511267
29-02-2020,17070078.717836455
01-03-2020,16571810.14068163
02-03-2020,
03-03-2020,
04-03-2020,
05-03-2020,16187206.408024283
06-03-2020,16400610.557263695
07-03-2020,17219148.729681812
08-03-2020,17153734.930934433
09-03-2020,
10-03-2020,12053593.934367666
11-03-2020,13641666.314908827
12-03-2020,16711270.601957388
13-03-2020,16391325.97868422
14-03-2020,16280898.347428478
15-03-2020,17030785.50785748
16-03-2020,17082273.766849317
17-03-2020,
18-03-2020,
19-03-2020,16564683.999399686
20-03-2020,16884952.709253863
21-03-2020,16473576.673029643
22-03-2020,12436689.17370773
23-03-2020,14588118.072751854
24-03-2020,12607237.927736307
25-03-2020,12132930.616643243
26-03-2020,11941331.06698629
27-03-2020,12277683.75389354
28-03-2020,12364902.152223377
29-03-2020,
30-03-2020,12253721.602422666
31-03-2020,12286968.332473015
01-04-2020,12320214.177114254
02-04-2020,12072158.664481046
03-04-2020,12568269.689747455
04-04-2020,12698018.511298003
05-04-2020,
06-04-2020,12483208.843306033
07-04-2020,12061796.195366478
08-04-2020,13037608.411446989
09-04-2020,11775852.106097747
10-04-2020,12085758.346837353
11-04-2020,12377423.058635475
12-04-2020,13125478.524575295
13-04-2020,12431394.726914965
14-04-2020,12321293.838467572
15-04-2020,
16-04-2020,12395991.330385312
17-04-2020,
18-04-2020,
19-04-2020,
20-04-2020,
21-04-2020,
22-04-2020,
23-04-2020,
24-04-2020,
25-04-2020,
26-04-2020,
27-04-2020,
28-04-2020,
29-04-2020,
30-04-2020,
01-05-2020,
02-05-2020,
03-05-2020,
04-05-2020,
05-05-2020,
06-05-2020,
07-05-2020,
08-05-2020,
09-05-2020,
10-05-2020,
11-05-2020,
12-05-2020,
13-05-2020,
14-05-2020,
15-05-2020,
16-05-2020,
17-05-2020,
18-05-2020,
19-05-2020,
20-05-2020,
21-05-2020,
22-05-2020,
23-05-2020,
24-05-2020,
25-05-2020,
26-05-2020,
27-05-2020,
28-05-2020,
29-05-2020,
30-05-2020,
31-05-2020,
01-06-2020,
02-06-2020,
03-06-2020,
04-06-2020,
05-06-2020,
06-06-2020,
07-06-2020,
08-06-2020,
09-06-2020,
10-06-2020,
11-06-2020,
12-06-2020,
13-06-2020,
14-06-2020,
15-06-2020,
16-06-2020,
17-06-2020,
18-06-2020,
19-06-2020,
20-06-2020,
21-06-2020,
22-06-2020,
23-06-2020,
24-06-2020,
25-06-2020,
26-06-2020,
27-06-2020,
28-06-2020,
29-06-2020,
30-06-2020,
01-07-2020,
02-07-2020,
03-07-2020,
04-07-2020,
05-07-2020,
06-07-2020,
07-07-2020,
08-07-2020,
09-07-2020,
10-07-2020,
11-07-2020,
12-07-2020,
13-07-2020,
14-07-2020,
15-07-2020,
16-07-2020,
17-07-2020,
18-07-2020,
19-07-2020,
20-07-2020,
21-07-2020,
22-07-2020,
23-07-2020,
24-07-2020,
25-07-2020,
26-07-2020,
27-07-2020,
28-07-2020,
29-07-2020,
30-07-2020,
31-07-2020,
01-08-2020,
02-08-2020,
03-08-2020,
04-08-2020,
05-08-2020,
06-08-2020,
07-08-2020,
08-08-2020,
09-08-2020,
10-08-2020,
11-08-2020,
12-08-2020,
13-08-2020,
14-08-2020,
15-08-2020,
16-08-2020,
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,
12-09-2020,
13-09-2020,
14-09-2020,
15-09-2020,
16-09-2020,
17-09-2020,
18-09-2020,
19-09-2020,
20-09-2020,
21-09-2020,
22-09-2020,
23-09-2020,
24-09-2020,
25-09-2020,
26-09-2020,
27-09-2020,
28-09-2020,
29-09-2020,
30-09-2020,
01-10-2020,
02-10-2020,
03-10-2020,
04-10-2020,
05-10-2020,
06-10-2020,
07-10-2020,
08-10-2020,
09-10-2020,
10-10-2020,
11-10-2020,
12-10-2020,
13-10-2020,
14-10-2020,
15-10-2020,
16-10-2020,
17-10-2020,
18-10-2020,
19-10-2020,
20-10-2020,
21-10-2020,
22-10-2020,
23-10-2020,
24-10-2020,
25-10-2020,
26-10-2020,
27-10-2020,
28-10-2020,
29-10-2020,
30-10-2020,
31-10-2020,
01-11-2020,
02-11-2020,
03-11-2020,
04-11-2020,
05-11-2020,
06-11-2020,
07-11-2020,
08-11-2020,
09-11-2020,
10-11-2020,
11-11-2020,
12-11-2020,
13-11-2020,
14-11-2020,
15-11-2020,
16-11-2020,
17-11-2020,
