Date,Mobility
15-02-2020,22203822.777756024
16-02-2020,22259991.776316587
17-02-2020,21942519.526002854
18-02-2020,22185099.778235838
19-02-2020,21922896.215417452
20-02-2020,22349400.45248519
21-02-2020,21196148.702793196
22-02-2020,22181968.27041395
23-02-2020,22178258.571018964
24-02-2020,22361860.436361607
25-02-2020,22515932.323491212
26-02-2020,22433943.046112586
27-02-2020,21715530.765468176
28-02-2020,22333486.841294777
29-02-2020,22258594.843214024
01-03-2020,22376873.736486807
02-03-2020,22143944.07980047
03-03-2020,22134871.67582693
04-03-2020,22402694.015304867
05-03-2020,22570126.197376102
06-03-2020,23128525.694739256
07-03-2020,23081429.100152235
08-03-2020,22948055.337218493
09-03-2020,22280945.972593445
10-03-2020,18117054.571004562
11-03-2020,19303208.356687833
12-03-2020,22278136.584263667
13-03-2020,22544305.918558046
14-03-2020,21681390.776794925
15-03-2020,22301403.546832953
16-03-2020,21735584.650679816
17-03-2020,21357655.510837425
18-03-2020,21704079.5477911
19-03-2020,21461499.295558114
20-03-2020,21315921.620828953
21-03-2020,20471729.47858602
22-03-2020,15110462.260119423
23-03-2020,16441790.031503987
24-03-2020,16299343.86459671
25-03-2020,15309574.047624614
26-03-2020,15074413.19418161
27-03-2020,15237813.557365747
28-03-2020,15216859.36108889
29-03-2020,15793485.235934885
30-03-2020,15474452.91344707
31-03-2020,15699210.477225082
01-04-2020,15019897.200804608
02-04-2020,14444427.709104825
03-04-2020,15286388.65459109
04-04-2020,15030125.987924363
05-04-2020,15918108.714387193
06-04-2020,14662344.065665966
07-04-2020,16011320.022960264
08-04-2020,15110958.88215677
09-04-2020,15360380.341606626
10-04-2020,14822935.040520325
11-04-2020,15154923.96892191
12-04-2020,15852463.622825222
13-04-2020,15274359.245340906
14-04-2020,15555863.999252586
15-04-2020,15569224.294194223
16-04-2020,14925704.011630563
17-04-2020,15184776.066627067
18-04-2020,15153270.96373835
19-04-2020,15894775.7044068
20-04-2020,15547369.786852153
21-04-2020,16055863.301298508
22-04-2020,15513055.295633659
23-04-2020,15648982.374816177
24-04-2020,15940715.915847609
25-04-2020,16192946.76362724
26-04-2020,16570957.47300539
27-04-2020,16259344.549307559
28-04-2020,16921587.831391405
29-04-2020,16571454.09504274
30-04-2020,16722972.665923562
01-05-2020,16692367.874100057
02-05-2020,16831104.34161235
03-05-2020,16947233.607664224
04-05-2020,16667703.978428211
05-05-2020,17674718.292282175
06-05-2020,17627621.69769515
07-05-2020,15766186.454478504
08-05-2020,17900054.04763329
09-05-2020,17855188.649802938
10-05-2020,18672163.580125246
11-05-2020,16300500.247742923
12-05-2020,18871275.367630437
13-05-2020,18350900.060880765
14-05-2020,18524851.33067676
15-05-2020,16851305.843770858
16-05-2020,17387272.64221884
17-05-2020,17837622.033428963
18-05-2020,17516358.51418448
19-05-2020,17964973.33067529
20-05-2020,17554382.70479796
21-05-2020,18941382.852705747
22-05-2020,18784501.577246375
23-05-2020,18922659.853185557
24-05-2020,19626140.403240528
25-05-2020,17784502.973154526
26-05-2020,19598263.430211045
27-05-2020,19130925.614200044
28-05-2020,19266852.693382565
29-05-2020,19204742.798670344
30-05-2020,19725696.29699312
