Date,Mobility
15-02-2020,29893385.295634862
16-02-2020,29860236.881267957
17-02-2020,30066574.062335826
18-02-2020,30565714.263234194
19-02-2020,30288836.345506057
20-02-2020,30422559.956557713
21-02-2020,29199154.353473675
22-02-2020,30212931.155952282
23-02-2020,30082410.331840612
24-02-2020,30151998.78011198
25-02-2020,30130709.22511612
26-02-2020,30440824.38980873
27-02-2020,30371147.10893979
28-02-2020,30635302.711505555
29-02-2020,30814808.219488926
01-03-2020,30288836.345506057
02-03-2020,30151998.78011198
03-03-2020,30504781.887393884
04-03-2020,30629760.593416918
05-03-2020,30748422.55815755
06-03-2020,30720727.42928171
07-03-2020,30844931.512110986
08-03-2020,30906638.51114506
09-03-2020,30210680.657401208
10-03-2020,22735834.281582452
11-03-2020,29340492.915969916
12-03-2020,30034200.27116268
13-03-2020,30249371.18985675
14-03-2020,22783955.50966281
15-03-2020,29778611.9084304
16-03-2020,29763639.094716944
17-03-2020,29724085.106470063
18-03-2020,29489963.963928796
19-03-2020,29207543.92811201
20-03-2020,29359443.13981712
21-03-2020,28569226.830670908
22-03-2020,20600338.20905456
23-03-2020,21535524.569057487
24-03-2020,20298355.529824592
25-03-2020,19456726.373060465
26-03-2020,19502597.10258974
27-03-2020,19463043.114342865
28-03-2020,19453523.586120475
29-03-2020,20561558.84400145
30-03-2020,19429805.86737839
31-03-2020,19225719.184861604
01-04-2020,19128435.607714407
02-04-2020,19320663.43086015
03-04-2020,19748577.104502063
04-04-2020,19763549.91821552
05-04-2020,20898505.68177856
06-04-2020,19122893.489625767
07-04-2020,19767616.16094684
08-04-2020,20050810.81995738
09-04-2020,20124376.678362492
10-04-2020,20038951.96058634
11-04-2020,20212140.727287304
12-04-2020,21386650.47909722
13-04-2020,20513510.986951288
14-04-2020,20364039.93899241
15-04-2020,20807789.88213911
16-04-2020,20464437.47048202
17-04-2020,20594958.294593696
18-04-2020,20433539.5546662
19-04-2020,21340690.91697037
20-04-2020,20579896.648282662
21-04-2020,20318080.376865555
22-04-2020,20339458.764458988
23-04-2020,20203395.822258674
24-04-2020,20333916.646370348
25-04-2020,20136146.705135964
26-04-2020,21256040.82238797
27-04-2020,20340233.38765275
28-04-2020,20294362.65812347
29-04-2020,20510308.200011298
30-04-2020,20510308.200011298
01-05-2020,20601275.035876095
02-05-2020,20734909.814330187
03-05-2020,21620682.789040923
04-05-2020,20829079.43713497
05-05-2020,20698558.613023296
06-05-2020,20850457.824728403
07-05-2020,20689902.540592242
08-05-2020,20987295.390122477
09-05-2020,20874950.166664246
10-05-2020,22085811.119781055
11-05-2020,21249111.661539588
12-05-2020,21203240.932010308
13-05-2020,21361456.884997815
14-05-2020,21616956.415132523
15-05-2020,21838444.075108994
16-05-2020,21813862.90057557
17-05-2020,22903722.557803098
18-05-2020,21942044.39353859
19-05-2020,21646990.87515701
20-05-2020,21942044.39353859
21-05-2020,22164306.67670882
22-05-2020,22097057.559586115
23-05-2020,21996571.195498925
24-05-2020,23241444.018773966
25-05-2020,21316360.778662294
26-05-2020,22133408.760893002
27-05-2020,22403969.93733874
28-05-2020,22568502.63160865
29-05-2020,22847719.880485438
30-05-2020,23388753.400779344
31-05-2020,24712734.20054814
01-06-2020,24182172.496865533
02-06-2020,24534180.98095368
03-06-2020,24929720.86342245
04-06-2020,25252469.510679863
05-06-2020,25269870.488139555
06-06-2020,25266667.70119956
07-06-2020,25544932.66168745
08-06-2020,25586302.394114565
09-06-2020,24974816.969757967
10-06-2020,25364040.110944334
11-06-2020,25662296.4162659
12-06-2020,25890100.81752478
13-06-2020,25400480.144848794
14-06-2020,25949217.449184846
15-06-2020,25430514.604873285
16-06-2020,25080845.451933794
17-06-2020,25430514.604873285
18-06-2020,25595047.299143195
19-06-2020,25776980.97087279
20-06-2020,25834710.55977311
21-06-2020,25150256.235010013
22-06-2020,25351406.62837953
23-06-2020,24983561.874786597
24-06-2020,26087096.135565404
25-06-2020,25996129.299700607
26-06-2020,26235792.56033052
27-06-2020,25940739.041948937
28-06-2020,26301314.765870567
29-06-2020,26314900.536824275
30-06-2020,26128989.45496093
01-07-2020,26509467.69111867
02-07-2020,26792662.350129213
03-07-2020,26980912.763141207
04-07-2020,27403284.318694476
05-07-2020,26046589.858929615
06-07-2020,27315520.26976967
07-07-2020,26840872.410807144
08-07-2020,27406487.105634466
09-07-2020,27531465.811657496
10-07-2020,28252093.67253234
11-07-2020,28078904.905831374
12-07-2020,25533162.634913977
13-07-2020,28252093.67253234
14-07-2020,27035439.565101538
15-07-2020,27631863.34314711
16-07-2020,28264727.15509714
17-07-2020,28504390.415727057
18-07-2020,28327998.862086106
19-07-2020,22100872.766092084
20-07-2020,28848517.450577907
21-07-2020,28057437.68564037
22-07-2020,28589815.133503214
23-07-2020,28553463.932196323
24-07-2020,28896727.51125584
25-07-2020,27990963.191711415
26-07-2020,22043143.177191764
27-07-2020,28888071.438824784
28-07-2020,28142862.403416526
29-07-2020,28474355.955702573
30-07-2020,28282902.755750585
31-07-2020,29425991.00477627
01-08-2020,27988026.90256415
02-08-2020,23036760.37825857
03-08-2020,25498030.21978872
04-08-2020,26505490.280984927
05-08-2020,27156440.860990826
06-08-2020,27688818.30885367
07-08-2020,27849373.592989836
08-08-2020,27722055.555818148
09-08-2020,22074742.345171146
10-08-2020,28673690.604891848
11-08-2020,27910305.968830142
12-08-2020,26886831.972933993
13-08-2020,27193566.685491476
14-08-2020,28269405.81739445
15-08-2020,27056906.78529255
16-08-2020,22284371.145776577
17-08-2020,28941823.617591362
18-08-2020,28445797.3710354
19-08-2020,28750370.417639375
20-08-2020,28382525.66404644
21-08-2020,28084269.35872487
22-08-2020,23661653.908373732
23-08-2020,22403807.733710967
24-08-2020,28984491.560180645
25-08-2020,28491668.10056468
26-08-2020,28762229.27701042
27-08-2020,28671262.44114562
28-08-2020,28002047.4278887
29-08-2020,27168896.678360485
30-08-2020,22920348.912069015
31-08-2020,29492376.666107643
01-09-2020,28358033.322110597
02-09-2020,28351716.58082819
03-09-2020,27923714.07458871
04-09-2020,29063599.536674403
05-09-2020,29258166.6909688
06-09-2020,27721877.890623003
07-09-2020,28869032.38238001
08-09-2020,28519363.229440514
09-09-2020,28808100.0065397
10-09-2020,27498139.732095446
11-09-2020,28191072.464094456
12-09-2020,27908741.260875247
13-09-2020,27612735.45410476
14-09-2020,28398273.100953653
15-09-2020,28413334.747264687
16-09-2020,28830253.017326888
17-09-2020,27881820.755193178
18-09-2020,29115787.007486083
19-09-2020,28808874.62973346
20-09-2020,28573801.198803272
21-09-2020,28294672.782524057
22-09-2020,27899907.52324905
23-09-2020,27679194.48646634
24-09-2020,29747086.111481223
25-09-2020,29734363.796318844
26-09-2020,29688493.066789564
27-09-2020,28991494.092059236
28-09-2020,29518418.254431013
29-09-2020,28666494.94625074
30-09-2020,28182416.3916634
01-10-2020,27673845.495140214
02-10-2020,27048339.545459066
03-10-2020,28622277.757273927
04-10-2020,27514766.086361375
05-10-2020,28388156.614732657
06-10-2020,28111278.697004512
07-10-2020,28905472.416284464
08-10-2020,29097700.239430208
09-10-2020,29702780.089906834
10-10-2020,29380894.898440752
11-10-2020,29653617.740839995
12-10-2020,30223298.67839864
13-10-2020,29514529.67689484
14-10-2020,30086461.11300456
15-10-2020,30293750.58246134
16-10-2020,30686087.677990116
17-10-2020,30330101.783768225
18-10-2020,30672413.074438833
19-10-2020,30546047.325656056
20-10-2020,29633191.641635474
21-10-2020,29721044.523157854
22-10-2020,29066891.15621196
23-10-2020,29476629.22920043
24-10-2020,28473670.165106382
25-10-2020,28797805.85512355
26-10-2020,26875150.7787581
27-10-2020,28704588.52070767
28-10-2020,29017817.6397427
29-10-2020,29130937.48639468
30-10-2020,28465788.715869088
31-10-2020,29155429.828330535
01-11-2020,30313313.22587453
02-11-2020,29915611.67745225
03-11-2020,29778774.112058174
04-11-2020,30061968.771068715
05-11-2020,29669631.675539933
06-11-2020,30149732.819993526
07-11-2020,30690766.34028743
08-11-2020,31836790.878460377
09-11-2020,30289773.172327586
10-11-2020,30232043.583427265
11-11-2020,30846731.794723853
12-11-2020,30528049.390197754
13-11-2020,30905413.67201308
14-11-2020,27801414.56853725
15-11-2020,25749463.5071921
16-11-2020,26571530.02054303
17-11-2020,28437318.963799495
18-11-2020,29513843.886298653
19-11-2020,29422877.050433856
20-11-2020,30049335.288503915
21-11-2020,30049335.288503915
22-11-2020,30246152.94134939
23-11-2020,29635619.8053817
24-11-2020,29246485.49679291
25-11-2020,28626432.832602825
26-11-2020,28994188.753598183
27-11-2020,29532019.486952096
28-11-2020,29985288.95832119
29-11-2020,30422633.327587917
30-11-2020,28075968.6166841
01-12-2020,29172919.638387796
02-12-2020,30481315.20487715
03-12-2020,30390348.369012345
04-12-2020,30876766.25474834
05-12-2020,31205057.0200944
06-12-2020,31326058.315983687
07-12-2020,30119101.401970424
08-12-2020,29340655.119597692
09-12-2020,30143593.74390627
10-12-2020,30058943.649323873
11-12-2020,27657219.14087429
12-12-2020,30448852.581106424
13-12-2020,31810822.66116721
14-12-2020,30710580.019925967
15-12-2020,30987457.937654104
16-12-2020,31261133.06844226
17-12-2020,30835558.725948997
18-12-2020,31513429.811636973
19-12-2020,31507113.07035457
20-12-2020,32415902.511643834
21-12-2020,31394767.846896343
22-12-2020,31099714.32851476
23-12-2020,31467559.082107697
24-12-2020,31221579.08019538
25-12-2020,30744769.55527935
26-12-2020,31330721.51671362
27-12-2020,32330477.793867677
28-12-2020,31172505.563726112
29-12-2020,30981052.36377413
30-12-2020,31401084.588178743
31-12-2020,31848126.150863007
