Date,Mobility
15-02-2020,4899599.918942845
16-02-2020,4765264.781611022
17-02-2020,4768170.325380998
18-02-2020,4811240.0709318975
19-02-2020,4791517.741058058
20-02-2020,4555348.460073689
21-02-2020,4878999.736395435
22-02-2020,4919769.8051006645
23-02-2020,4791183.695266658
24-02-2020,4838659.964079798
25-02-2020,4900925.327900396
26-02-2020,4558298.803991411
27-02-2020,4917198.307122087
28-02-2020,4920744.072988786
29-02-2020,4896852.8504295545
01-03-2020,4710696.981064485
02-03-2020,4878807.0705826925
03-03-2020,5013159.303192546
04-03-2020,5117967.7009599
05-03-2020,5220748.407630849
06-03-2020,5220817.117975683
07-03-2020,5011482.753165567
08-03-2020,4979656.3367554275
09-03-2020,5131238.721197066
10-03-2020,4833155.217461527
11-03-2020,4888101.863947209
12-03-2020,4901899.595788517
13-03-2020,5026430.323429711
14-03-2020,4990083.8732647505
15-03-2020,4889619.938717501
16-03-2020,4929846.200540559
17-03-2020,4732718.987783995
18-03-2020,4703894.530358383
19-03-2020,4603606.166345848
20-03-2020,4586630.904985299
21-03-2020,4469763.385445749
22-03-2020,3801265.063689511
23-03-2020,3398101.176437353
24-03-2020,3306212.6578377355
25-03-2020,3390148.887308415
26-03-2020,3281109.5368135353
27-03-2020,3314454.0279939678
28-03-2020,3367214.6727429167
29-03-2020,3758195.3181386115
30-03-2020,3333456.980450922
31-03-2020,3381924.612430212
01-04-2020,3314261.362181225
02-04-2020,3383601.1624571895
03-04-2020,3416770.083102908
04-04-2020,3567168.273949294
05-04-2020,3835136.2664740854
06-04-2020,3450737.7011020347
07-04-2020,3572073.8039459586
08-04-2020,3576944.9787702058
09-04-2020,3632311.4766701497
10-04-2020,3503391.3210447445
11-04-2020,3809795.514873036
12-04-2020,4081643.3190559256
13-04-2020,3658757.1019299286
14-04-2020,3618162.603759414
15-04-2020,3688187.5908962064
16-04-2020,3536412.5406418266
17-04-2020,3526336.145201931
18-04-2020,3579623.5015550232
19-04-2020,3993793.087371092
20-04-2020,3572311.434522807
21-04-2020,3608657.884687767
22-04-2020,3579385.8709781747
23-04-2020,3603277.0935374056
24-04-2020,3693840.203179474
25-04-2020,3652684.6382324006
26-04-2020,3954269.1076868903
27-04-2020,3653947.987147816
28-04-2020,3647224.6917618755
29-04-2020,3648725.6712541394
30-04-2020,3669597.8395508146
01-05-2020,3780506.4058854156
