Date,Mobility
15-02-2020,2587810.6934803408
16-02-2020,
17-02-2020,2500232.385367135
18-02-2020,2488629.495698694
19-02-2020,2396942.0395836895
20-02-2020,2457697.8708283813
21-02-2020,2597333.882432517
22-02-2020,2542416.4624521085
23-02-2020,
24-02-2020,2488696.0178443436
25-02-2020,2480794.1745787165
26-02-2020,2424994.0292546875
27-02-2020,2545817.3248318713
28-02-2020,2533394.581970544
29-02-2020,2598958.8781139827
01-03-2020,
02-03-2020,2593070.2134189704
03-03-2020,2563934.373956791
04-03-2020,2579630.1429121112
05-03-2020,2637226.0736442734
06-03-2020,2701882.5177287282
07-03-2020,2658851.9027248905
08-03-2020,
09-03-2020,2660473.2484114403
10-03-2020,2698735.235936203
11-03-2020,2557074.9850520603
12-03-2020,2618805.1905013868
13-03-2020,2684478.9622313725
14-03-2020,2591553.135313439
15-03-2020,
16-03-2020,2622702.153346233
17-03-2020,2648349.1315625515
18-03-2020,2598371.1287878854
19-03-2020,2653153.9464663826
20-03-2020,2709671.235412892
21-03-2020,2602679.843226633
22-03-2020,
23-03-2020,2405333.21729826
24-03-2020,2134937.41156025
25-03-2020,2066517.0489222484
26-03-2020,2109784.9757984034
27-03-2020,2100716.491881025
28-03-2020,2090263.9741494153
29-03-2020,
30-03-2020,2176129.287715057
31-03-2020,2117924.130936348
01-04-2020,2116128.345528214
02-04-2020,2121495.7830427787
03-04-2020,2163618.5459876307
04-04-2020,2125114.0385850226
05-04-2020,
06-04-2020,2172990.863922976
07-04-2020,1883395.717279477
08-04-2020,1961472.3131609545
09-04-2020,1915885.815685606
10-04-2020,2024264.8916810136
11-04-2020,1942296.540960218
12-04-2020,
13-04-2020,2023594.351494346
14-04-2020,1920453.3187171197
15-04-2020,1866491.9122421218
16-04-2020,1885408.895850092
17-04-2020,1842119.4922534886
18-04-2020,1781059.8269908298
19-04-2020,
20-04-2020,1919674.8609545177
21-04-2020,1799000.8783835536
22-04-2020,1862682.9482633735
23-04-2020,1802009.9078792513
24-04-2020,1905021.5463600946
25-04-2020,1815108.398932775
26-04-2020,
27-04-2020,1922121.2678394825
28-04-2020,1835517.3339309115
29-04-2020,1913052.7839221046
30-04-2020,1806165.6593168634
01-05-2020,1968378.3055014985
02-05-2020,1791645.3890137393
03-05-2020,
04-05-2020,2013422.0990759504
05-05-2020,1813308.963529725
06-05-2020,2032860.3098643688
07-05-2020,1819585.8111138863
08-05-2020,2143944.581337507
09-05-2020,2041779.4807755274
10-05-2020,
11-05-2020,1988637.927493416
12-05-2020,1827724.966251831
13-05-2020,1989288.548970247
14-05-2020,1783265.2720085608
15-05-2020,2055999.5670556012
16-05-2020,1865305.3528805343
17-05-2020,
18-05-2020,1997794.4102768921
19-05-2020,1767616.1064890546
20-05-2020,1977881.5757438384
21-05-2020,1776576.6728304976
22-05-2020,2018661.7003047436
23-05-2020,1878833.4222534914
24-05-2020,
25-05-2020,1999827.5075573432
26-05-2020,1747182.0447755528
27-05-2020,1889070.1048332325
28-05-2020,1786836.9241149917
29-05-2020,2036757.2727092146
30-05-2020,1874895.0639783603
31-05-2020,
01-06-2020,1968162.4703496294
02-06-2020,1802119.3834657979
03-06-2020,1983337.0121245012
04-06-2020,1809954.7045857755
05-06-2020,2059441.8248656488
06-06-2020,1913099.387357918
07-06-2020,
08-06-2020,1987837.9930103656
09-06-2020,1793980.2283278531
10-06-2020,1997990.3267189246
11-06-2020,1812638.4233430573
12-06-2020,2078662.6424915858
13-06-2020,1935717.4173687017
14-06-2020,
15-06-2020,2027167.5616113886
16-06-2020,1800690.3042263647
17-06-2020,2016085.8991233958
18-06-2020,1827054.4260651637
19-06-2020,2098338.165152322
20-06-2020,1981519.749995919
21-06-2020,
22-06-2020,1974547.2355097253
23-06-2020,1972663.4512354936
24-06-2020,1962340.3278002664
25-06-2020,1961819.1006198185
26-06-2020,2017319.0619207965
27-06-2020,1973033.8073991104
28-06-2020,
29-06-2020,2006041.4829907713
30-06-2020,2000023.4239993757
01-07-2020,1970154.172199796
02-07-2020,2018248.3907002304
03-07-2020,2039007.763152147
04-07-2020,2003857.5146934888
05-07-2020,
06-07-2020,2045500.4458881775
07-07-2020,2017685.768089497
08-07-2020,1973421.990288259
09-07-2020,2048746.787256193
10-07-2020,2038553.0581173485
11-07-2020,1970024.777903413
12-07-2020,
13-07-2020,1982361.0799092546
14-07-2020,1974763.0706615946
15-07-2020,1933941.5506704047
16-07-2020,1969070.3224086147
17-07-2020,2015631.1940885975
18-07-2020,1964527.9460924654
19-07-2020,
20-07-2020,1991062.8576579324
21-07-2020,1962360.2465101033
22-07-2020,1938638.4479983014
23-07-2020,2031084.4431660718
24-07-2020,2122818.5027168896
25-07-2020,1838267.5748338434
26-07-2020,
27-07-2020,1847702.7649199225
28-07-2020,1871620.4798737564
29-07-2020,1837313.1193390454
30-07-2020,1872745.7250952227
31-07-2020,1863677.2411778443
01-08-2020,1871363.2492916023
02-08-2020,
03-08-2020,1873525.7408684364
04-08-2020,1832312.3879931814
05-08-2020,1791620.2622983747
06-08-2020,1823481.215948121
07-08-2020,1828266.1121421158
08-08-2020,1971020.6288284957
09-08-2020,
10-08-2020,2005478.860380038
11-08-2020,1984482.1760558037
12-08-2020,1944697.902419982
13-08-2020,1948961.571433529
14-08-2020,1999094.0952199423
15-08-2020,1883746.1547332576
16-08-2020,
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,2036065.2558020991
12-09-2020,1998856.7833476248
13-09-2020,
