Date,Mobility
15-02-2020,25418023.362282068
16-02-2020,24819697.091050018
17-02-2020,24949902.866793882
18-02-2020,25112088.038155578
19-02-2020,25978978.43456505
20-02-2020,25529387.473090988
21-02-2020,23726946.278294764
22-02-2020,24729717.800030917
23-02-2020,22688962.01349627
24-02-2020,25666554.468179714
25-02-2020,24025135.67506956
26-02-2020,25890379.528725196
27-02-2020,25413416.266957674
28-02-2020,25725528.1024222
29-02-2020,25777039.355564605
01-03-2020,25886928.565777075
02-03-2020,25444610.95456869
03-03-2020,24690181.507895783
04-03-2020,26272844.28226706
05-03-2020,24890239.039961763
06-03-2020,25605822.387089167
07-03-2020,25092272.634379417
08-03-2020,25873289.673338946
09-03-2020,24976868.520749312
10-03-2020,19531883.553860635
11-03-2020,26560032.456875812
12-03-2020,25264274.310861677
13-03-2020,25627802.884051405
14-03-2020,24383555.991179675
15-03-2020,24961282.15062873
16-03-2020,25040165.70406459
17-03-2020,24473629.797615983
18-03-2020,26049520.383476797
19-03-2020,24289558.644709244
20-03-2020,25495432.01512147
21-03-2020,23508730.63658411
22-03-2020,17909989.98097568
23-03-2020,22453067.47652631
24-03-2020,21118557.746383872
25-03-2020,18805131.901102632
26-03-2020,18490353.810696818
27-03-2020,18691886.243359245
28-03-2020,18431380.176454324
29-03-2020,19230955.33409719
30-03-2020,18860843.603231408
31-03-2020,18744182.204508472
01-04-2020,18726437.37850118
02-04-2020,18568452.656125847
03-04-2020,19212898.37716908
04-04-2020,19316705.591460716
05-04-2020,19661108.953463897
06-04-2020,19088084.404756438
07-04-2020,19206315.21949302
08-04-2020,19702810.338785104
09-04-2020,19388032.248379283
10-04-2020,19199543.03098256
11-04-2020,19492624.170677744
12-04-2020,20116469.779937986
13-04-2020,19413929.648076285
14-04-2020,19362418.394933887
15-04-2020,20829109.96317185
16-04-2020,19616653.43508356
17-04-2020,19615868.727076735
18-04-2020,19603014.542645436
19-04-2020,19999713.865797848
20-04-2020,19622735.4310044
21-04-2020,19929455.463137712
22-04-2020,20998568.484799236
23-04-2020,20658772.218120437
24-04-2020,20411025.820229616
25-04-2020,20170240.641683664
26-04-2020,20872875.288962565
27-04-2020,20241472.783185035
28-04-2020,20573995.699598145
29-04-2020,21409001.215806976
30-04-2020,20828325.255165026
01-05-2020,20887393.404824715
02-05-2020,21068514.75653856
03-05-2020,21308420.711660486
04-05-2020,20626197.145330172
05-05-2020,20971574.24617459
06-05-2020,21819528.46223192
07-05-2020,21407809.86146213
08-05-2020,21706972.997078158
09-05-2020,21597963.010289714
10-05-2020,21934024.767768778
11-05-2020,21420758.561310634
12-05-2020,21883581.768884808
13-05-2020,22593584.28184659
14-05-2020,20833717.058496237
15-05-2020,22437074.46006771
16-05-2020,21342659.7158816
17-05-2020,22774705.63356043
18-05-2020,20932226.984873857
19-05-2020,22515958.013503566
20-05-2020,23831248.017042257
21-05-2020,23408150.13243762
22-05-2020,21974345.767910738
23-05-2020,22112202.955589086
24-05-2020,23074653.47718328
25-05-2020,21838937.21967007
26-05-2020,22548438.57087663
27-05-2020,23903170.351133246
28-05-2020,22873310.075355247
29-05-2020,22945232.409446243
30-05-2020,23095253.58896627
31-05-2020,23862348.189236067
01-06-2020,23167270.43847446
02-06-2020,23115759.185332056
03-06-2020,24477263.15409914
04-06-2020,23831437.04787666
05-06-2020,24262469.890667394
06-06-2020,18333560.44266633
07-06-2020,19028638.19342794
08-06-2020,23799835.713927623
09-06-2020,23357423.58730204
10-06-2020,24400043.532094136
11-06-2020,23813285.575531345
12-06-2020,24615498.403446298
13-06-2020,18303150.463062137
14-06-2020,19296701.156850144
15-06-2020,23031956.405650992
16-06-2020,23638435.25057275
17-06-2020,24797716.594087776
18-06-2020,23970078.943561837
19-06-2020,24329094.93684437
20-06-2020,18400781.16601573
21-06-2020,18683261.092583522
22-06-2020,22698554.265813857
23-06-2020,22258590.778625946
24-06-2020,24961282.15062873
25-06-2020,23273932.938541792
26-06-2020,24121575.023678306
27-06-2020,18407647.869943395
28-06-2020,19018639.294772334
29-06-2020,23625581.06614145
30-06-2020,23280203.965297036
01-07-2020,23931923.03660595
02-07-2020,23873138.433197867
03-07-2020,23859499.54075974
04-07-2020,18322776.8360039
05-07-2020,19070150.54791474
06-07-2020,23546792.028122794
07-07-2020,23423358.440889396
08-07-2020,23995503.76617283
09-07-2020,23715560.35716055
10-07-2020,23142157.74678428
11-07-2020,18316004.647493437
12-07-2020,18971735.13695432
13-07-2020,22849861.315095924
14-07-2020,22235636.54282248
15-07-2020,24132576.245844353
16-07-2020,23317102.58716008
17-07-2020,23852632.836832076
18-07-2020,18790897.331492085
19-07-2020,19264816.276649505
20-07-2020,23499793.354887575
21-07-2020,23220256.592213318
22-07-2020,24255319.640488125
23-07-2020,23297476.214218322
24-07-2020,24203401.7410077
25-07-2020,18986347.768233676
26-07-2020,19329966.422230035
27-07-2020,23356638.87929521
28-07-2020,23108986.996821593
29-07-2020,24171233.314555455
30-07-2020,24640516.579719275
31-07-2020,19272562.204001192
01-08-2020,18699348.62445933
02-08-2020,19323884.426309194
03-08-2020,18505467.60373139
04-08-2020,23422573.73288257
05-08-2020,23134222.78859819
06-08-2020,23291299.70288028
07-08-2020,24074481.83502589
08-08-2020,18811213.897023473
09-08-2020,19513063.83629554
10-08-2020,19058175.58690746
11-08-2020,18876458.558021203
12-08-2020,24986205.811484504
13-08-2020,23897277.386046816
14-08-2020,24660738.62983346
15-08-2020,21818932.7850595
16-08-2020,23190435.652482186
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,19262468.789928388
24-08-2020,19419640.219627686
25-08-2020,21346394.225081325
26-08-2020,
27-08-2020,21218441.420641378
28-08-2020,
29-08-2020,
30-08-2020,23466244.543256078
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,24295924.186881684
12-09-2020,23631852.09289669
13-09-2020,24274539.36709187
14-09-2020,24242938.033142835
15-09-2020,24705071.048127383
16-09-2020,25004640.830081426
17-09-2020,24606655.637166962
18-09-2020,25004234.183743402
19-09-2020,24775612.997039128
20-09-2020,25476772.743721575
21-09-2020,24174932.601786602
22-09-2020,25107445.720862616
23-09-2020,26253967.39536355
24-09-2020,25405133.955882188
25-09-2020,24044036.63345312
26-09-2020,24369976.39219018
27-09-2020,24837028.633419935
28-09-2020,24603894.866808467
29-09-2020,24331224.80806187
30-09-2020,23981552.74281389
01-10-2020,21317736.055025827
02-10-2020,22330607.628134143
03-10-2020,22270660.255050424
04-10-2020,22457580.056433495
05-10-2020,22649302.621274725
06-10-2020,23183357.970350266
07-10-2020,24532007.75468605
08-10-2020,24327024.359075498
09-10-2020,24268050.72483301
10-10-2020,23154009.60770514
11-10-2020,24787587.9580464
12-10-2020,24306707.793544117
13-10-2020,23798455.32874838
14-10-2020,25453919.66063467
15-10-2020,25355003.087919034
16-10-2020,25426235.2294204
17-10-2020,24553763.99884531
18-10-2020,25464797.7827143
19-10-2020,25186234.758881275
20-10-2020,25004423.21457781
21-10-2020,26354642.414927244
22-10-2020,25301144.348055515
23-10-2020,24299942.242333017
24-10-2020,22985058.885132343
25-10-2020,24089879.17431207
26-10-2020,23062373.02255455
27-10-2020,23869599.59213191
28-10-2020,25308512.213738397
29-10-2020,23880099.65254273
30-10-2020,24037082.051407624
31-10-2020,23430414.175651465
01-11-2020,24679173.648430377
02-11-2020,23931705.421102334
03-11-2020,24277177.03736395
04-11-2020,25333435.874594174
05-11-2020,24804271.167094626
06-11-2020,24329378.48309598
07-11-2020,24081821.116039563
08-11-2020,24933786.75024886
09-11-2020,24355181.367375784
10-11-2020,24862743.639581896
11-11-2020,25944805.361091923
12-11-2020,25247373.486309834
13-11-2020,25664861.95207964
14-11-2020,23586611.866509527
15-11-2020,24503538.615464956
16-11-2020,24224881.076214723
17-11-2020,24368820.25981391
18-11-2020,25606890.641347595
19-11-2020,24876193.50118562
20-11-2020,24446730.074408535
21-11-2020,24121168.377340287
22-11-2020,24921622.758407183
23-11-2020,24446039.881818913
24-11-2020,24719589.163989533
25-11-2020,26192457.24356554
26-11-2020,23644611.761910785
27-11-2020,24758841.90987306
28-11-2020,23984880.605675593
29-11-2020,25194292.817153778
30-11-2020,23060898.1219581
01-12-2020,24558973.408641487
02-12-2020,26525764.867985476
03-12-2020,25291233.327517748
04-12-2020,25677621.621093746
05-12-2020,25442918.438468628
06-12-2020,25904077.71461195
07-12-2020,25353534.824621946
08-12-2020,20677213.874016717
09-12-2020,27255270.653802615
10-12-2020,26176152.096186124
11-12-2020,25996004.48331351
12-12-2020,25585571.752305765
13-12-2020,26579907.1541006
14-12-2020,26254250.941615153
15-12-2020,26371697.048344906
16-12-2020,28319552.32733677
17-12-2020,26454119.442846727
18-12-2020,26677632.3724714
19-12-2020,26573229.481007338
20-12-2020,26716194.925765295
21-12-2020,26468637.558708876
22-12-2020,26794388.286611527
23-12-2020,28580152.90965889
24-12-2020,26330685.855613332
25-12-2020,25832627.957606964
26-12-2020,26092349.316505056
27-12-2020,26735915.81412426
28-12-2020,26391417.936703872
29-12-2020,26567147.485086497
30-12-2020,28117329.702084713
31-12-2020,28207781.57018983
