Date,Mobility
15-02-2020,36090635.72699659
16-02-2020,36003303.870708376
17-02-2020,35794813.476377554
18-02-2020,35477125.506974414
19-02-2020,36716484.29467533
20-02-2020,37080922.77913672
21-02-2020,32082490.637539748
22-02-2020,33844500.30795016
23-02-2020,36056600.94428116
24-02-2020,35778362.16204922
25-02-2020,32908095.262671366
26-02-2020,36259299.54946997
27-02-2020,36090635.72699659
28-02-2020,36004058.64008089
29-02-2020,36183759.37242684
01-03-2020,35947403.36920885
02-03-2020,35361003.98870131
03-03-2020,34741324.59485085
04-03-2020,36710315.120847054
05-03-2020,34723741.12646375
06-03-2020,36799325.79960552
07-03-2020,36693486.421832465
08-03-2020,36861772.85961958
09-03-2020,35926800.823331684
10-03-2020,29296159.13227379
11-03-2020,35396887.42997097
12-03-2020,35672522.78427617
13-03-2020,35857637.92107787
14-03-2020,34866218.71487898
15-03-2020,36358214.98404223
16-03-2020,36085390.606266044
17-03-2020,34822279.17634975
18-03-2020,35551910.91464503
19-03-2020,32841327.68738325
20-03-2020,35441958.57020021
21-03-2020,33738868.47877939
22-03-2020,25120181.519470233
23-03-2020,29503933.02210917
24-03-2020,25969839.64174935
25-03-2020,25309956.29135518
26-03-2020,24388662.857743654
27-03-2020,24517877.493045837
28-03-2020,24054146.189325932
29-03-2020,26217440.10344218
30-03-2020,24716463.131562866
31-03-2020,24640545.569833472
01-04-2020,24425131.232301854
02-04-2020,24418584.67378732
03-04-2020,25075109.82688223
04-04-2020,24628207.22217692
05-04-2020,26131240.401212737
06-04-2020,24497690.596731987
07-04-2020,24577343.740446895
08-04-2020,25045188.010838564
09-04-2020,24633999.011318937
10-04-2020,24785834.13477772
11-04-2020,24663920.8273626
12-04-2020,26867041.313336298
13-04-2020,25064450.30169592
14-04-2020,24663543.442676343
15-04-2020,25612702.485175017
16-04-2020,24406623.710817024
17-04-2020,24529291.78760466
18-04-2020,23926441.09276879
19-04-2020,25207513.375758454
20-04-2020,24200566.908328958
21-04-2020,23626883.26016423
22-04-2020,23902688.450553406
23-04-2020,23816488.748323966
24-04-2020,21096547.433659863
25-04-2020,21402274.440092698
26-04-2020,24782306.65375325
27-04-2020,24926085.67995247
28-04-2020,24323234.9851166
29-04-2020,24970402.603167955
30-04-2020,24831283.212051984
01-05-2020,24588758.035005722
02-05-2020,24802116.16538084
03-05-2020,25996988.74614106
04-05-2020,24698710.37945055
05-05-2020,24848111.91106657
06-05-2020,25229756.479228802
07-05-2020,25548199.218004454
08-05-2020,25793157.98689348
09-05-2020,25160385.476013947
10-05-2020,27005236.65135454
11-05-2020,25793157.98689348
12-05-2020,25723409.598992363
13-05-2020,25050433.131569117
14-05-2020,25577743.64936186
15-05-2020,26714828.805191256
16-05-2020,26795236.71827868
17-05-2020,28593337.378561024
18-05-2020,27536829.419544265
19-05-2020,26737826.678034123
20-05-2020,21186860.10256108
21-05-2020,25814646.873350073
22-05-2020,26374312.799029235
23-05-2020,26954543.005708493
24-05-2020,29263502.86945525
25-05-2020,27035874.97189365
26-05-2020,28177450.479081083
27-05-2020,28982999.77910576
28-05-2020,27332451.991885215
29-05-2020,28960001.906262893
30-05-2020,29278822.029724803
31-05-2020,30688731.56333038
01-06-2020,29058917.34083515
02-06-2020,28555359.465257797
03-06-2020,30116896.573719878
04-06-2020,29984323.741118446
05-06-2020,31067734.438688807
06-06-2020,22889026.140884165
07-06-2020,25105239.743886936
08-06-2020,31027153.097458836
09-06-2020,30198983.30927755
10-06-2020,30928615.047572836
11-06-2020,30997986.05078769
12-06-2020,31593912.802422762
13-06-2020,23015052.41497106
14-06-2020,24939556.734026566
15-06-2020,29083763.872232236
16-06-2020,29658202.289769482
17-06-2020,30706276.76684042
