Date,Mobility
15-02-2020,22282913.070778627
16-02-2020,21758381.495503116
17-02-2020,22077921.41885584
18-02-2020,22229252.0069368
19-02-2020,23102613.946284156
20-02-2020,22892189.377714537
21-02-2020,20723504.90025902
22-02-2020,21780011.393862866
23-02-2020,20952039.811189402
24-02-2020,21389883.12659843
25-02-2020,21203514.916086823
26-02-2020,23042505.569932085
27-02-2020,22451388.138236012
28-02-2020,22009590.86821491
29-02-2020,22428279.277841512
01-03-2020,21964852.109460656
02-03-2020,22235216.387954876
03-03-2020,21949965.423355006
04-03-2020,22833511.43051814
05-03-2020,21834421.12138249
06-03-2020,22201657.72755897
07-03-2020,22201657.72755897
08-03-2020,21993925.350873232
09-03-2020,21780542.85823412
10-03-2020,17293973.875196505
11-03-2020,23191095.43325009
12-03-2020,22420835.93478869
13-03-2020,22117178.728084188
14-03-2020,21603096.95281008
15-03-2020,21880856.04147804
16-03-2020,22145521.671139814
17-03-2020,21449025.639966168
18-03-2020,22550753.82381644
19-03-2020,21555617.469292868
20-03-2020,21649797.60509125
21-03-2020,21556879.23202107
22-03-2020,16079314.880820267
23-03-2020,19493742.020470597
24-03-2020,17774249.623209927
25-03-2020,16780543.697842024
26-03-2020,16374049.782437194
27-03-2020,16195390.64716403
28-03-2020,16079363.413699344
29-03-2020,16989241.937512103
30-03-2020,16688639.720635261
31-03-2020,16301499.544998562
01-04-2020,16626738.117183736
02-04-2020,16546014.238335326
03-04-2020,16452564.400893899
04-04-2020,16614079.056790633
05-04-2020,17192488.89521452
06-04-2020,16912520.54615485
07-04-2020,16951294.92389103
08-04-2020,17549855.698639926
09-04-2020,17226361.820675123
10-04-2020,16803453.72425082
11-04-2020,16861600.207075976
12-04-2020,17829625.213713884
13-04-2020,17265884.8620891
14-04-2020,17169477.100578174
15-04-2020,18199385.34534677
16-04-2020,17689523.25687036
17-04-2020,17239020.881068226
18-04-2020,17384387.088131115
19-04-2020,17773953.72346606
20-04-2020,17736489.64133716
21-04-2020,17320276.224287882
22-04-2020,18140973.130335994
23-04-2020,17603782.494667377
24-04-2020,17228571.081066832
25-04-2020,16760441.294396097
26-04-2020,18080568.854240056
27-04-2020,17933772.2180215
28-04-2020,17863696.9731602
29-04-2020,18874981.77651762
30-04-2020,18607889.687157597
01-05-2020,18205349.726364847
02-05-2020,18365119.688041206
03-05-2020,18782280.602753982
04-05-2020,18776364.754614986
05-05-2020,18725178.68335049
06-05-2020,19250923.48847512
07-05-2020,19089940.296949636
08-05-2020,18995760.161151253
09-05-2020,18662812.51372763
10-05-2020,19377883.453433376
11-05-2020,19218162.024636094
12-05-2020,19036279.23310781
13-05-2020,20067932.17209678
14-05-2020,19800840.08273676
15-05-2020,19624921.67222655
16-05-2020,19421408.98233851
17-05-2020,19994120.171929944
18-05-2020,19795141.43390431
19-05-2020,19725066.189043008
20-05-2020,20951526.71213899
21-05-2020,20268486.93791532
22-05-2020,19212197.643618017
