Date,Mobility
15-02-2020,22795279.495886985
16-02-2020,23025584.857525926
17-02-2020,22674487.155976787
18-02-2020,22532248.309063718
19-02-2020,23196120.699476525
20-02-2020,23249426.102761995
21-02-2020,20791864.49155332
22-02-2020,22093979.13568759
23-02-2020,22837098.338176526
24-02-2020,22805032.199079458
25-02-2020,21597420.072076783
26-02-2020,23231748.73981866
27-02-2020,23081104.67588479
28-02-2020,23046824.121714324
29-02-2020,23013410.49644559
01-03-2020,23330227.643824257
02-03-2020,22828693.12115572
03-03-2020,22693512.005091786
04-03-2020,23418887.772996392
05-03-2020,22190036.38180532
06-03-2020,24050967.3387676
07-03-2020,23339499.78974679
08-03-2020,24633237.3308574
09-03-2020,23764030.029409748
10-03-2020,19843269.20685606
11-03-2020,24415247.501472272
12-03-2020,23649193.134635333
13-03-2020,24223057.90970433
14-03-2020,23030428.17330166
15-03-2020,23553201.960158598
16-03-2020,23389723.84905713
17-03-2020,22529166.96508859
18-03-2020,23073387.258948397
19-03-2020,22225664.422147457
20-03-2020,22340680.445739195
21-03-2020,22104872.082237255
22-03-2020,16856847.036127895
23-03-2020,19377014.31054171
24-03-2020,17374051.749480836
25-03-2020,17115656.635618836
26-03-2020,16862170.90917357
27-03-2020,17126549.582168505
28-03-2020,16948682.6949133
29-03-2020,17796857.974987034
30-03-2020,17291375.17944164
31-03-2020,17090921.54182637
01-04-2020,16802881.946755167
02-04-2020,16839857.47326897
03-04-2020,17390928.25516344
04-04-2020,16260282.453522502
05-04-2020,17002921.098741498
06-04-2020,17430325.439565107
07-04-2020,17960364.200085647
08-04-2020,18263659.500212315
09-04-2020,18051512.05878665
10-04-2020,18235362.505174782
11-04-2020,17860603.881549377
12-04-2020,18772704.197002776
13-04-2020,18311254.658820316
14-04-2020,18309907.17264865
15-04-2020,19031513.79649372
16-04-2020,18243287.164925646
17-04-2020,18518285.47001478
18-04-2020,17808165.407165643
19-04-2020,18581522.705310035
20-04-2020,18659450.14521165
21-04-2020,18130692.799221776
22-04-2020,18406765.276027113
23-04-2020,18281129.620341178
24-04-2020,16239523.74660404
25-04-2020,16347001.482076703
26-04-2020,18210806.540199637
27-04-2020,18800614.820408516
28-04-2020,18363005.333119646
29-04-2020,18743266.958608046
30-04-2020,18635308.665865444
01-05-2020,18670936.706207577
02-05-2020,18707431.675451443
03-05-2020,19246328.096265573
04-05-2020,18864059.298518244
05-05-2020,19022901.336658448
06-05-2020,19411568.179167647
07-05-2020,19238337.364873715
08-05-2020,19467087.99752651
09-05-2020,19011801.147294305
10-05-2020,19777026.54287337
11-05-2020,19953366.815139584
12-05-2020,19492096.405774444
13-05-2020,20009960.805214647
14-05-2020,19929225.33579338
15-05-2020,20449784.70757692
16-05-2020,20357082.11988978
17-05-2020,20930259.09487438
18-05-2020,20774526.514706455
19-05-2020,20110861.367108118
20-05-2020,16333686.877639167
21-05-2020,20347263.345056314
22-05-2020,20227611.248503312
23-05-2020,20381817.213682245
24-05-2020,21653213.204891115
25-05-2020,20461685.75420179
26-05-2020,21379976.871602587
27-05-2020,21567115.90478032
28-05-2020,21104771.323698983
29-05-2020,21794792.365716923
30-05-2020,21683064.928914785
31-05-2020,22340539.274565715
01-06-2020,20998160.517128054
02-06-2020,21056101.99337478
03-06-2020,22154888.898733124
04-06-2020,21811122.24248859
05-06-2020,22736951.648008462
06-06-2020,17219911.8559429
07-06-2020,17430297.32556796
08-06-2020,22467936.902052265
09-06-2020,22203558.229057327
10-06-2020,22983586.88641907
11-06-2020,22654209.006328262
12-06-2020,23767384.687840343
13-06-2020,17473397.582388166
14-06-2020,17904335.710459698
15-06-2020,21579497.50867513
16-06-2020,22244029.585175194
17-06-2020,22684927.659253664
18-06-2020,22173913.747848123
19-06-2020,22693125.633459996
20-06-2020,17460356.2924061
21-06-2020,18057467.503922433
22-06-2020,23128520.705675468
23-06-2020,21475101.11717759
24-06-2020,23131809.29246507
25-06-2020,22510622.673243534
26-06-2020,23207701.446110602
27-06-2020,17212580.810638297
28-06-2020,18008524.859142765
29-06-2020,22801083.9262026
30-06-2020,22663481.152250797
01-07-2020,22409722.11135006
02-07-2020,22334970.201061726
03-07-2020,22828306.74952393
04-07-2020,21845402.796659056
05-07-2020,18009872.345314432
06-07-2020,22844909.94075106
07-07-2020,22662406.9805346
