Date,Mobility
15-02-2020,41074214.99261195
16-02-2020,40992987.337659895
17-02-2020,40407758.96305442
18-02-2020,40572280.45208157
19-02-2020,40966486.519656636
20-02-2020,40874297.802394755
21-02-2020,35337924.43600466
22-02-2020,39081603.31087463
23-02-2020,39309634.98560876
24-02-2020,40204161.92720053
25-02-2020,36920187.010135375
26-02-2020,41015434.27201737
27-02-2020,40512935.684448995
28-02-2020,41143996.012816474
29-02-2020,41284568.43540111
01-03-2020,41347029.00163239
02-03-2020,40438989.24617005
03-03-2020,40386400.88547277
04-03-2020,41176839.962445796
05-03-2020,38933710.43431674
06-03-2020,41133034.950506665
07-03-2020,39972975.216567576
08-03-2020,41494397.068452425
09-03-2020,38939981.268814296
10-03-2020,30261294.26471949
11-03-2020,39956949.888436414
12-03-2020,38763482.15783003
13-03-2020,40695174.642721236
14-03-2020,38534361.62632008
15-03-2020,40245789.22558801
16-03-2020,39046168.37238445
17-03-2020,38105809.47703066
18-03-2020,38552603.905303024
19-03-2020,36215744.29052693
20-03-2020,37499223.02484354
21-03-2020,35875215.440424964
22-03-2020,26343550.31852561
23-03-2020,28100363.53641796
24-03-2020,26283195.16871747
25-03-2020,25365283.207721148
26-03-2020,24981474.15541792
27-03-2020,25412578.056268077
28-03-2020,24886694.449295174
29-03-2020,27378124.872964177
30-03-2020,25552625.66911486
31-03-2020,24985114.763754483
01-04-2020,24583214.20419707
02-04-2020,24539409.19225795
03-04-2020,25777580.7825504
04-04-2020,22861724.390366264
05-04-2020,25318283.922583066
06-04-2020,24798146.340369858
07-04-2020,24973628.89170682
08-04-2020,25234543.753370382
09-04-2020,25159508.458315615
10-04-2020,25692148.472223792
11-04-2020,25881668.64716915
12-04-2020,28464762.97836218
13-04-2020,25867066.976522774
14-04-2020,25608329.828410864
15-04-2020,26679952.987853277
16-04-2020,25503677.91675413
17-04-2020,26085790.492760886
18-04-2020,25535433.00960762
19-04-2020,28034183.887249865
20-04-2020,26036842.740400158
21-04-2020,25581264.963369638
22-04-2020,26150953.58228166
23-04-2020,26030086.333464883
24-04-2020,26012368.864219796
25-04-2020,25903551.53448865
26-04-2020,29103629.333140634
27-04-2020,27275014.330692604
28-04-2020,27163081.202362757
29-04-2020,27287589.059516095
30-04-2020,27679092.60380166
01-05-2020,27320846.28445462
02-05-2020,28472083.432335425
03-05-2020,30619344.397565912
04-05-2020,29727972.491872963
05-05-2020,29826392.806332275
06-05-2020,30536129.03809108
07-05-2020,30506925.69679833
08-05-2020,30938029.597648486
09-05-2020,30408505.38233903
10-05-2020,32640109.801120285
11-05-2020,30990617.958345782
12-05-2020,30832852.87625391
13-05-2020,31557190.778659094
14-05-2020,31085922.474206373
15-05-2020,32327209.86309753
16-05-2020,32485499.754927255
17-05-2020,34495828.905909665
18-05-2020,32246507.01788332
19-05-2020,30832852.87625391
20-05-2020,24824233.883063897
21-05-2020,32226237.79707749
22-05-2020,31089038.272805084
23-05-2020,31847158.209886648
24-05-2020,34471355.0297293
25-05-2020,31046886.164679755
26-05-2020,32229878.405414052
27-05-2020,32809964.039597917
28-05-2020,32654225.899328932
29-05-2020,32892693.82663502
30-05-2020,33556034.057593845
31-05-2020,34882189.70977363
01-06-2020,32612034.553903483
02-06-2020,32141855.106226582
03-06-2020,33834141.57876465
04-06-2020,33380590.74355701
05-06-2020,34394371.2674519
06-06-2020,24338888.717702646
07-06-2020,26774090.172337793
08-06-2020,33808054.03607061
09-06-2020,33668006.42322382
10-06-2020,34535507.7370745
11-06-2020,34029368.54116958
12-06-2020,36625004.54135771
13-06-2020,24318619.49689682
14-06-2020,26806409.312229257
15-06-2020,31078680.49483337
16-06-2020,32465269.77142155
17-06-2020,33571763.82231617
18-06-2020,33181198.36307766
19-06-2020,33956510.95966646
20-06-2020,24764325.068393353
21-06-2020,26953213.332011312
22-06-2020,34187133.62326145
23-06-2020,31850313.24578548
24-06-2020,33950279.36246903
25-06-2020,33450896.573499385
26-06-2020,34436562.61287735
27-06-2020,24848143.71220629
28-06-2020,27044877.239535347
29-06-2020,33790900.61386349
30-06-2020,33422782.08898246
01-07-2020,33714927.23376166
02-07-2020,33738312.2531662
03-07-2020,34692748.00942852
04-07-2020,24795555.351508997
05-07-2020,27150053.960929926
06-07-2020,28657438.189206377
07-07-2020,28156028.45841384
08-07-2020,28519004.242873266
09-07-2020,28542389.262277808
10-07-2020,29247396.02892423
11-07-2020,25139200.000209667
12-07-2020,27395278.29517129
13-07-2020,33148354.41344835
14-07-2020,32524050.492016144
15-07-2020,33132250.610716935
16-07-2020,32685456.182444572
17-07-2020,34870782.31232622
18-07-2020,26275835.477444097
19-07-2020,28580861.52476645
20-07-2020,27562954.820097275
21-07-2020,27398433.33107013
22-07-2020,27606759.8320364
23-07-2020,27524968.130046356
24-07-2020,28085722.62847146
25-07-2020,27331243.299726456
26-07-2020,29236920.539052144
27-07-2020,27643657.66531149
28-07-2020,27742077.979770795
29-07-2020,28367995.567716673
30-07-2020,28078966.22153619
31-07-2020,28787613.596519165
01-08-2020,29864379.496383186
02-08-2020,33148275.938848093
03-08-2020,31587371.44229903
04-08-2020,31794569.849189356
05-08-2020,32284080.432625018
06-08-2020,32121585.885420755
07-08-2020,33058304.172437992
08-08-2020,25392794.407899976
09-08-2020,28007119.022208642
10-08-2020,33945549.89735665
11-08-2020,31612370.128217243
12-08-2020,32793335.427128654
13-08-2020,32241364.277461715
14-08-2020,32998959.404805426
15-08-2020,25406871.2688085
16-08-2020,28119052.150538497
17-08-2020,33868487.660478994
18-08-2020,32795362.36895154
19-08-2020,30729814.631110854
20-08-2020,32931769.37346176
21-08-2020,34755733.38539765
22-08-2020,25722926.24273009
23-08-2020,28378878.155426234
24-08-2020,33619058.67086309
25-08-2020,29535297.28102877
26-08-2020,32297593.246495567
27-08-2020,33254055.94458078
28-08-2020,34716657.838570915
29-08-2020,26522148.668461278
30-08-2020,31956461.112055518
31-08-2020,34011651.07192449
01-09-2020,33748709.26843804
02-09-2020,34230374.5881626
03-09-2020,33545112.232584156
04-09-2020,34235517.3285842
05-09-2020,34555212.91084236
06-09-2020,36796689.535157606
07-09-2020,33758581.47397202
08-09-2020,33155635.63012147
09-09-2020,34412613.546434835
10-09-2020,33594059.98494488
11-09-2020,34494818.523734085
12-09-2020,34480741.66282556
13-09-2020,37329329.54906578
14-09-2020,34403154.61621006
15-09-2020,34687454.49727817
16-09-2020,34116827.79331908
