Date,Mobility
15-02-2020,17720784.794291887
16-02-2020,17037837.759281095
17-02-2020,17292337.23678085
18-02-2020,17454643.22224924
19-02-2020,17986846.712346483
20-02-2020,17634198.542118724
21-02-2020,17411017.838761438
22-02-2020,17461533.306586962
23-02-2020,17419746.283506818
24-02-2020,17275008.24839171
25-02-2020,16192446.395041337
26-02-2020,17830894.19751499
27-02-2020,17622556.44757583
28-02-2020,17738780.35947168
29-02-2020,17824938.996818334
01-03-2020,17437075.271895956
02-03-2020,17495227.054837905
03-03-2020,17588087.123659916
04-03-2020,17847954.879053716
05-03-2020,16754526.506825414
06-03-2020,17720596.141429525
07-03-2020,17286302.382096145
08-03-2020,17796156.566748664
09-03-2020,17474428.90072312
10-03-2020,14510700.205702815
11-03-2020,17999691.997380856
12-03-2020,17506948.80336885
13-03-2020,17715445.861284103
14-03-2020,16893686.646968592
15-03-2020,17194029.236076742
16-03-2020,17460837.384910043
17-03-2020,16893338.686130133
18-03-2020,17413979.73567253
19-03-2020,16418272.441345727
20-03-2020,16742834.103180733
21-03-2020,16621082.605414739
22-03-2020,13233947.6341545
23-03-2020,15707209.55305592
24-03-2020,14080672.151975574
25-03-2020,13820058.165803075
26-03-2020,13681325.640486402
27-03-2020,13947626.520505147
28-03-2020,13855005.413647283
29-03-2020,14050338.570575967
30-03-2020,14115351.092969375
31-03-2020,13843204.01112829
01-04-2020,13802569.869437838
02-04-2020,13901355.794070238
03-04-2020,13918336.821620917
04-04-2020,14115191.784993274
05-04-2020,14183195.549184034
06-04-2020,14283343.972284012
07-04-2020,14388114.442499328
08-04-2020,14352739.57982861
09-04-2020,14312554.017180193
10-04-2020,13780031.911130752
11-04-2020,13936064.0799503
12-04-2020,14154572.427090464
13-04-2020,14162288.396194937
14-04-2020,14017391.053103728
15-04-2020,14271332.952687133
16-04-2020,13912301.966936216
17-04-2020,13860185.038678968
18-04-2020,13564753.767752094
19-04-2020,13777604.565932276
20-04-2020,14404240.240396988
21-04-2020,13848383.636159973
22-04-2020,14033307.233923504
23-04-2020,13882852.960075887
24-04-2020,13882852.960075887
25-04-2020,13362211.910533493
26-04-2020,14084300.625677323
27-04-2020,14218759.064717114
28-04-2020,14079628.269460196
29-04-2020,14299180.499115739
30-04-2020,14484820.982771711
01-05-2020,14236088.05310625
02-05-2020,14415215.758149225
03-05-2020,14356049.43757816
04-05-2020,14809114.337756304
05-05-2020,14577442.089629574
06-05-2020,14924244.05803499
07-05-2020,15040358.971056528
08-05-2020,14988242.04279928
09-05-2020,14623633.162076432
10-05-2020,14871083.247262364
11-05-2020,15324148.147440508
12-05-2020,14999775.138467863
13-05-2020,15433590.973872948
14-05-2020,15155807.30728741
15-05-2020,15462692.019894816
16-05-2020,15202078.033722315
17-05-2020,15316859.793162541
18-05-2020,15717698.766209126
19-05-2020,15312267.090933464
20-05-2020,13992186.787634017
21-05-2020,15764078.491518345
22-05-2020,15057767.613433713
23-05-2020,14866599.5439076
24-05-2020,15513714.756534899
25-05-2020,15017611.395671558
26-05-2020,15549546.578918388
27-05-2020,15705260.131785735
28-05-2020,15566607.260457115
29-05-2020,15578249.355000012
30-05-2020,15612798.332903974
31-05-2020,15808718.412635265
01-06-2020,15769497.078514175
02-06-2020,15271444.29638065
03-06-2020,15792194.344797358
04-06-2020,15954739.292229902
05-06-2020,16852725.508655205
06-06-2020,16678936.736620015
07-06-2020,16787763.29536359
08-06-2020,17049660.126015615
09-06-2020,16632854.663047466
10-06-2020,17159371.259298466
11-06-2020,17200353.361827377
12-06-2020,17380336.29652337
13-06-2020,16877183.54334621
14-06-2020,16105432.528041666
15-06-2020,16159658.185545195
16-06-2020,16349761.408340406
17-06-2020,17078392.2469835
18-06-2020,16707987.473540096
19-06-2020,16818096.876763195
20-06-2020,16748462.307254449
21-06-2020,16561937.249059195
22-06-2020,17050008.08685407
23-06-2020,16159071.262742586
24-06-2020,17147997.471605983
25-06-2020,16609679.47283599
26-06-2020,16841699.68180118
27-06-2020,16552462.573535109
28-06-2020,16446945.872541085
29-06-2020,17270386.20127637
30-06-2020,16841779.335789233
01-07-2020,17032549.135375097
02-07-2020,16876328.313693196
03-07-2020,17154271.288254835
04-07-2020,14184289.7408012
05-07-2020,14252293.50499196
06-07-2020,17594490.903398603
07-07-2020,16858999.325304054
08-07-2020,16927858.319147836
09-07-2020,17044052.886157423
10-07-2020,17050008.08685407
11-07-2020,14219266.33353167
12-07-2020,14397111.19409512
13-07-2020,17299248.28533409
14-07-2020,16783518.55397297
15-07-2020,17176670.902801342
16-07-2020,16927828.97426157
17-07-2020,17020718.38796984
18-07-2020,14514349.643620085
19-07-2020,14587931.30278278
20-07-2020,17472739.40563261
21-07-2020,16806693.744184446
22-07-2020,17223260.245188445
23-07-2020,16893439.304333705
24-07-2020,17119345.004626144
25-07-2020,14467999.263197131
26-07-2020,14588199.609633189
27-07-2020,17096408.776378818
28-07-2020,16557692.507668579
29-07-2020,16968333.152862187
30-07-2020,16847009.2699227
31-07-2020,17240907.84952978
01-08-2020,14589641.762088813
02-08-2020,14686507.610337293
03-08-2020,16489370.12752562
04-08-2020,16262449.889604066
05-08-2020,15925529.247333722
06-08-2020,16163127.351270843
07-08-2020,16406362.039952422
08-08-2020,14165975.559669208
09-08-2020,14650784.786828116
10-08-2020,16939471.068804465
11-08-2020,15996069.355597273
12-08-2020,16580071.157999564
13-08-2020,16163395.658121254
14-08-2020,16464513.822894368
15-08-2020,14097305.218687791
16-08-2020,14361656.677436354
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,16899235.197054263
12-09-2020,16459841.466677247
13-09-2020,16991001.074259106
14-09-2020,17246942.704214483
15-09-2020,17206279.217637766
16-09-2020,17130400.176366434
17-09-2020,16505923.540249791
18-09-2020,16980293.863357276
19-09-2020,16957198.32713385
20-09-2020,17332405.419884216
21-09-2020,17044103.195259206
22-09-2020,17009394.909379147
23-09-2020,17072298.702526268
24-09-2020,16221488.751290679
25-09-2020,16551548.654109564
26-09-2020,16384142.697597532
27-09-2020,16736094.94614837
28-09-2020,16679305.661673997
29-09-2020,16216149.818282895
30-09-2020,15880113.750551831
01-10-2020,14931054.488384658
02-10-2020,13681384.330258928
03-10-2020,14027888.646927672
04-10-2020,14826204.364181295
05-10-2020,14873409.974257268
06-10-2020,15110689.462242194
07-10-2020,15990252.498661194
08-10-2020,15984695.567904787
09-10-2020,15990382.461751033
10-10-2020,15550720.424523603
11-10-2020,16342841.979116425
12-10-2020,16679682.96739872
13-10-2020,16193083.626945728
14-10-2020,16261942.620789506
15-10-2020,16285436.426953182
16-10-2020,16563459.05550287
17-10-2020,15967177.92665329
18-10-2020,16817530.91817611
19-10-2020,17073392.894143432
20-10-2020,16789444.40978336
21-10-2020,17194746.121969186
22-10-2020,16366981.397855233
23-10-2020,16009182.947482057
24-10-2020,15997809.159789572
25-10-2020,16170394.741333283
26-10-2020,15628100.308023086
27-10-2020,15782958.63123742
28-10-2020,16181957.181888131
29-10-2020,15805597.207748074
30-10-2020,15696183.726201897
31-10-2020,15117042.93287909
01-11-2020,16082923.914620843
02-11-2020,15909831.06426257
03-11-2020,16008218.718954725
04-11-2020,16627515.730039684
05-11-2020,16170365.396447025
06-11-2020,16112561.574343534
07-11-2020,16170793.011273531
08-11-2020,16448040.06415825
09-11-2020,16413998.355068846
10-11-2020,16141503.312389303
11-11-2020,16853501.084320173
12-11-2020,16222670.977566632
13-11-2020,16906473.242230438
14-11-2020,14840303.148808932
15-11-2020,16199336.479379052
16-11-2020,16391011.817719731
17-11-2020,16327173.140931536
18-11-2020,16743580.333959436
19-11-2020,16378862.454362279
20-11-2020,16263334.464143345
21-11-2020,16222750.63155468
22-11-2020,16343806.207643757
23-11-2020,16240238.927919917
24-11-2020,16199655.095331253
25-11-2020,16963690.141531326
26-11-2020,15701681.967185777
27-11-2020,16691861.675642433
28-11-2020,15956877.366362447
29-11-2020,16940326.298457485
30-11-2020,15865618.757972158
01-12-2020,16784830.743338756
02-12-2020,17172296.198320888
03-12-2020,16650850.228227263
04-12-2020,17010040.52195428
05-12-2020,16923454.269781116
06-12-2020,17125757.165035572
07-12-2020,17590116.198918153
08-12-2020,15563565.709557977
09-12-2020,17276718.707697745
10-12-2020,17600844.3740355
11-12-2020,17838631.130834986
12-12-2020,17305840.717935137
13-12-2020,17924441.807343177
14-12-2020,17838014.863146115
15-12-2020,17658459.54327663
16-12-2020,18022670.154059235
17-12-2020,17408871.383958153
18-12-2020,17837587.248319607
19-12-2020,17594541.21250039
20-12-2020,17953035.584550485
21-12-2020,17849388.6508386
22-12-2020,17797003.41573094
23-12-2020,18335321.414500933
24-12-2020,17281621.645208277
25-12-2020,17132747.86757686
26-12-2020,17502427.374457084
27-12-2020,17791157.2139086
28-12-2020,18179607.861633584
29-12-2020,17768568.946499728
30-12-2020,18069100.188470233
31-12-2020,18231565.481914736
