Date,Mobility
15-02-2020,7419301.028544765
16-02-2020,7615021.915105563
17-02-2020,7532552.710239137
18-02-2020,7570308.657005186
19-02-2020,
20-02-2020,7381545.081778716
21-02-2020,7012823.542475274
22-02-2020,7176652.076950993
23-02-2020,
24-02-2020,7309266.526324714
25-02-2020,7463701.862850116
26-02-2020,
27-02-2020,7514617.849123004
28-02-2020,7657347.762401295
29-02-2020,7593066.815541954
01-03-2020,
02-03-2020,7340835.903522033
03-03-2020,7411244.393046031
04-03-2020,
05-03-2020,7513518.524958597
06-03-2020,7516708.994736402
07-03-2020,7594387.219389755
08-03-2020,7342689.8108482575
09-03-2020,7277056.142933552
10-03-2020,6572761.849773803
11-03-2020,
12-03-2020,7472054.763540097
13-03-2020,7598940.961315656
14-03-2020,7050536.620941034
15-03-2020,7431286.558379343
16-03-2020,7415248.472889726
17-03-2020,7345077.221652904
18-03-2020,
19-03-2020,7076172.825460582
20-03-2020,7070519.759370275
21-03-2020,7388707.3141926555
22-03-2020,
23-03-2020,6901528.793982378
24-03-2020,6810528.477042866
25-03-2020,
26-03-2020,6099886.692205952
27-03-2020,
28-03-2020,5976945.547370017
29-03-2020,
30-03-2020,
31-03-2020,
01-04-2020,
02-04-2020,
03-04-2020,6190946.036049536
04-04-2020,5966517.659670415
05-04-2020,
06-04-2020,5966205.235875387
07-04-2020,5334518.080568449
08-04-2020,5385180.66995038
09-04-2020,5458779.629252184
10-04-2020,5603600.688143875
11-04-2020,5557567.026195696
12-04-2020,
13-04-2020,5501860.059709732
14-04-2020,5481817.8943764195
15-04-2020,
16-04-2020,6000253.36798899
17-04-2020,6103847.903749356
18-04-2020,6071432.599278583
19-04-2020,
20-04-2020,6103847.903749356
21-04-2020,6087588.738576344
22-04-2020,
23-04-2020,6083272.234937621
24-04-2020,6322402.134354776
25-04-2020,6099590.427014704
26-04-2020,
27-04-2020,6113742.2879705345
28-04-2020,6222515.413246857
29-04-2020,
30-04-2020,6385066.412175067
01-05-2020,6911526.2040788075
02-05-2020,6952531.647526736
03-05-2020,
04-05-2020,6958405.793300438
05-05-2020,7059671.945160231
06-05-2020,
07-05-2020,7038800.011157248
08-05-2020,7212862.063345684
09-05-2020,6959251.720573889
10-05-2020,
11-05-2020,7108955.103790288
12-05-2020,7054880.964947155
13-05-2020,
14-05-2020,7139220.235743588
15-05-2020,7316531.784613904
16-05-2020,7279562.738217232
17-05-2020,7517879.027568499
18-05-2020,7407278.704662461
19-05-2020,7179126.35502711
20-05-2020,
21-05-2020,7398230.247714734
22-05-2020,7365798.784640181
23-05-2020,7272885.533470371
24-05-2020,7647227.821656559
25-05-2020,7486557.439751081
26-05-2020,7395277.016224103
27-05-2020,
28-05-2020,7403570.890010013
29-05-2020,7608431.577630172
30-05-2020,7476441.975846508
31-05-2020,7834983.416830254
01-06-2020,7401700.824080007
02-06-2020,7380575.493186069
03-06-2020,
04-06-2020,7395293.174827883
05-06-2020,7606873.935495193
06-06-2020,7400633.817123163
07-06-2020,7806604.50941074
08-06-2020,7295406.453719964
09-06-2020,7573138.22717662
10-06-2020,
11-06-2020,7522788.061589717
12-06-2020,7568584.485250721
13-06-2020,7526792.141433413
14-06-2020,7683663.364574806
15-06-2020,7140879.773082929
16-06-2020,7512090.618395379
17-06-2020,
18-06-2020,7608744.001425199
19-06-2020,7696850.1137781525
20-06-2020,7497330.068453271
21-06-2020,7344038.055063457
22-06-2020,7796720.67628229
23-06-2020,7240825.521094918
24-06-2020,
25-06-2020,7541272.584788053
26-06-2020,7655073.928564625
27-06-2020,
28-06-2020,
29-06-2020,6719496.973566677
30-06-2020,6672142.907770697
01-07-2020,
02-07-2020,7437365.625232656
03-07-2020,7750687.0143341115
04-07-2020,6284630.028984943
05-07-2020,
06-07-2020,7670842.458559505
07-07-2020,7450197.082340687
08-07-2020,
09-07-2020,7701403.855704052
10-07-2020,6604375.2259423025
11-07-2020,6335217.432859022
12-07-2020,
13-07-2020,7465669.347144318
14-07-2020,7151264.792482238
15-07-2020,
16-07-2020,7044436.918643773
17-07-2020,7311961.884084222
18-07-2020,6281143.294015889
19-07-2020,
20-07-2020,7353721.91069397
21-07-2020,6912668.396543506
22-07-2020,
23-07-2020,6921495.773807838
24-07-2020,7148861.223073809
25-07-2020,6383180.187641279
26-07-2020,
27-07-2020,7320519.705853817
28-07-2020,6896571.284149817
29-07-2020,
30-07-2020,6452817.935399679
31-07-2020,6503955.001355962
01-08-2020,6496448.02793943
02-08-2020,
03-08-2020,7320282.467566643
04-08-2020,7216095.401423781
05-08-2020,
06-08-2020,7049006.819173454
07-08-2020,7326738.59263011
08-08-2020,6233018.486454311
09-08-2020,
10-08-2020,7213767.017523205
11-08-2020,6956136.436303935
12-08-2020,
13-08-2020,7133108.851682713
14-08-2020,7423434.843960221
15-08-2020,6300015.426517107
16-08-2020,
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,
12-09-2020,
13-09-2020,
14-09-2020,
15-09-2020,
16-09-2020,
17-09-2020,
18-09-2020,
19-09-2020,
20-09-2020,
21-09-2020,
22-09-2020,
23-09-2020,
24-09-2020,
25-09-2020,
26-09-2020,
27-09-2020,
28-09-2020,
29-09-2020,
30-09-2020,
01-10-2020,
02-10-2020,
03-10-2020,
04-10-2020,
05-10-2020,
06-10-2020,
07-10-2020,
08-10-2020,7935505.536620956
09-10-2020,7765151.299084969
10-10-2020,
11-10-2020,
12-10-2020,
13-10-2020,
14-10-2020,
15-10-2020,7912392.08598887
16-10-2020,
17-10-2020,
18-10-2020,
19-10-2020,
20-10-2020,
21-10-2020,
22-10-2020,
23-10-2020,
24-10-2020,
25-10-2020,
26-10-2020,
27-10-2020,
28-10-2020,
29-10-2020,7671035.697875501
30-10-2020,
31-10-2020,7468266.155868743
01-11-2020,
02-11-2020,
03-11-2020,
04-11-2020,
05-11-2020,
06-11-2020,
07-11-2020,
08-11-2020,
09-11-2020,
10-11-2020,
11-11-2020,
12-11-2020,
13-11-2020,
14-11-2020,
15-11-2020,
16-11-2020,
17-11-2020,
18-11-2020,
19-11-2020,
20-11-2020,
21-11-2020,
22-11-2020,
23-11-2020,
24-11-2020,
25-11-2020,
26-11-2020,
27-11-2020,
28-11-2020,
29-11-2020,
30-11-2020,
01-12-2020,
02-12-2020,
03-12-2020,
04-12-2020,
05-12-2020,
06-12-2020,
07-12-2020,
08-12-2020,
09-12-2020,
10-12-2020,
11-12-2020,
12-12-2020,
13-12-2020,
14-12-2020,
15-12-2020,
16-12-2020,
17-12-2020,8224096.806051275
18-12-2020,
19-12-2020,
20-12-2020,
21-12-2020,
22-12-2020,
23-12-2020,
24-12-2020,
25-12-2020,
26-12-2020,
27-12-2020,
28-12-2020,
29-12-2020,
30-12-2020,
31-12-2020,
