Date,Mobility
15-02-2020,56423891.805166334
16-02-2020,55323319.737503506
17-02-2020,56517946.560954876
18-02-2020,55792711.74315327
19-02-2020,57270702.16090529
20-02-2020,56787905.98244688
21-02-2020,49584038.5144023
22-02-2020,52366682.67483443
23-02-2020,55024470.87016619
24-02-2020,56987338.56660462
25-02-2020,55003680.27910494
26-02-2020,55657075.80524223
27-02-2020,55933709.20845533
28-02-2020,55600665.57724812
29-02-2020,56395002.35932101
01-03-2020,56211711.275364965
02-03-2020,56090848.173959106
03-03-2020,54482527.13632063
04-03-2020,55754354.778827354
05-03-2020,53547192.888945654
06-03-2020,55620743.73177787
07-03-2020,55555578.42183464
08-03-2020,54653070.27463306
09-03-2020,53258523.976620406
10-03-2020,44551713.29930654
11-03-2020,54673917.07506075
12-03-2020,54211199.051132105
13-03-2020,54759160.53953373
14-03-2020,50538082.25261051
15-03-2020,54125899.37729267
16-03-2020,52471348.06667215
17-03-2020,48090337.277485676
18-03-2020,48828976.26809594
19-03-2020,45187973.133216254
20-03-2020,47009843.36435261
21-03-2020,45701739.85774799
22-03-2020,36247422.68914185
23-03-2020,40813149.43534734
24-03-2020,37216521.019349635
25-03-2020,37146706.61854686
26-03-2020,36357675.15449854
27-03-2020,37019113.32605344
28-03-2020,36414741.60965769
29-03-2020,38593014.05369407
30-03-2020,37061406.944707416
31-03-2020,36982837.46195553
01-04-2020,36975451.04370294
02-04-2020,36407355.1914051
03-04-2020,37615386.18766512
04-04-2020,37515313.6773205
05-04-2020,38550007.9985086
06-04-2020,36721633.12241264
07-04-2020,37447580.37674572
08-04-2020,37994173.20145085
09-04-2020,37922990.13695155
10-04-2020,38024431.31099268
11-04-2020,38507227.48945108
12-04-2020,40976249.94604073
13-04-2020,38002928.28339995
14-04-2020,38130521.575893365
15-04-2020,40190012.01875189
16-04-2020,37544203.12316582
17-04-2020,38134458.230221435
18-04-2020,37601269.57832497
19-04-2020,40241547.60975852
20-04-2020,39214239.706823
21-04-2020,38858324.384326525
22-04-2020,39788353.31367692
23-04-2020,39212871.043126486
24-04-2020,39611079.984276935
25-04-2020,38346638.7600228
26-04-2020,41469712.96991476
27-04-2020,39903198.66052671
28-04-2020,39746059.69502294
29-04-2020,40762044.5253778
30-04-2020,40185193.59113085
01-05-2020,40144268.6361734
02-05-2020,41031291.51033833
03-05-2020,43018886.45216607
04-05-2020,41700828.5366773
05-05-2020,41806918.801577985
06-05-2020,43092863.05342486
07-05-2020,43050569.43477088
08-05-2020,42780610.01327887
09-05-2020,42162834.12407446
10-05-2020,45271791.72462627
11-05-2020,43428644.01202512
12-05-2020,43136525.335775346
13-05-2020,44108847.88377972
14-05-2020,42702040.53052699
15-05-2020,45049000.55877573
16-05-2020,44841469.11983392
17-05-2020,47156089.93831281
18-05-2020,45099393.032213785
19-05-2020,44139105.99332155
20-05-2020,45909215.08732335
21-05-2020,45311573.56201515
22-05-2020,42724912.221816234
23-05-2020,43662327.56941922
24-05-2020,47446839.95086607
