Date,Mobility
15-02-2020,17225636.80339458
16-02-2020,16823543.796399437
17-02-2020,16789119.41103082
18-02-2020,16548862.669274587
19-02-2020,16952839.162392925
20-02-2020,16804477.522421297
21-02-2020,15480387.732175041
22-02-2020,16441609.4560995
23-02-2020,16027211.354136214
24-02-2020,16706796.015026316
25-02-2020,15907517.09875219
26-02-2020,16729765.20849163
27-02-2020,16519238.839210706
28-02-2020,16607289.831166863
29-02-2020,16844765.450982355
01-03-2020,16600605.789738936
02-03-2020,16639830.730412282
03-03-2020,16377561.240667008
04-03-2020,16935626.969708618
05-03-2020,16352602.018667066
06-03-2020,16963337.908819944
07-03-2020,16714543.044341948
08-03-2020,16872369.84768225
09-03-2020,16642398.76753017
10-03-2020,13805021.014751067
11-03-2020,17347108.002490368
12-03-2020,16864788.17043677
13-03-2020,16766179.622394867
14-03-2020,16324861.674726376
15-03-2020,16710669.529684132
16-03-2020,16560317.861177884
17-03-2020,16177427.07540167
18-03-2020,16812059.199666776
19-03-2020,16155384.922583265
20-03-2020,16231980.722636128
21-03-2020,16500934.253809327
22-03-2020,12898749.70287742
23-03-2020,15665075.571561808
24-03-2020,13432735.5178133
25-03-2020,13061299.923940385
26-03-2020,13001886.911742466
27-03-2020,12980801.204400342
28-03-2020,12891823.17179727
29-03-2020,13270155.891920974
30-03-2020,13150219.146884728
31-03-2020,12798044.583889466
01-04-2020,12875567.424589243
02-04-2020,12897550.767748918
03-04-2020,13185706.520141048
04-04-2020,13262272.915364547
05-04-2020,13538152.977617897
06-04-2020,13365516.666641023
07-04-2020,13641183.644071512
08-04-2020,13886270.345961845
09-04-2020,13838341.930496585
10-04-2020,13783788.283262126
11-04-2020,13974291.933088636
12-04-2020,14351697.612565424
13-04-2020,13914908.325720081
14-04-2020,13745519.788065061
15-04-2020,14452083.104319088
16-04-2020,13592493.540029494
17-04-2020,13625034.439274916
18-04-2020,13541784.002623491
19-04-2020,13778468.52903286
20-04-2020,13805936.97849196
21-04-2020,13585838.903430933
22-04-2020,13829998.56467435
23-04-2020,13896007.403812103
24-04-2020,13730433.57115617
25-04-2020,13561015.628671784
26-04-2020,14104892.776622059
27-04-2020,14109450.842274565
28-04-2020,13719905.41989979
29-04-2020,14029176.284463407
30-04-2020,14133483.023627594
01-05-2020,13726560.056498354
02-05-2020,14393898.432079036
03-05-2020,14278213.638593623
04-05-2020,14477148.868730461
05-05-2020,14312531.481550807
06-05-2020,14600716.638772301
07-05-2020,14678210.074642712
08-05-2020,14693538.781203825
09-05-2020,14573873.930649167
10-05-2020,14801854.982266622
11-05-2020,15050543.304333184
12-05-2020,14496380.494778754
13-05-2020,15075531.931162488
14-05-2020,15213306.610219007
15-05-2020,15306158.157479893
16-05-2020,15560845.969979692
17-05-2020,15669162.171042487
18-05-2020,15351140.098934256
19-05-2020,13804218.84443892
20-05-2020,11583363.387423072
21-05-2020,13967206.312053628
22-05-2020,14192104.942419387
23-05-2020,14761625.863364296
24-05-2020,15197322.757492566
25-05-2020,14878208.292667259
26-05-2020,14892775.310651612
27-05-2020,15225913.0044981
28-05-2020,15357960.087602973
29-05-2020,15159845.35570162
30-05-2020,15513112.311413953
31-05-2020,15366740.699976953
01-06-2020,15516849.878830977
02-06-2020,15040180.505146962
03-06-2020,15426974.210410355
04-06-2020,15549420.18290576
05-06-2020,15838532.380774168
06-06-2020,13183988.386088014
07-06-2020,13635013.986777397
08-06-2020,16281704.40973649
09-06-2020,15596392.15289474
10-06-2020,16017580.838697385
11-06-2020,16304644.198372446
12-06-2020,16988025.236338295
13-06-2020,13469256.474127967
14-06-2020,13637853.918376869
15-06-2020,15254308.494604118
16-06-2020,15546503.113724222
17-06-2020,16080702.013482962
18-06-2020,16025162.515942864
19-06-2020,16057732.820017645
20-06-2020,13608123.54590156
21-06-2020,13838856.314630395
22-06-2020,16321856.391056752
23-06-2020,15086880.580654355
24-06-2020,16041447.667980256
