Date,Mobility
15-02-2020,24098173.309849873
16-02-2020,23277736.709748883
17-02-2020,23456154.486570943
18-02-2020,23846055.17885389
19-02-2020,24695067.687756248
20-02-2020,23935403.333455548
21-02-2020,21251845.136609655
22-02-2020,23202102.84253733
23-02-2020,23251094.313985147
24-02-2020,23859376.376735758
25-02-2020,22925275.828815244
26-02-2020,23819888.495221835
27-02-2020,23616876.392800655
28-02-2020,23616876.392800655
29-02-2020,24006777.085083604
01-03-2020,24098173.309849873
02-03-2020,23828359.308261544
03-03-2020,23285421.343772124
04-03-2020,24560988.177290272
05-03-2020,23303510.303872705
06-03-2020,23625232.648713384
07-03-2020,24210575.36652125
08-03-2020,23933469.820417915
09-03-2020,23485352.5991345
10-03-2020,18593470.264628936
11-03-2020,24260157.107227728
12-03-2020,23690576.746974573
13-03-2020,23380406.06223241
14-03-2020,23039725.955651235
15-03-2020,23835060.583517894
16-03-2020,24032550.679207426
17-03-2020,23518974.802535843
18-03-2020,24635474.710480668
19-03-2020,22693573.260465723
20-03-2020,23121782.565737892
21-03-2020,21817525.2662914
22-03-2020,17287246.247648664
23-03-2020,21116306.555245116
24-03-2020,19838691.651562355
25-03-2020,18118677.443085648
26-03-2020,17373120.465683285
27-03-2020,17706623.58487643
28-03-2020,17070634.41496436
29-03-2020,18262768.190120734
30-03-2020,17799674.790299077
31-03-2020,17458093.94757446
01-04-2020,18051006.742278587
02-04-2020,17353769.614434555
03-04-2020,17851976.223059658
04-04-2020,17752895.364270143
05-04-2020,18327128.929615036
06-04-2020,17278807.36911249
07-04-2020,16386603.927875219
08-04-2020,16822383.310043648
09-04-2020,16805473.61846777
10-04-2020,16824824.4697165
11-04-2020,16739457.89831709
12-04-2020,17708442.540787086
13-04-2020,16813158.25249101
14-04-2020,16547325.83410493
15-04-2020,17820844.597458463
16-04-2020,16871096.24911022
17-04-2020,16859430.03188473
18-04-2020,16667691.057180803
19-04-2020,17496959.625326198
20-04-2020,17254967.288026303
21-04-2020,17551423.685378365
22-04-2020,18221625.32795043
23-04-2020,17530024.763965026
24-04-2020,17834165.79534033
25-04-2020,17020151.93811444
26-04-2020,18070521.5687816
27-04-2020,17401974.90686591
28-04-2020,17772131.658391897
29-04-2020,18382347.234180138
30-04-2020,17998869.284772288
01-05-2020,17915550.783537492
02-05-2020,17913502.713372875
03-05-2020,18775836.4201571
04-05-2020,18056921.83851847
05-05-2020,18550753.77443309
06-05-2020,19789273.886110157
07-05-2020,19264424.88172133
08-05-2020,19086007.10489927
09-05-2020,18674822.048329957
10-05-2020,20016404.601998784
11-05-2020,19248777.08129359
12-05-2020,19316840.871608883
13-05-2020,20004345.295265064
14-05-2020,19566910.93244025
15-05-2020,19605219.545429472
16-05-2020,19630600.05004506
17-05-2020,20485249.12280605
18-05-2020,19849374.510020956
19-05-2020,19033705.672138687
20-05-2020,21062907.20659067
21-05-2020,20262214.547246646
22-05-2020,19287478.783791047
23-05-2020,19300799.981672913
24-05-2020,20645971.029035755
25-05-2020,17647784.852113772
26-05-2020,19973049.69440959
27-05-2020,20827698.76717057
28-05-2020,20291183.54555625
29-05-2020,20161085.61829252
30-05-2020,19773232.996174186
31-05-2020,21066102.610776454
01-06-2020,20362557.2971843
02-06-2020,20102754.53216508
03-06-2020,21050454.810348716
04-06-2020,20459196.996300966
05-06-2020,20476499.777385082
06-06-2020,20056368.195644382
07-06-2020,21052781.412894584
08-06-2020,19879605.399478704
09-06-2020,19904592.81458606
10-06-2020,20828960.658318717
11-06-2020,20280779.21947891
12-06-2020,20306159.724094495
13-06-2020,19859976.01584872
14-06-2020,20790652.045329496
15-06-2020,19391131.495041456
16-06-2020,20104409.51282146
17-06-2020,21288187.032065105
18-06-2020,20825372.164624702
19-06-2020,20540581.98449813
20-06-2020,20373830.424901556
21-06-2020,20039737.03644976
22-06-2020,20048405.02923989
23-06-2020,18551737.13319998
24-06-2020,21103739.601876184
25-06-2020,20412139.03789078
26-06-2020,20208340.75645313
27-06-2020,19780246.008307938
28-06-2020,20774611.155393526
29-06-2020,19937657.953224886
30-06-2020,20260756.74634069
01-07-2020,21047735.11829461
02-07-2020,20392788.18664205
03-07-2020,20387151.622783426
04-07-2020,19928318.33854527
05-07-2020,20845394.637762923
06-07-2020,19862302.61839459
07-07-2020,20010965.217890576
08-07-2020,20890994.79526715
09-07-2020,20336783.703060478
10-07-2020,20361771.118167832
11-07-2020,19786275.661674798
12-07-2020,20742332.19577116
13-07-2020,20177716.777487148
14-07-2020,20098772.94896283
15-07-2020,22519923.24586238
16-07-2020,21595555.40212972
17-07-2020,21854965.07764071
18-07-2020,21719623.676026594
19-07-2020,22630670.32187738
20-07-2020,21541205.89920453
21-07-2020,21244356.412344232
22-07-2020,22345487.05224257
23-07-2020,20264655.706919495
24-07-2020,21155679.879632067
25-07-2020,18904115.391510174
26-07-2020,20014864.178469386
27-07-2020,21651952.975219533
28-07-2020,21355496.577867463
29-07-2020,22438931.347173452
30-07-2020,20989321.409543727
31-07-2020,21564931.42316374
01-08-2020,20777953.05120982
02-08-2020,22654395.84583659
03-08-2020,20276633.66102238
04-08-2020,21103378.446871486
05-08-2020,21491116.51186284
06-08-2020,21209636.293049026
07-08-2020,19240420.825380858
08-08-2020,18672888.53529232
09-08-2020,21580071.57695626
10-08-2020,21100937.28719864
11-08-2020,20387659.269418634
12-08-2020,21535454.77821893
13-08-2020,20812837.145759303
14-08-2020,21091597.672519017
15-08-2020,19895760.846541654
16-08-2020,21344387.425404493
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
