Date,Mobility
15-02-2020,10191735.281741358
16-02-2020,9348109.972130645
17-02-2020,9876316.242254619
18-02-2020,10030504.945147192
19-02-2020,10440398.665937828
20-02-2020,10026621.756703982
21-02-2020,9058006.666109774
22-02-2020,9512863.15603464
23-02-2020,9182184.536249071
24-02-2020,10051182.337459218
25-02-2020,8633272.49474629
26-02-2020,9558998.177146446
27-02-2020,9662385.138706587
28-02-2020,9697117.419355024
29-02-2020,9973109.078905921
01-03-2020,9713099.712379646
02-03-2020,10020723.995913185
03-03-2020,9734589.015535869
04-03-2020,10152698.65246471
05-03-2020,9462452.165361399
06-03-2020,9773566.856219929
07-03-2020,9553825.159540474
08-03-2020,9344979.905939043
09-03-2020,9624075.283073789
10-03-2020,8400955.80562588
11-03-2020,9915018.879005639
12-03-2020,9818138.874694962
13-03-2020,9891095.87377585
14-03-2020,9398014.665418534
15-03-2020,9503051.797274822
16-03-2020,9996888.158342771
17-03-2020,9750542.92949371
18-03-2020,10126457.491887515
19-03-2020,9304234.317773651
20-03-2020,9326114.371589072
21-03-2020,9019664.370492138
22-03-2020,
23-03-2020,8970427.662255509
24-03-2020,8293452.53171119
25-03-2020,7925998.679862819
26-03-2020,7883022.104009395
27-03-2020,8003622.399164331
28-03-2020,7808050.53258092
29-03-2020,7750711.424473217
30-03-2020,8246446.811162594
31-03-2020,8097706.329809032
01-04-2020,8196513.738807924
02-04-2020,7891600.391740011
03-04-2020,8142581.931283887
04-04-2020,8126990.3889184585
05-04-2020,8169517.425520096
06-04-2020,8092170.940610648
07-04-2020,7844347.846325159
08-04-2020,
09-04-2020,8018851.569937348
10-04-2020,7916914.094746854
11-04-2020,7899366.768626429
12-04-2020,7921244.791982821
13-04-2020,8058641.321465602
14-04-2020,7940359.181658073
15-04-2020,8291379.170771014
16-04-2020,6995997.027901232
17-04-2020,7033859.374741272
18-04-2020,6898783.031064925
19-04-2020,7001139.635981397
20-04-2020,7079937.637719516
21-04-2020,6882438.366447892
22-04-2020,7030844.855275824
23-04-2020,7072562.011492291
24-04-2020,7021788.649226641
25-04-2020,6576828.655261938
26-04-2020,6994126.381346583
27-04-2020,7173659.196771808
28-04-2020,7061665.56841427
29-04-2020,7413019.550052836
30-04-2020,7188163.62436
01-05-2020,7178382.675125995
02-05-2020,7233429.976494049
03-05-2020,7413047.92911962
04-05-2020,7382982.368691806
05-05-2020,7377534.1471527945
06-05-2020,7586407.779821009
07-05-2020,7346322.683355156
08-05-2020,7509842.796229949
09-05-2020,7401341.605656427
10-05-2020,7693372.316365513
11-05-2020,7634775.819079879
12-05-2020,7524347.223818144
13-05-2020,7971350.169197214
14-05-2020,7653163.435111281
15-05-2020,7730815.533479576
16-05-2020,7863964.472467708
17-05-2020,7988925.874384421
18-05-2020,7890901.997162944
19-05-2020,7851474.617227103
20-05-2020,8213362.670351281
21-05-2020,7702371.764281129
22-05-2020,7324805.001132148
23-05-2020,7431828.326269243
24-05-2020,7684040.906383293
25-05-2020,7433002.608705851
26-05-2020,7659061.195902078
27-05-2020,8123249.095809162
28-05-2020,7827667.158723471
29-05-2020,7680129.3388733
30-05-2020,7923344.501530757
31-05-2020,7933906.95208315
01-06-2020,7777343.335709606
02-06-2020,7777343.335709606
03-06-2020,8059623.506710495
04-06-2020,8139261.798359593
05-06-2020,8973527.318921303
06-06-2020,8759986.966032466
07-06-2020,8699098.662007181
08-06-2020,8908336.696726833
09-06-2020,8729949.784671435
10-06-2020,9078173.700118398
11-06-2020,8815455.427585524
