Date,Mobility
15-02-2020,27783839.893274654
16-02-2020,27202958.010377828
17-02-2020,27400913.722199555
18-02-2020,27636920.345328163
19-02-2020,27782847.53118946
20-02-2020,28890983.043727573
21-02-2020,26107510.269219812
22-02-2020,27121362.124981783
23-02-2020,27162005.125668973
24-02-2020,26975125.055098824
25-02-2020,26256489.654190302
26-02-2020,27924880.381563596
27-02-2020,28747957.831268247
28-02-2020,28160887.0046922
29-02-2020,28164781.34017937
01-03-2020,27886222.105046794
02-03-2020,28243785.13619511
03-03-2020,27507190.269458856
04-03-2020,27913494.856290355
05-03-2020,27556316.822017316
06-03-2020,28191446.726213016
07-03-2020,27914487.21837555
08-03-2020,27527666.711813282
09-03-2020,27776670.990343656
10-03-2020,24073010.248806737
11-03-2020,27790263.608121924
12-03-2020,28307806.552638695
13-03-2020,28017861.792232875
14-03-2020,26928293.110732418
15-03-2020,27376542.944357958
16-03-2020,27310226.919722322
17-03-2020,27187678.149617422
18-03-2020,27638222.591435023
19-03-2020,27079491.991041347
20-03-2020,27459441.07586086
21-03-2020,27465630.019540083
22-03-2020,21452867.067964878
23-03-2020,26476533.938494977
24-03-2020,23998968.263216972
25-03-2020,21846496.28624969
26-03-2020,22074404.354382306
27-03-2020,21948953.610875435
28-03-2020,21641434.38151716
29-03-2020,21904403.87186767
30-03-2020,21832593.784449752
31-03-2020,21748703.29086166
01-04-2020,21554641.914527096
02-04-2020,21841684.701530945
03-04-2020,22051025.93862591
04-04-2020,22039640.413352665
05-04-2020,22158592.32915866
06-04-2020,22483388.546281133
07-04-2020,23334358.515272673
08-04-2020,23138002.530746065
09-04-2020,23476081.481625143
10-04-2020,23132198.583942123
11-04-2020,23386387.041233107
12-04-2020,23544989.59564109
13-04-2020,23248558.4103678
14-04-2020,23292413.268478632
15-04-2020,24316658.287428647
16-04-2020,24669024.736982938
17-04-2020,24552664.910557255
18-04-2020,23980564.060719952
19-04-2020,24113803.47520115
20-04-2020,24403450.754418712
21-04-2020,23728285.214745745
22-04-2020,23988277.618840672
23-04-2020,24094629.278953582
24-04-2020,23885288.04185861
25-04-2020,23821873.99062495
26-04-2020,23596633.124726247
27-04-2020,24192807.271216888
28-04-2020,24267221.850848522
29-04-2020,24372196.152000967
30-04-2020,24984940.00252546
01-05-2020,24380679.703872234
02-05-2020,24892950.953941368
03-05-2020,24670921.945466302
