Date,Mobility
15-02-2020,20061629.7701157
16-02-2020,20138395.752455868
17-02-2020,20137168.151585296
18-02-2020,20218081.13716929
19-02-2020,20785931.737443894
20-02-2020,20516221.78549724
21-02-2020,18799477.649356123
22-02-2020,19569085.450994633
23-02-2020,20262733.62051645
24-02-2020,20005519.70293893
25-02-2020,20009434.605866704
26-02-2020,20122693.190759767
27-02-2020,20139855.4536425
28-02-2020,20389715.840649217
29-02-2020,20387260.638908077
01-03-2020,20637121.025914803
02-03-2020,20448324.059552144
03-03-2020,20298994.12275329
04-03-2020,20866844.723027892
05-03-2020,20184275.836673595
06-03-2020,20968126.49882158
07-03-2020,20611609.731906768
08-03-2020,21077238.08047081
09-03-2020,20398351.99672823
10-03-2020,16569289.103961844
11-03-2020,20489018.68998652
12-03-2020,20295079.219825517
13-03-2020,20421353.06435748
14-03-2020,19550695.587241337
15-03-2020,20385092.56212064
16-03-2020,20446864.358365513
17-03-2020,20414518.759056445
18-03-2020,20161971.06999252
19-03-2020,20207331.928940486
20-03-2020,20207851.154210243
21-03-2020,20034237.52427393
22-03-2020,15596483.200452516
23-03-2020,19782496.185433462
24-03-2020,18434941.926254705
25-03-2020,16031182.70090912
26-03-2020,15729127.149653394
27-03-2020,15873082.482337847
28-03-2020,15388832.169704443
29-03-2020,16316351.039583175
30-03-2020,15821827.794005718
31-03-2020,15797544.100868253
01-04-2020,15715171.41409763
02-04-2020,15523687.14567777
03-04-2020,16189612.994419098
04-04-2020,16012084.461555006
05-04-2020,16919753.76649381
06-04-2020,16087622.8430246
07-04-2020,15519253.017480237
08-04-2020,15766658.202745818
09-04-2020,15539621.807689928
10-04-2020,15589416.794835426
11-04-2020,15603372.530391192
12-04-2020,16674327.507684616
13-04-2020,15878976.311722012
14-04-2020,15631571.12645643
15-04-2020,16516184.339128342
16-04-2020,15752415.342236347
17-04-2020,16081961.113956494
18-04-2020,15542541.210063186
19-04-2020,16654190.817790983
20-04-2020,16415653.888920471
21-04-2020,16514437.512988009
22-04-2020,16907966.107725482
23-04-2020,16521791.043558802
24-04-2020,16851336.81527895
25-04-2020,16176829.835096257
26-04-2020,17555734.193029568
27-04-2020,16809890.859258756
28-04-2020,16496047.649234707
29-04-2020,17038906.180771038
30-04-2020,16619866.292025529
01-05-2020,16466389.351982841
02-05-2020,16514669.61330407
03-05-2020,17134007.002226856
04-05-2020,16904759.580398522
05-05-2020,17183050.66378654
06-05-2020,17851663.814585067
07-05-2020,17439745.356094297
08-05-2020,17753588.566118345
09-05-2020,17100158.75174615
10-05-2020,18284891.539202403
11-05-2020,17742320.13261978
12-05-2020,17493687.346483625
13-05-2020,17991893.3946728
14-05-2020,17746467.13586361
15-05-2020,18105671.204835624
16-05-2020,17772210.530187704
17-05-2020,18541586.23151016
18-05-2020,18304276.903510217
19-05-2020,18109586.1077634
20-05-2020,18748540.96131006
21-05-2020,18255709.517235294
22-05-2020,17573140.630880993
23-05-2020,17524573.244606066
24-05-2020,18769141.85183581
25-05-2020,17470399.153900675
26-05-2020,17777353.033986047
27-05-2020,18030132.82336603
28-05-2020,17832754.725562006
29-05-2020,17773438.131058276
30-05-2020,17347276.812058028
31-05-2020,18704871.90386478
01-06-2020,18007076.73109914
02-06-2020,17809698.633295115
03-06-2020,18194646.096591223
04-06-2020,17958509.34482421
05-06-2020,18087989.716683134
06-06-2020,18403292.627893813
07-06-2020,19106749.52972756
08-06-2020,18068140.151743207
09-06-2020,17873449.355996385
10-06-2020,18590629.893069845
11-06-2020,18878729.708769795
12-06-2020,18798335.94845556
13-06-2020,18546264.534676388
14-06-2020,19624340.94222455
15-06-2020,18306500.004935306
16-06-2020,18749017.236594815
17-06-2020,18986613.68954846
18-06-2020,19232039.94835765
19-06-2020,19283294.63668978
20-06-2020,19030746.947625853
21-06-2020,18158196.44402333
22-06-2020,19655513.96530069
23-06-2020,18535991.601732336
24-06-2020,19325448.968310785
25-06-2020,19074128.880117428
26-06-2020,19287209.53961755
27-06-2020,18837051.652433544
28-06-2020,19771691.952567015
29-06-2020,19239161.378612384
30-06-2020,19041783.28080836
01-07-2020,19345817.758520473
02-07-2020,19196487.821721617
03-07-2020,19427958.344975043
04-07-2020,15323853.846132603
05-07-2020,15970913.555835877
06-07-2020,19183051.31143561
07-07-2020,19419377.213533673
08-07-2020,19426730.74410447
09-07-2020,19181304.485295277
10-07-2020,19604259.27696856
11-07-2020,15363320.875696406
