Date,Mobility
15-02-2020,13855391.09820841
16-02-2020,13699843.17234148
17-02-2020,13731065.782905746
18-02-2020,13629733.580310488
19-02-2020,14378772.55726232
20-02-2020,14017010.363421535
21-02-2020,12646243.905505277
22-02-2020,13482314.24784932
23-02-2020,13827718.350427486
24-02-2020,13856883.706932187
25-02-2020,13297600.483859094
26-02-2020,14141900.805678587
27-02-2020,13954101.401408315
28-02-2020,14178629.628634663
29-02-2020,14316327.336133795
01-03-2020,13820618.624860806
02-03-2020,13980180.636014367
03-03-2020,13863519.69161417
04-03-2020,14253418.374120574
05-03-2020,13593831.816291306
06-03-2020,13465956.156586701
07-03-2020,14266689.861865949
08-03-2020,14375121.790027885
09-03-2020,14069895.950356636
10-03-2020,12068909.1367808
11-03-2020,14672381.99029918
12-03-2020,14131049.40842638
13-03-2020,14147971.663406186
14-03-2020,12772726.897700004
15-03-2020,13977094.514115725
16-03-2020,13867533.295282207
17-03-2020,13733950.095902205
18-03-2020,14254810.078393254
19-03-2020,13598309.160844035
20-03-2020,13933427.47474298
21-03-2020,13869953.86739397
22-03-2020,10854918.873379756
23-03-2020,13134650.600690799
24-03-2020,11626851.021825098
25-03-2020,11551698.958286986
26-03-2020,11368377.38018804
27-03-2020,11448208.59718107
28-03-2020,11153006.132587938
29-03-2020,11602364.33715672
30-03-2020,11507567.696410952
31-03-2020,11311640.180353513
01-04-2020,11521968.956446497
02-04-2020,11204700.860915352
03-04-2020,11454380.359359764
04-04-2020,11495324.594886059
05-04-2020,11645365.82674258
06-04-2020,11931573.302478075
07-04-2020,12210317.734594686
08-04-2020,12398681.78420075
09-04-2020,12455882.724919973
10-04-2020,12177037.86997086
11-04-2020,12452332.86213663
12-04-2020,12847939.084318435
13-04-2020,12079820.17549473
14-04-2020,12259955.208862536
15-04-2020,12411126.213009229
16-04-2020,10373611.422142316
17-04-2020,10399690.656748367
18-04-2020,10300415.708212676
19-04-2020,10649006.837140583
20-04-2020,10569538.938199751
21-04-2020,10323973.947874468
22-04-2020,10685837.046166345
23-04-2020,10455499.893194906
24-04-2020,10320988.730426915
25-04-2020,10280044.49490062
26-04-2020,11064984.75425304
27-04-2020,10696950.375401061
28-04-2020,10554774.841730602
29-04-2020,11378965.882220548
30-04-2020,12855704.841290595
01-05-2020,12381960.856504532
02-05-2020,12661370.356789432
03-05-2020,12747937.981296942
04-05-2020,12917121.19458004
05-05-2020,12745780.30440488
06-05-2020,13520898.51596277
07-05-2020,13518276.616567416
08-05-2020,13249718.031916127
