Date,Mobility
15-02-2020,13955490.341990666
16-02-2020,13889995.461274395
17-02-2020,13665526.763745375
18-02-2020,13990256.279130312
19-02-2020,14100713.771321623
20-02-2020,14514490.22442143
21-02-2020,12975379.383998813
22-02-2020,13688437.804444093
23-02-2020,13300247.819954185
24-02-2020,13838873.169026986
25-02-2020,13800000.778039092
26-02-2020,13773931.029012566
27-02-2020,13637473.24807994
28-02-2020,13932974.306110535
29-02-2020,13849139.3036476
01-03-2020,13963150.508985309
02-03-2020,13807660.945033738
03-03-2020,13603655.056460727
04-03-2020,13640474.220524497
05-03-2020,13698703.939064704
06-03-2020,14038842.064036971
07-03-2020,13781107.915590582
08-03-2020,13461432.599574322
09-03-2020,13252145.315464154
10-03-2020,11286041.559848957
11-03-2020,13329030.627517553
12-03-2020,13931473.819888258
13-03-2020,14043431.798301844
14-03-2020,13391831.26500981
15-03-2020,13786162.114959259
16-03-2020,13499752.249860369
17-03-2020,13468540.02586712
18-03-2020,13615816.682122203
19-03-2020,13760556.831036532
20-03-2020,13612174.69337776
21-03-2020,13387153.255146893
22-03-2020,10437486.118338235
23-03-2020,13393155.200036
24-03-2020,12190767.692009687
25-03-2020,10870085.973601336
26-03-2020,10903815.889622511
27-03-2020,10850087.629749134
28-03-2020,10583104.55248778
29-03-2020,11033857.905534618
30-03-2020,10886906.793812903
31-03-2020,10754486.006443307
01-04-2020,10395938.299439156
02-04-2020,10872050.924927415
03-04-2020,10912976.542839432
04-04-2020,10911476.056617156
05-04-2020,11190383.490604661
06-04-2020,10785609.954838514
07-04-2020,11218279.270386834
08-04-2020,11111375.491341922
09-04-2020,11618700.340823434
10-04-2020,11543956.531292202
11-04-2020,11531706.630032683
12-04-2020,11736975.735892648
13-04-2020,11400786.328885367
14-04-2020,11457603.83680134
15-04-2020,11634108.950410765
16-04-2020,10840996.43681743
17-04-2020,10936598.060123255
18-04-2020,10610832.523619846
19-04-2020,10865170.694803096
20-04-2020,10914634.76494497
21-04-2020,10957149.144677306
22-04-2020,11001628.475735718
23-04-2020,11228703.140890708
24-04-2020,11281878.660062242
25-04-2020,10905938.576831851
26-04-2020,11149527.332977863
27-04-2020,11281878.660062242
28-04-2020,11403638.307992637
29-04-2020,11405691.534916759
30-04-2020,11688547.686869249
01-05-2020,11288521.621251235
02-05-2020,11434367.251569256
03-05-2020,11828233.636414902
04-05-2020,11584180.41516509
05-05-2020,11632301.734967945
06-05-2020,11980583.307351485
07-05-2020,12140179.3251513
08-05-2020,12027115.865334023
09-05-2020,11840414.077389203
10-05-2020,12069146.96464973
11-05-2020,11842467.304313326
12-05-2020,12126359.477384288
13-05-2020,11794987.000810357
14-05-2020,11116745.162477119
15-05-2020,12141768.086971618
16-05-2020,11057962.703235066
17-05-2020,12318273.200581046
18-05-2020,11864518.875089653
19-05-2020,12008241.818198333
20-05-2020,12224567.06831608
21-05-2020,12589757.736509228
22-05-2020,12072631.217510907
23-05-2020,11872179.042084295
24-05-2020,12327986.594499812
25-05-2020,11878269.262571445
26-05-2020,12194943.606143152
27-05-2020,12121305.278015612
28-05-2020,12352486.397018844
29-05-2020,12112609.089902494
30-05-2020,12273241.128820783
31-05-2020,12538240.439443232
01-06-2020,12067577.018142233
02-06-2020,12027204.140932065
03-06-2020,12184194.191105912
04-06-2020,12606666.832318837
05-06-2020,12897113.690980751
06-06-2020,12673109.458555536
07-06-2020,12707480.390876599
08-06-2020,12563135.246780854
09-06-2020,12367825.546320958
10-06-2020,12568277.721747572
11-06-2020,12569847.668255066
12-06-2020,12454730.981513664
13-06-2020,12396896.26779204
14-06-2020,12588809.990988798
15-06-2020,12115540.60206183
16-06-2020,12269617.955389166
17-06-2020,12510995.748727793
18-06-2020,12759085.963540638
19-06-2020,12778996.031794798
20-06-2020,12490049.659355158
21-06-2020,11842536.764598543
22-06-2020,12639862.82295099
23-06-2020,11927821.60831136
24-06-2020,12542207.972721042
25-06-2020,12777495.545572521
26-06-2020,12597989.459518543
27-06-2020,12293634.477491572
28-06-2020,12395000.77675118
29-06-2020,12130001.466128731
30-06-2020,12544261.199645163
01-07-2020,12159160.463197855
02-07-2020,12652182.184495725
03-07-2020,12513048.975651914
04-07-2020,10223125.819546567
05-07-2020,10650810.396011429
06-07-2020,12125806.736682441
07-07-2020,12090576.33443899
08-07-2020,12126359.477384288
09-07-2020,12386699.593456648
10-07-2020,12432214.945633536
11-07-2020,10447682.792673629
12-07-2020,10525585.310532674
13-07-2020,12393342.554645643
14-07-2020,11894142.33726258
15-07-2020,12327364.393512748
16-07-2020,12564152.452586504
17-07-2020,12552385.831743613
