Date,Mobility
15-02-2020,15019093.370482374
16-02-2020,14893005.844096484
17-02-2020,14651446.593279356
18-02-2020,15028116.619948063
19-02-2020,15987487.945751239
20-02-2020,15050300.554651184
21-02-2020,14341271.371110583
22-02-2020,14345408.806882322
23-02-2020,13576002.118384907
24-02-2020,14073104.88536255
25-02-2020,14257451.141740002
26-02-2020,15751601.683585387
27-02-2020,14810018.296119027
28-02-2020,15204485.36241171
29-02-2020,14973208.150770921
01-03-2020,14917503.405349297
02-03-2020,14720792.7399789
03-03-2020,14633649.55365538
04-03-2020,15730445.281859826
05-03-2020,14169040.064418675
06-03-2020,15257071.103751998
07-03-2020,14678257.781081863
08-03-2020,14772341.847054463
09-03-2020,14121090.677464936
10-03-2020,11359171.890433848
11-03-2020,15274618.68406857
12-03-2020,14520731.813794082
13-03-2020,14775460.851135798
14-03-2020,14128818.732071334
15-03-2020,14560138.66732262
16-03-2020,14058426.84981991
17-03-2020,13476494.52306844
18-03-2020,14552142.950834494
19-03-2020,13209623.2321797
20-03-2020,13810629.590840112
21-03-2020,13482158.410432553
22-03-2020,10248087.82985564
23-03-2020,11513320.293045731
24-03-2020,10882392.843788633
25-03-2020,10765070.006273871
26-03-2020,10267180.064338906
27-03-2020,10442743.42927091
28-03-2020,10110921.98804893
29-03-2020,10623480.864239376
30-03-2020,10295268.24442638
31-03-2020,10289604.357062269
01-04-2020,10545129.670648467
02-04-2020,10167903.725755524
03-04-2020,10728679.650781438
04-04-2020,10427019.658176383
05-04-2020,10854748.974593006
06-04-2020,10503075.427791921
07-04-2020,10901938.490450907
08-04-2020,11187625.252654027
09-04-2020,10706495.716078317
10-04-2020,10828436.705405306
11-04-2020,10732270.2696161
12-04-2020,11201257.552644787
13-04-2020,10794915.894686803
14-04-2020,10762440.819520185
15-04-2020,11480261.995793393
16-04-2020,9944363.670008296
17-04-2020,10264051.95897041
18-04-2020,9976838.745174915
19-04-2020,10538642.20317839
20-04-2020,10175631.780361924
21-04-2020,10169967.892997812
22-04-2020,10655484.324652668
23-04-2020,10231336.525783548
24-04-2020,10424696.93033953
25-04-2020,10135410.448014583
26-04-2020,10643582.429125886
27-04-2020,10297332.41166867
28-04-2020,10354314.149375264
29-04-2020,10912526.988544079
30-04-2020,10480401.675761152
01-05-2020,10394535.481722604
02-05-2020,10507212.863563659
03-05-2020,10840061.837763201
04-05-2020,10596438.419703785
05-05-2020,10821006.00842858
06-05-2020,11711040.28881937
07-05-2020,11124739.26956308
08-05-2020,11405242.860442579
09-05-2020,10942706.639735322
10-05-2020,11516874.50673175
