Date,Mobility
15-02-2020,8834114.743932897
16-02-2020,8785564.248130133
17-02-2020,8783724.575602364
18-02-2020,8669931.42660311
19-02-2020,9094927.593068175
20-02-2020,8743262.49923402
21-02-2020,8324766.7690558955
22-02-2020,8456825.439021409
23-02-2020,8347429.424636737
24-02-2020,8559679.838204945
25-02-2020,8506717.588212652
26-02-2020,8881212.361231988
27-02-2020,8433896.474485336
28-02-2020,8604454.383411922
29-02-2020,8720570.604503289
01-03-2020,8777584.374000266
02-03-2020,8485877.305773992
03-03-2020,8288713.767066438
04-03-2020,8750492.66484431
05-03-2020,8431063.443489628
06-03-2020,8651525.441371761
07-03-2020,8458524.647284089
08-03-2020,8782977.546893427
09-03-2020,8383371.201510997
10-03-2020,7279435.950371034
11-03-2020,9042574.58733037
12-03-2020,8538244.931086743
13-03-2020,8687713.548005022
14-03-2020,8231688.057805158
15-03-2020,8620135.882952118
16-03-2020,8588995.33410212
17-03-2020,8588013.915398486
18-03-2020,8944711.947440958
19-03-2020,8385319.419343322
20-03-2020,8762623.343829757
21-03-2020,8619280.308938628
22-03-2020,
23-03-2020,8310151.353995284
24-03-2020,7868477.649711439
25-03-2020,7547206.076018347
26-03-2020,7306375.255497597
27-03-2020,7325748.039857634
28-03-2020,7126981.898427653
29-03-2020,
30-03-2020,7365961.106656332
31-03-2020,7292518.808910222
01-04-2020,7316924.53147858
02-04-2020,7285162.79860979
03-04-2020,7482698.5117664905
04-04-2020,7390976.073479178
05-04-2020,
06-04-2020,7556389.819082246
07-04-2020,7681467.333007116
08-04-2020,7842592.489300158
09-04-2020,7868825.944631981
10-04-2020,7840257.477443741
11-04-2020,7743141.866263266
12-04-2020,
13-04-2020,7660005.866549663
14-04-2020,7690912.025404963
15-04-2020,8184329.491172121
16-04-2020,8165082.551502228
17-04-2020,8117996.873967442
18-04-2020,8014506.671190169
19-04-2020,
20-04-2020,8237915.604993849
21-04-2020,8180043.581672737
22-04-2020,8455694.296099024
23-04-2020,8225289.586679754
24-04-2020,8119350.467120223
25-04-2020,7866142.637855024
26-04-2020,8455445.286529379
27-04-2020,8313209.515032029
28-04-2020,8322654.207429877
29-04-2020,8634838.643599322
30-04-2020,8456552.549923157
01-05-2020,8577452.699653199
02-05-2020,8476783.588107329
03-05-2020,8558686.479737008
04-05-2020,8460355.059858195
05-05-2020,8548274.988210471
06-05-2020,8097291.696172587
07-05-2020,8236336.8818000285
08-05-2020,8670156.55664415
09-05-2020,8442212.703771438
10-05-2020,8714046.288687741
11-05-2020,8674817.32040332
12-05-2020,8596093.074879246
13-05-2020,8770948.83306952
14-05-2020,8571201.272935903
15-05-2020,8765432.495296856
16-05-2020,8600877.00351792
17-05-2020,8871245.770166242
18-05-2020,8646123.008524938
19-05-2020,8575252.792440588
20-05-2020,9021212.406223813
21-05-2020,9011659.168521412
22-05-2020,8774754.022815201
23-05-2020,8585555.738662567
24-05-2020,8873457.61714316
25-05-2020,8569985.464237569
26-05-2020,8713811.898693042
27-05-2020,8974624.74782832
28-05-2020,8864387.779005101
29-05-2020,9054816.491431015
30-05-2020,8895044.928290753
31-05-2020,9155110.748717096
01-06-2020,8946914.534464214
02-06-2020,8774877.187694702
03-06-2020,9107790.681187611
04-06-2020,8917487.813451841
05-06-2020,9198408.535891788
06-06-2020,9096259.986502994
07-06-2020,9303723.791621886
08-06-2020,8968126.99135202
09-06-2020,9058868.010935698
10-06-2020,9243777.705778306
11-06-2020,8937718.851636011
12-06-2020,9307540.92113187
13-06-2020,8914060.15777659
14-06-2020,9458351.19143863
15-06-2020,8698367.468958188
16-06-2020,9277742.025670351
17-06-2020,9617030.110760055
18-06-2020,9296631.410466043
19-06-2020,9425136.580066163
20-06-2020,9142985.429352934
21-06-2020,9305065.445010362
22-06-2020,9035443.707070978
23-06-2020,9015836.53271624
24-06-2020,9521642.946992151
25-06-2020,9100077.11601298
26-06-2020,9208351.247428926
27-06-2020,9128771.427891362
28-06-2020,9358678.11817134
29-06-2020,9234473.47764555
30-06-2020,9154518.803848196
01-07-2020,9310983.196382064
02-07-2020,9120680.328646295
03-07-2020,9380139.58462879
04-07-2020,9278240.044809641
05-07-2020,9549341.220591953
06-07-2020,9332432.723075213
07-07-2020,9308648.18452565
08-07-2020,9053348.99335239
09-07-2020,8916506.394748205
10-07-2020,9170821.487407183
11-07-2020,7692142.453678243
12-07-2020,
13-07-2020,9247582.89552399
14-07-2020,9018033.760118209
15-07-2020,9312324.849770544
16-07-2020,9038636.972751526
17-07-2020,9359659.536874974
18-07-2020,7643466.113185333
19-07-2020,
20-07-2020,9156841.875940308
21-07-2020,9198285.371012287
22-07-2020,9213729.800747141
23-07-2020,8872602.043129668
24-07-2020,9305329.074154954
25-07-2020,7706371.074714763
26-07-2020,8087337.044871146
27-07-2020,9105704.67890084
28-07-2020,8932685.913427694
29-07-2020,9229549.084741786
30-07-2020,8990930.11119795
31-07-2020,9290491.208863946
01-08-2020,7863570.556193266
02-08-2020,8285731.01185198
03-08-2020,8838766.24773841
04-08-2020,9069903.366291668
05-08-2020,8832497.521635525
06-08-2020,8800624.563651538
07-08-2020,8939804.853922782
08-08-2020,7739114.226287187
09-08-2020,8087832.384199793
10-08-2020,8978304.092883857
11-08-2020,8787391.980893597
12-08-2020,9306556.82261759
13-08-2020,8787017.126633808
14-08-2020,9210299.465261249
15-08-2020,7648982.450957997
16-08-2020,7905617.935898447
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,9000140.413601097
12-09-2020,8690402.214403266
13-09-2020,9322613.17641758
14-09-2020,9115647.390437977
15-09-2020,9175980.270305648
16-09-2020,9166769.9679025
17-09-2020,9267690.768828658
18-09-2020,9395337.684604643
19-09-2020,9361487.269638442
20-09-2020,9605733.806070138
21-09-2020,8995107.475392777
22-09-2020,9553023.245458134
23-09-2020,10099777.815477373
24-09-2020,9779862.514747705
25-09-2020,9803896.062866915
26-09-2020,9715243.725380652
27-09-2020,10165117.074214116
28-09-2020,9681405.250178749
29-09-2020,9610895.268779242
30-09-2020,8981983.437939394
01-10-2020,8063455.900781329
02-10-2020,8543034.219346702
03-10-2020,8133716.872611191
04-10-2020,8492986.986315422
05-10-2020,8380315.720284893
06-10-2020,8443220.681814324
07-10-2020,9084020.762212992
08-10-2020,9037421.164053192
09-10-2020,9370571.727351444
10-10-2020,8782484.887375422
11-10-2020,9180749.579369375
12-10-2020,9210067.755077193
13-10-2020,9088669.58620786
14-10-2020,9670865.234151429
15-10-2020,9435067.351838997
16-10-2020,9834925.386601714
17-10-2020,9304224.49057182
18-10-2020,9798251.200593464
19-10-2020,9623533.22685764
20-10-2020,9392642.438063383
21-10-2020,9496393.590174606
22-10-2020,8934689.929749157
23-10-2020,8722814.370440738
24-10-2020,8315351.315807942
25-10-2020,8677427.901168633
26-10-2020,8140009.478242683
27-10-2020,8450963.486138849
28-10-2020,9030214.877971511
29-10-2020,8616488.456857113
30-10-2020,8771476.091358703
31-10-2020,8372959.709984463
01-11-2020,9059489.19495449
02-11-2020,8728553.158443797
03-11-2020,8683058.143867137
04-11-2020,9191439.319615448
05-11-2020,8804207.303166823
06-11-2020,8870914.77463129
07-11-2020,8782373.662260225
08-11-2020,9086953.078559594
09-11-2020,8906592.92236096
10-11-2020,8964837.120131219
11-11-2020,9242078.497515628
12-11-2020,8986298.58658867
13-11-2020,9449061.582880817
14-11-2020,8488703.756626682
15-11-2020,9167267.98704179
16-11-2020,8982496.076653631
17-11-2020,9048954.538548453
18-11-2020,9295787.776216855
19-11-2020,9051775.629779857
20-11-2020,8827259.432582397
21-11-2020,8937982.480780603
22-11-2020,9245992.232565863
23-11-2020,8694093.499223106
24-11-2020,8770978.07221941
25-11-2020,9291127.012457684
26-11-2020,7884809.5724203205
27-11-2020,9020509.236239716
28-11-2020,8760068.561553586
29-11-2020,9234956.877209894
30-11-2020,8433418.434542276
01-12-2020,8824936.360490287
02-12-2020,9294929.522392722
03-12-2020,8868204.908515086
04-12-2020,9083897.59733349
05-12-2020,8581281.768927487
06-12-2020,9164086.661125543
07-12-2020,8774297.182590105
08-12-2020,7552268.25337656
09-12-2020,9553905.378810873
