Date,Mobility
15-02-2020,39394543.74044146
16-02-2020,38595215.65973131
17-02-2020,39724768.81295864
18-02-2020,39928421.19409653
19-02-2020,39420647.69287062
20-02-2020,37904815.859346226
21-02-2020,36807729.89308113
22-02-2020,39646456.95567118
23-02-2020,38417000.46333569
24-02-2020,39518294.79667454
25-02-2020,39595939.88627512
26-02-2020,39188069.72415736
27-02-2020,38697375.23414369
28-02-2020,38517005.17028874
29-02-2020,39103757.29648901
01-03-2020,39047036.92102224
02-03-2020,39794157.09687409
03-03-2020,39472188.830042034
04-03-2020,39596606.653962
05-03-2020,37481354.78578867
06-03-2020,36193689.818213984
07-03-2020,37194979.44459977
08-03-2020,37598337.13610908
09-03-2020,34246758.70184267
10-03-2020,30249552.898449916
11-03-2020,36749260.121534646
12-03-2020,38766763.51805914
13-03-2020,38799534.80855608
14-03-2020,38152317.97181238
15-03-2020,37954767.5289003
16-03-2020,38226117.35849139
17-03-2020,37678238.46101387
18-03-2020,37151028.3454266
19-03-2020,36846805.85749367
20-03-2020,34518978.03481044
21-03-2020,32605789.080157656
22-03-2020,21798903.90234729
23-03-2020,23158677.421138745
24-03-2020,19831048.071842168
25-03-2020,19881565.141238227
26-03-2020,20207379.11099185
27-03-2020,20214046.449059635
28-03-2020,21156562.20036424
29-03-2020,22676442.4725
30-03-2020,22020766.09438138
31-03-2020,21192613.79394076
01-04-2020,20993372.515566435
02-04-2020,20559297.033174623
03-04-2020,21206513.869918317
04-04-2020,21504069.01978346
05-04-2020,22452788.077158764
06-04-2020,21601716.12358739
07-04-2020,21822548.88378241
08-04-2020,22075128.866699018
09-04-2020,22005740.58278357
10-04-2020,21767060.675844517
11-04-2020,22064615.825709656
12-04-2020,23358585.467199955
13-04-2020,22583569.13561181
14-04-2020,21803112.269421045
15-04-2020,22922152.381659016
16-04-2020,21727723.4151247
17-04-2020,21910349.714283872
18-04-2020,22051382.51741899
19-04-2020,23080568.299541082
20-04-2020,22225085.243206147
21-04-2020,21796546.29919816
22-04-2020,22042458.944046978
23-04-2020,21803779.03710793
24-04-2020,22312219.306020726
25-04-2020,22307808.20325717
26-04-2020,23432486.221723862
27-04-2020,22776809.843605243
28-04-2020,22298319.23004317
29-04-2020,22444328.535783835
30-04-2020,22450995.87385162
01-05-2020,22381607.58993617
02-05-2020,22981128.99243001
03-05-2020,23910411.435443945
04-05-2020,23148164.380149387
05-05-2020,22700188.821780022
06-05-2020,23191448.71163568
07-05-2020,23122060.427720234
08-05-2020,23523930.019457087
09-05-2020,23802048.55496086
10-05-2020,25354700.11759356
11-05-2020,24811696.354876682
12-05-2020,24489728.08804463
13-05-2020,25156946.938991677
14-05-2020,25213565.946613535
15-05-2020,26453535.479938384
16-05-2020,27278967.513077687
17-05-2020,26892224.80078355
18-05-2020,28064859.549807373
19-05-2020,27912182.905998923
20-05-2020,27984392.825060584
21-05-2020,27815101.20203698
22-05-2020,28090963.502236523
23-05-2020,28445137.65972353
24-05-2020,27613241.024206243
25-05-2020,27591345.438850842
26-05-2020,27742891.28297532
27-05-2020,28512269.708334748
28-05-2020,28316874.132881995
29-05-2020,28768695.394172926
30-05-2020,29670183.049295463
31-05-2020,28117270.190355483
01-06-2020,29213849.317396075
02-06-2020,28735358.703834
03-06-2020,28857520.292449743
04-06-2020,29140049.930717066
05-06-2020,28987938.686750602
06-06-2020,26088949.649306923
07-06-2020,28636223.50025763
08-06-2020,30254012.172504608
09-06-2020,29882092.236118473
10-06-2020,29528584.846318353
11-06-2020,29107278.64022013
12-06-2020,29769419.620716736
13-06-2020,22952870.172541533
14-06-2020,24207966.585309085
15-06-2020,30479922.803150073
16-06-2020,29449707.58918891
17-06-2020,29352625.885226965
18-06-2020,29007375.301111974
19-06-2020,29776086.958784517
20-06-2020,24038573.594440583
21-06-2020,24331717.641542166
22-06-2020,30796813.199531678
23-06-2020,29823216.993192386
24-06-2020,30071385.87334543
25-06-2020,29676183.619676363
26-06-2020,29869322.95982489
27-06-2020,28195379.311953135
28-06-2020,24620349.218035296
29-06-2020,30916153.153001204
30-06-2020,30324989.924037393
01-07-2020,30316733.118352264
02-07-2020,29945378.58180812
03-07-2020,30277859.889629528
04-07-2020,30351760.64415343
05-07-2020,25634408.12071468
06-07-2020,31641580.47918745
07-07-2020,30817839.28151039
08-07-2020,30835686.428254418
09-07-2020,30321144.221115824
10-07-2020,30497103.18220721
11-07-2020,30573158.804190442
12-07-2020,25458449.159623288
13-07-2020,31435106.462903358
14-07-2020,30461510.25656406
15-07-2020,30735783.08914626
16-07-2020,30214573.54393988
17-07-2020,30547054.85176129
18-07-2020,31046672.91514697
19-07-2020,25239205.867045607
20-07-2020,31341870.461862985
21-07-2020,31119805.53413909
22-07-2020,31261403.7371162
23-07-2020,30590339.18324758
24-07-2020,30872868.821514912
25-07-2020,31174835.074143603
26-07-2020,25658255.837839603
27-07-2020,31767587.77072476
28-07-2020,30943846.5730477
29-07-2020,30985541.436916657
30-07-2020,30863945.2481429
31-07-2020,31339614.226558756
01-08-2020,31865234.87452869
02-08-2020,29784445.132314544
03-08-2020,28712999.08648152
04-08-2020,30954359.614037056
05-08-2020,30805171.37306171
06-08-2020,30184058.488747172
07-08-2020,30635879.75003811
08-08-2020,30814094.946433727
09-08-2020,26092331.320231408
10-08-2020,31411258.74577843
11-08-2020,30856712.51023313
12-08-2020,29608384.803378258
13-08-2020,30453253.450878933
14-08-2020,30759630.806271184
15-08-2020,29043890.926685583
16-08-2020,26142282.98978549
17-08-2020,31706557.660339344
18-08-2020,30858968.745537356
19-08-2020,30377197.8288957
20-08-2020,29645668.564483646
21-08-2020,30716346.47478489
22-08-2020,23384689.41962911
23-08-2020,24539882.493288513
24-08-2020,31237556.019991275
25-08-2020,30237855.86122282
26-08-2020,30236266.39360548
27-08-2020,29814960.187507253
28-08-2020,30114670.204831723
29-08-2020,24477060.179595947
30-08-2020,25111043.70804897
31-08-2020,31404591.40771065
01-09-2020,30863379.848300915
02-09-2020,30405558.01662908
03-09-2020,29821627.525575038
04-09-2020,29011786.403875533
05-09-2020,25321827.459251717
06-09-2020,25334698.103390206
07-09-2020,31860823.771765135
08-09-2020,31206374.197111677
09-09-2020,31081033.67326125
10-09-2020,30257857.875426177
11-09-2020,30514283.56126435
12-09-2020,30718602.710089117
13-09-2020,25834214.798930988
14-09-2020,31936879.39374837
15-09-2020,31119805.53413909
16-09-2020,31294175.027613133
17-09-2020,30620854.238440294
18-09-2020,31129294.507353086
19-09-2020,31930878.823367465
20-09-2020,26542461.746060096
21-09-2020,32443063.427356936
22-09-2020,31719225.56878803
23-09-2020,32273771.80433333
24-09-2020,31702610.589572873
25-09-2020,26501796.314030215
26-09-2020,32634613.299888123
27-09-2020,27493799.702891815
28-09-2020,33424916.43938136
29-09-2020,32601175.241704296
30-09-2020,32084478.167106375
01-10-2020,31143653.251264013
02-10-2020,30105543.89576991
03-10-2020,31975752.62247111
04-10-2020,30733628.221686937
05-10-2020,32262026.595815107
06-10-2020,31890106.659428976
07-10-2020,32290386.78354849
08-10-2020,31927955.82037636
09-10-2020,32217152.796711463
10-10-2020,31281405.751319546
11-10-2020,32471524.98293522
12-10-2020,33259470.519279327
13-10-2020,33013557.874430507
14-10-2020,33231211.69939085
15-10-2020,32610098.815076314
16-10-2020,32838164.313181106
17-10-2020,33325114.4681181
18-10-2020,33199208.544425692
19-10-2020,33735139.497695185
20-10-2020,33263316.2222009
21-10-2020,33324447.700431224
22-10-2020,32570660.186511587
23-10-2020,32627279.194133453
24-10-2020,32701179.94865735
25-10-2020,32649073.411643952
26-10-2020,33615234.14438368
27-10-2020,33343217.547105704
28-10-2020,32961451.337417103
29-10-2020,32121095.160524882
30-10-2020,32220998.49963304
31-10-2020,32049552.00915011
01-11-2020,33279109.869330503
02-11-2020,32516196.046349052
03-11-2020,33636260.22636239
04-11-2020,32303721.45968406
05-11-2020,31309099.171366047
06-11-2020,32247102.452062197
07-11-2020,33400604.690259352
08-11-2020,33505020.49997597
09-11-2020,33265572.45750513
10-11-2020,33362654.161467075
11-11-2020,33836733.67226559
12-11-2020,33758421.81497813
13-11-2020,34655295.6316473
14-11-2020,31817336.704589043
15-11-2020,28991784.38967218
16-11-2020,32674307.86069642
17-11-2020,33260494.587054685
18-11-2020,33235057.40231242
19-11-2020,32690000.139981117
20-11-2020,32563992.848443802
21-11-2020,33191874.438671026
22-11-2020,32868316.70422163
23-11-2020,33415427.466167364
24-11-2020,33036840.19171345
25-11-2020,32968118.675484885
26-11-2020,32646715.808494817
27-11-2020,32672819.760923967
28-11-2020,32896575.524110116
29-11-2020,32649073.411643952
30-11-2020,30761017.538198728
01-12-2020,33162847.48325076
02-12-2020,33745753.90652945
03-12-2020,33174592.691768985
04-12-2020,33074689.352660827
05-12-2020,33776370.32956705
06-12-2020,33300701.3511512
07-12-2020,33751754.476910345
08-12-2020,26078692.540561143
09-12-2020,32618456.988606337
10-12-2020,33348295.417556144
11-12-2020,33331115.038499
12-12-2020,33392246.516729325
13-12-2020,33522766.27887509
14-12-2020,33794014.74062127
15-12-2020,34017103.73612053
16-12-2020,33542101.52539156
17-12-2020,33370553.667063724
18-12-2020,33622568.25013834
19-12-2020,33677032.39030088
20-12-2020,34105005.93446688
21-12-2020,34538878.68116889
22-12-2020,34143111.027657844
23-12-2020,34061054.83529371
24-12-2020,33413837.99855002
25-12-2020,32492812.36122121
26-12-2020,32560813.913209118
27-12-2020,31933135.058671694
28-12-2020,34167524.14462475
29-12-2020,33695700.86913046
30-12-2020,33920022.03215858
31-12-2020,34234656.19323597
