Date,Mobility
15-02-2020,7901142.05199325
16-02-2020,7698865.873796883
17-02-2020,8131279.170381706
18-02-2020,7836338.542151503
19-02-2020,7828552.458448155
20-02-2020,7932082.140758281
21-02-2020,7575074.38355608
22-02-2020,7829016.59355763
23-02-2020,7785555.664452468
24-02-2020,8189072.364152095
25-02-2020,7926959.500305503
26-02-2020,7783435.921279154
27-02-2020,7901142.05199325
28-02-2020,7798000.2534991205
29-02-2020,7703680.195401447
01-03-2020,7628087.704576888
02-03-2020,8580220.726098549
03-03-2020,7881610.895581764
04-03-2020,7804934.318276998
05-03-2020,7776037.721391802
06-03-2020,7035387.188604656
07-03-2020,7779736.821335478
08-03-2020,7821386.32611554
09-03-2020,8066319.844278701
10-03-2020,7121318.506234672
11-03-2020,7406851.891552668
12-03-2020,7640532.293623541
13-03-2020,7714545.427677737
14-03-2020,7526677.7654400775
15-03-2020,7473930.960828986
16-03-2020,7926727.432750765
17-03-2020,7454476.055710979
18-03-2020,7408739.567171243
19-03-2020,7776578.107794756
20-03-2020,7298892.457779672
21-03-2020,7028993.510229732
22-03-2020,5373353.457944639
23-03-2020,5602299.103378729
24-03-2020,5094213.7510015685
25-03-2020,5027055.116757467
26-03-2020,5132008.339576695
27-03-2020,5240428.594784861
28-03-2020,5395932.627748387
29-03-2020,5624601.089514941
30-03-2020,5443172.221765006
31-03-2020,5334519.899002102
01-04-2020,5301768.385911972
02-04-2020,5305543.737149126
03-04-2020,5422941.549015006
04-04-2020,5451606.078345464
05-04-2020,5629723.729967719
06-04-2020,5405142.251960838
07-04-2020,5314677.110068099
08-04-2020,5412076.316738715
09-04-2020,5482622.418403974
10-04-2020,5473644.86174626
11-04-2020,5518685.147621783
12-04-2020,5792470.146557339
13-04-2020,5609385.670743563
14-04-2020,5477423.526657717
15-04-2020,5522231.744978503
16-04-2020,5187297.220032078
17-04-2020,5232569.573462338
18-04-2020,5304695.031897957
19-04-2020,5519107.48029276
20-04-2020,
21-04-2020,
22-04-2020,
23-04-2020,5288707.159168889
24-04-2020,5190764.252421016
25-04-2020,5400670.698059472
26-04-2020,5638392.967777217
27-04-2020,
28-04-2020,
29-04-2020,
30-04-2020,5337290.7287268285
01-05-2020,5342569.185440866
02-05-2020,5420205.168145261
03-05-2020,5242430.284226201
04-05-2020,5569163.020146904
05-05-2020,5589082.060374387
06-05-2020,
07-05-2020,5646719.437883518
08-05-2020,5702624.956035332
09-05-2020,5624756.9057762
10-05-2020,5445094.346238563
11-05-2020,5815055.943709692
12-05-2020,5769783.590279431
13-05-2020,5791281.987277275
14-05-2020,5785771.463008501
15-05-2020,5946862.271534278
16-05-2020,6078592.348065387
17-05-2020,6106560.674731634
18-05-2020,
19-05-2020,6175111.7143041575
20-05-2020,6248892.780803616
21-05-2020,6245425.748414678
22-05-2020,6254247.4888111325
23-05-2020,6176535.2548132595
24-05-2020,5633349.892292219
25-05-2020,6370917.962832122
26-05-2020,6327224.966172223
27-05-2020,6236139.87290875
28-05-2020,6216297.083974745
29-05-2020,6245349.497121199
30-05-2020,6371801.116938272
31-05-2020,5808772.965483227
01-06-2020,6571230.214116433
02-06-2020,6413838.50553433
03-06-2020,6326684.5797692705
04-06-2020,6404628.88132188
05-06-2020,6361167.952216718
06-06-2020,6319286.379881918
07-06-2020,5776333.084915614
08-06-2020,6477065.972280017
09-06-2020,6375888.100697943
10-06-2020,6288734.174932883
11-06-2020,6366678.476485494
12-06-2020,6459110.858964591
13-06-2020,5868685.902426932
14-06-2020,5506510.388659152
15-06-2020,6593116.494930273
16-06-2020,6399662.057130361
17-06-2020,6263536.677991364
18-06-2020,6308653.215160365
19-06-2020,6203699.992341137
20-06-2020,6018835.227382941
21-06-2020,5517375.620935443
22-06-2020,6439191.818737108
23-06-2020,6263768.745546102
24-06-2020,6254327.053778913
25-06-2020,6290621.85055146
26-06-2020,6239994.789113685
27-06-2020,6031588.135277809
28-06-2020,5495877.223937598
29-06-2020,6433837.110729593
30-06-2020,6252903.513269811
01-07-2020,6152840.863348624
02-07-2020,6234484.26484491
03-07-2020,6214409.408356168
04-07-2020,6230553.097346497
05-07-2020,5571857.598578152
06-07-2020,6346915.25251927
07-07-2020,6298175.866700071
08-07-2020,6132998.07441462
09-07-2020,6248972.345771397
10-07-2020,6171104.295512266
11-07-2020,6095123.920871712
12-07-2020,5354861.271900561
13-07-2020,6359591.90912066
14-07-2020,6148106.106711842
15-07-2020,6256138.478104012
16-07-2020,6323217.547380331
17-07-2020,6306841.790835266
18-07-2020,6294088.8829403985
19-07-2020,5575556.698521828
20-07-2020,6323373.36364159
21-07-2020,6115430.84491519
22-07-2020,6315819.34749298
23-07-2020,6344948.011932912
24-07-2020,6276057.518331494
25-07-2020,6294320.950495137
26-07-2020,5671456.1133898655
27-07-2020,6386677.081680756
28-07-2020,6260069.645602426
29-07-2020,6205511.416666236
30-07-2020,6417381.7892167475
31-07-2020,6486196.031524687
01-08-2020,6511857.663575682
02-08-2020,5941587.128494544
03-08-2020,6452952.561818707
04-08-2020,6385329.792465132
05-08-2020,6451712.659077239
06-08-2020,6535011.668637364
07-08-2020,6607525.01088898
08-08-2020,6509737.920402366
09-08-2020,5729405.123421515
10-08-2020,6971511.94898186
11-08-2020,6607912.894704976
12-08-2020,6403437.408367515
13-08-2020,6603825.910945305
14-08-2020,6645475.415725367
15-08-2020,6499181.006974292
16-08-2020,5707674.658868934
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,6678226.928815497
12-09-2020,6564296.1493385555
13-09-2020,5758997.922970922
14-09-2020,7071110.463793571
15-09-2020,6759794.079018304
16-09-2020,6855149.793809085
17-09-2020,6770347.678772076
18-09-2020,6880655.60959882
19-09-2020,6903965.430921762
20-09-2020,6060793.051011221
21-09-2020,7128747.841302702
22-09-2020,6873645.293527465
23-09-2020,6759094.562679789
24-09-2020,6851603.196452366
25-09-2020,5404522.3005901035
26-09-2020,6829640.664345047
27-09-2020,6022531.013652315
28-09-2020,7075997.723017309
29-09-2020,6832072.04004088
30-09-2020,6748773.030480755
01-10-2020,6505003.163765584
02-10-2020,6447750.3563981475
03-10-2020,6524845.952699589
04-10-2020,6092356.404821289
05-10-2020,6825684.989014561
06-10-2020,6695378.452992556
07-10-2020,6792545.592108434
08-10-2020,6895531.574341305
09-10-2020,6942303.719574145
10-10-2020,6824673.840153528
11-10-2020,6650598.056178145
12-10-2020,7291958.393001795
13-10-2020,7000716.86471527
14-10-2020,7146855.457205086
15-10-2020,7219289.234488921
16-10-2020,7309986.443936398
17-10-2020,7170317.781114984
18-10-2020,7028837.693968472
19-10-2020,7492887.281982538
20-10-2020,7368091.270229306
21-10-2020,7152365.98147386
22-10-2020,7178183.429786115
23-10-2020,7172828.721778598
24-10-2020,7094960.671519466
25-10-2020,7145355.665402506
26-10-2020,7279749.1851841835
27-10-2020,7115191.344269467
28-10-2020,7009618.170079504
29-10-2020,6984264.856876726
30-10-2020,7123701.452143402
31-10-2020,6812540.883629395
01-11-2020,6895299.506786568
02-11-2020,7268728.136646634
03-11-2020,7240063.607316177
04-11-2020,6832383.672563398
05-11-2020,6606177.721673355
06-11-2020,6904741.198553755
07-11-2020,6871913.434170146
08-11-2020,6875224.650297826
09-11-2020,7078508.663680923
10-11-2020,7212822.618494821
11-11-2020,7138189.533069891
12-11-2020,7357381.854214275
13-11-2020,7661840.425505144
14-11-2020,6985577.69723737
15-11-2020,6588146.357064451
16-11-2020,7326985.4655265
17-11-2020,7234708.89930866
18-11-2020,7168897.554280186
19-11-2020,7116459.068517311
20-11-2020,7154409.473353696
21-11-2020,7112527.901018896
22-11-2020,6975211.048925535
23-11-2020,7460371.150121448
24-11-2020,7339274.238311891
25-11-2020,6991198.921654603
26-11-2020,7176139.937906277
27-11-2020,7230234.031732992
28-11-2020,7119770.284644988
29-11-2020,6966001.4247130845
30-11-2020,7070459.37724216
01-12-2020,7335575.138368215
02-12-2020,7441719.8341418095
03-12-2020,7407544.780542577
04-12-2020,7436441.377427771
05-12-2020,7400146.580655225
06-12-2020,7107249.444304859
07-12-2020,7786483.934671419
08-12-2020,5937777.328402409
09-12-2020,7508954.719679388
10-12-2020,7588398.813034577
11-12-2020,7593753.521042095
12-12-2020,7410932.247963734
13-12-2020,7133635.10052644
14-12-2020,7664223.3714138735
15-12-2020,7572023.056489513
16-12-2020,7305127.006219035
17-12-2020,7616751.709842517
18-12-2020,7562425.548461066
19-12-2020,7441328.636651511
