Date,Mobility
15-02-2020,20877635.94707034
16-02-2020,20464558.276657175
17-02-2020,22306511.969595075
18-02-2020,20956420.362365004
19-02-2020,21253985.834531534
20-02-2020,21154797.34380936
21-02-2020,19390449.083807718
22-02-2020,20691063.13311342
23-02-2020,20599732.504194662
24-02-2020,22315280.68931882
25-02-2020,20811566.55718344
26-02-2020,21094461.225882515
27-02-2020,21200462.65826874
28-02-2020,21200462.65826874
29-02-2020,21233581.759104017
01-03-2020,21464774.96738095
02-03-2020,22681648.12513323
03-03-2020,21313108.220535345
04-03-2020,21918829.60043281
05-03-2020,21073146.29253467
06-03-2020,20024566.46315516
07-03-2020,21581500.897550616
08-03-2020,21352129.405114345
09-03-2020,22852674.027266983
10-03-2020,18239377.19150425
11-03-2020,20181797.67017715
12-03-2020,21327779.02400281
13-03-2020,21426967.514724985
14-03-2020,20033032.308876194
15-03-2020,20396667.170929626
16-03-2020,21978862.84435695
17-03-2020,20538351.466128446
18-03-2020,20908799.269845925
19-03-2020,21209097.315773442
20-03-2020,19529534.8674646
21-03-2020,18453569.209209852
22-03-2020,12869496.602312692
23-03-2020,14186335.046488436
24-03-2020,11774983.334035717
25-03-2020,11880984.76642194
26-03-2020,12080272.605786623
27-03-2020,12206678.113600364
28-03-2020,12496216.912179813
29-03-2020,13096001.458768938
30-03-2020,12988821.044024304
31-03-2020,12381446.760069842
01-04-2020,12474733.167048302
02-04-2020,12203642.665836673
03-04-2020,12809364.045734141
04-04-2020,12823866.037417937
05-04-2020,13149524.635031736
06-04-2020,12940289.093584895
07-04-2020,12713953.048912315
08-04-2020,13006527.295255458
09-04-2020,12894792.590909181
10-04-2020,13006696.107039127
11-04-2020,13232121.293791378
12-04-2020,13684185.399218917
13-04-2020,13592586.645862075
14-04-2020,12822821.117278567
15-04-2020,13446821.982760185
16-04-2020,12153120.18777294
17-04-2020,12336826.365749834
18-04-2020,12411664.475360475
19-04-2020,13024164.047357364
20-04-2020,12548491.606954949
21-04-2020,12114099.003193941
22-04-2020,12333790.91798614
23-04-2020,12155986.823752966
24-04-2020,12282392.331566708
25-04-2020,12357230.44117735
26-04-2020,13177786.572262669
27-04-2020,12611694.36086182
28-04-2020,12183203.840844529
29-04-2020,12460196.42579988
30-04-2020,12137538.52638515
01-05-2020,12433148.220491983
02-05-2020,13038700.788605785
03-05-2020,13243855.962149562
04-05-2020,12970337.997091856
05-05-2020,12741135.316439254
06-05-2020,13217415.740759287
07-05-2020,13396299.504696455
08-05-2020,13854131.631648675
09-05-2020,13920201.021535568
10-05-2020,13455690.015138345
11-05-2020,14618905.93440879
12-05-2020,14202050.77009527
13-05-2020,14451826.337959059
14-05-2020,14328456.277909009
15-05-2020,15257746.41514154
16-05-2020,15250933.473477492
17-05-2020,15521415.990771504
18-05-2020,16061373.090696985
19-05-2020,15376125.249368193
20-05-2020,15743706.417105647
21-05-2020,15601719.247904113
22-05-2020,15834126.188104078
23-05-2020,15662055.365830958
24-05-2020,16086160.408030277
25-05-2020,15888257.348284494
26-05-2020,15545329.43566129
27-05-2020,16066364.316520376
28-05-2020,15836992.824084103
29-05-2020,16145148.731815038
30-05-2020,16572897.205695666
31-05-2020,16686890.562104352
01-06-2020,16967223.704738308
02-06-2020,16124575.844603855
03-06-2020,16595122.99696384
04-06-2020,16395835.157599157
05-06-2020,16683586.989902575
06-06-2020,16948033.361233827
07-06-2020,17089243.73473407
08-06-2020,17801271.656932678
09-06-2020,16750567.237709798
10-06-2020,17196764.008958243
11-06-2020,16858524.448155724
12-06-2020,17596250.54560794
13-06-2020,15139198.769131215
14-06-2020,13805733.743428309
15-06-2020,18052868.940637123
16-06-2020,16880750.239423893
17-06-2020,17106344.237959813
18-06-2020,16768104.677157288
19-06-2020,17049043.567796662
20-06-2020,16479610.79871721
21-06-2020,13990350.779325528
22-06-2020,18289053.374737438
23-06-2020,16841897.866628557
24-06-2020,17263744.25676547
25-06-2020,16387977.295795739
26-06-2020,17019701.96086173
27-06-2020,16457082.133446328
28-06-2020,13797707.069841225
29-06-2020,18171416.586647443
30-06-2020,16802876.68204956
01-07-2020,17399829.342223283
02-07-2020,17034372.7643292
03-07-2020,17233660.60369388
04-07-2020,17079127.22086825
05-07-2020,14124142.463156309
06-07-2020,18392019.359359976
07-07-2020,17183914.92133144
08-07-2020,17366710.241388
09-07-2020,17110121.731860165
10-07-2020,17254975.53704172
11-07-2020,16853533.222332332
12-07-2020,13755819.249282198
13-07-2020,18228717.256810598
14-07-2020,16947730.487231117
15-07-2020,17448361.292662688
16-07-2020,17227758.519950163
17-07-2020,17315311.654968567
18-07-2020,17396051.848322928
19-07-2020,14238912.61526628
20-07-2020,17561006.854929294
21-07-2020,15610353.905408816
22-07-2020,17499928.69086579
23-07-2020,17191772.78313485
24-07-2020,17336626.58831641
25-07-2020,17406642.28388733
26-07-2020,14450746.668255063
27-07-2020,18238396.83445467
28-07-2020,17099397.234076723
29-07-2020,17376389.819032073
30-07-2020,17509608.26850986
31-07-2020,17700127.3881508
01-08-2020,17782689.29734582
02-08-2020,16613402.482547991
03-08-2020,17679251.62693691
04-08-2020,17033159.03240616
05-08-2020,17439592.57293894
06-08-2020,17327857.86859267
07-08-2020,17448361.292662688
08-08-2020,17418277.639591098
09-08-2020,14972692.40703448
10-08-2020,18400788.07908372
11-08-2020,17295649.625677716
12-08-2020,17100308.09199705
13-08-2020,17010022.38321766
14-08-2020,17666097.429395188
15-08-2020,17251063.980922326
16-08-2020,15018357.721493857
17-08-2020,18684593.605703115
18-08-2020,17240304.73357426
19-08-2020,17732166.81928209
20-08-2020,16596033.854884166
21-08-2020,17369745.689151693
22-08-2020,13785937.651918411
23-08-2020,14060197.663112778
24-08-2020,18300688.730441213
25-08-2020,17125703.39324796
26-08-2020,17444583.798762336
27-08-2020,17196764.008958243
28-08-2020,17432948.44305856
