Date,Mobility
15-02-2020,17670197.623498663
16-02-2020,17121654.092501458
17-02-2020,18286540.437491897
18-02-2020,17767093.405384596
19-02-2020,17492878.487074457
20-02-2020,17618183.101342518
21-02-2020,16787995.060719237
22-02-2020,17264385.920919865
23-02-2020,16835656.195074834
24-02-2020,18303700.531347346
25-02-2020,17641254.550526734
26-02-2020,17103692.637761306
27-02-2020,17509771.460635003
28-02-2020,17309267.180649657
29-02-2020,17291572.846204404
01-03-2020,17023269.283223033
02-03-2020,18143541.488778587
03-03-2020,17669663.38290886
04-03-2020,17561365.43657827
05-03-2020,16850753.289406933
06-03-2020,16182395.953257555
07-03-2020,17669509.956990883
08-03-2020,17567390.48628396
09-03-2020,18671610.810704727
10-03-2020,14788720.713222947
11-03-2020,16485974.490752507
12-03-2020,16851173.83561981
13-03-2020,17630119.50637698
14-03-2020,16670006.34339019
15-03-2020,16988681.975217238
16-03-2020,17961419.209746275
17-03-2020,17344809.275458142
18-03-2020,17185184.473479185
19-03-2020,17568345.27308665
20-03-2020,16779907.011490192
21-03-2020,16454098.117236786
22-03-2020,11505605.993658114
23-03-2020,12010376.477646194
24-03-2020,10342362.101978146
25-03-2020,10360170.130800318
26-03-2020,10531577.911895756
27-03-2020,10702985.692991193
28-03-2020,11051178.369921034
29-03-2020,12208664.33219021
30-03-2020,11422289.070117109
31-03-2020,11153451.266545933
01-04-2020,10982424.30012232
02-04-2020,11074363.51348217
03-04-2020,11342399.956168642
04-04-2020,10765027.04657643
05-04-2020,11893837.05616858
06-04-2020,11530700.710824624
07-04-2020,11050377.009036327
08-04-2020,11268155.077254042
09-04-2020,11382057.527077446
10-04-2020,11473996.740437295
11-04-2020,11438875.191841697
12-04-2020,12619546.297672015
13-04-2020,11741498.942533962
14-04-2020,11239212.004282111
15-04-2020,11850865.370044162
16-04-2020,11163591.792351946
17-04-2020,11546485.471664505
18-04-2020,11288362.166030202
19-04-2020,12200729.708879147
20-04-2020,11442763.279188171
21-04-2020,11083208.16935473
22-04-2020,11169236.027385812
23-04-2020,11134915.839674918
24-04-2020,11306323.620770358
25-04-2020,11203402.789178729
26-04-2020,12463542.46274463
27-04-2020,11516741.037807867
28-04-2020,11277533.973716404
29-04-2020,11483642.757194562
30-04-2020,11861312.747686133
01-05-2020,11769640.654621184
