Date,Mobility
15-02-2020,14376006.038367614
16-02-2020,14211071.615588441
17-02-2020,15407840.47190228
18-02-2020,14563829.045751348
19-02-2020,14109511.341199175
20-02-2020,14243325.879577495
21-02-2020,13600471.844262615
22-02-2020,14145618.854280755
23-02-2020,13740816.113054924
24-02-2020,15225645.349785823
25-02-2020,14449617.032679157
26-02-2020,14264324.373032011
27-02-2020,14188750.220777987
28-02-2020,14342996.06281672
29-02-2020,14071252.148407374
01-03-2020,14072007.85996921
02-03-2020,15239052.800030584
03-03-2020,14329777.134339698
04-03-2020,14318332.842037417
05-03-2020,14115139.226466445
06-03-2020,12933363.934804374
07-03-2020,14047156.117422175
08-03-2020,14150679.549753923
09-03-2020,14979508.889485354
10-03-2020,12600439.939898195
11-03-2020,13539018.465632329
12-03-2020,14085415.310213974
13-03-2020,14212846.251763187
14-03-2020,13743913.650585609
15-03-2020,13932944.104349986
16-03-2020,14905897.895173812
17-03-2020,13942046.570683414
18-03-2020,13757321.10083037
19-03-2020,13924145.614759589
20-03-2020,13226600.465669896
21-03-2020,12773417.140705928
22-03-2020,9316926.734633619
23-03-2020,9970133.070845436
24-03-2020,8479793.028313456
25-03-2020,8414907.45679987
26-03-2020,8564092.603365436
27-03-2020,8737940.970710304
28-03-2020,8989326.648251679
29-03-2020,9509243.247696418
30-03-2020,9097343.586262496
31-03-2020,8955938.00467442
01-04-2020,8898831.998138325
02-04-2020,8864426.05443905
03-04-2020,9127067.502514966
04-04-2020,9113092.862476103
05-04-2020,9752849.360260302
06-04-2020,9290227.289119394
07-04-2020,9285166.593646226
08-04-2020,9296422.364180768
09-04-2020,9451235.396013604
10-04-2020,9438395.135562945
11-04-2020,9519029.983290138
12-04-2020,10212794.950079745
13-04-2020,9925984.40422619
14-04-2020,9448326.380250655
15-04-2020,9656392.169527061
16-04-2020,8433070.001283877
17-04-2020,8538935.259584472
18-04-2020,8582066.626081703
19-04-2020,9346912.239446267
20-04-2020,8700960.666600697
21-04-2020,8459884.901773397
22-04-2020,8543617.287031276
23-04-2020,8525149.141313346
24-04-2020,8625386.514346672
25-04-2020,8627916.862083256
26-04-2020,9563891.973288367
27-04-2020,8890746.83192691
28-04-2020,8673767.09808481
29-04-2020,8719996.002112728
30-04-2020,8627916.862083256
01-05-2020,8861401.583700804
02-05-2020,8982637.450188644
03-05-2020,9506218.776958173
04-05-2020,9131443.928727845
05-05-2020,9020896.642980445
06-05-2020,9240406.724559128
07-05-2020,9010019.540472267
08-05-2020,9246034.6098264
09-05-2020,9497987.477161877
10-05-2020,9964462.79739531
11-05-2020,10186807.203453612
12-05-2020,9687394.974461725
13-05-2020,9828233.366255699
14-05-2020,9755189.561738258
15-05-2020,10021117.069112597
16-05-2020,10047743.447834382
17-05-2020,10108020.058693603
18-05-2020,10796766.718192898
19-05-2020,10332894.812488489
20-05-2020,10438760.070789088
21-05-2020,10172832.563414747
22-05-2020,10256564.948672628
23-05-2020,10118256.904615236
24-05-2020,10257205.205259169
25-05-2020,10669902.966437785
26-05-2020,10428071.490048647
27-05-2020,10652642.267100502
28-05-2020,10367679.42421413
29-05-2020,10595536.260564405
30-05-2020,10757940.335606998
31-05-2020,10490122.737082615
01-06-2020,11360308.80713653
02-06-2020,10852738.345140789
03-06-2020,10789815.931569686
04-06-2020,10803790.571608549
05-06-2020,10844958.780163297
06-06-2020,11063901.67194788
07-06-2020,10520035.175102822
08-06-2020,11470856.09288393
09-06-2020,10925782.149658227
10-06-2020,10835666.16757124
11-06-2020,10822825.90712058
12-06-2020,11213842.530075286
13-06-2020,9833105.53996113
14-06-2020,9712509.930059833
15-06-2020,11441132.17663146
16-06-2020,10819916.891357632
17-06-2020,10792534.801074006
18-06-2020,10621783.971259825
19-06-2020,10855268.692877375
20-06-2020,10515541.669423757
21-06-2020,9779925.84931
22-06-2020,11406159.043138081
23-06-2020,10798351.208109014
24-06-2020,10928312.497394811
25-06-2020,10659854.642283889
26-06-2020,10950445.37043753
27-06-2020,10502889.930740833
28-06-2020,9696193.464052122
29-06-2020,11593414.86072771
30-06-2020,11075534.486017894
01-07-2020,11088753.41449492
02-07-2020,11048719.585528374
03-07-2020,11265699.319370473
04-07-2020,11251724.679331612
05-07-2020,10164747.397203332
06-07-2020,11856812.020365467
07-07-2020,11203153.949334845
08-07-2020,11216372.877811871
09-07-2020,11026586.712485656
10-07-2020,11162364.408806462
11-07-2020,10959170.793235486
12-07-2020,10113836.46572861
13-07-2020,11691121.886024453
14-07-2020,10991234.910965914
15-07-2020,11004453.839442937
16-07-2020,10944817.48517026
17-07-2020,11067187.731246304
18-07-2020,11197149.020532103
19-07-2020,10111306.117992027
20-07-2020,11336212.776151331
21-07-2020,10977827.460721154
22-07-2020,11181399.744318493
23-07-2020,11005021.029237041
24-07-2020,11121196.200251713
25-07-2020,11029684.250016341
26-07-2020,10187447.460040154
27-07-2020,11634583.069282461
28-07-2020,11053968.80276928
29-07-2020,11059029.498242447
30-07-2020,11326091.385204993
31-07-2020,11499372.562755756
01-08-2020,11529852.190570068
02-08-2020,11430255.074123282
03-08-2020,11363971.909970425
04-08-2020,11290172.393891148
05-08-2020,11385160.549683569
06-08-2020,11404763.074989703
07-08-2020,11672653.740306523
08-08-2020,11567167.150032291
09-08-2020,10702797.487013385
10-08-2020,12335225.755902838
11-08-2020,11640399.476317467
12-08-2020,11220793.316698497
13-08-2020,11458204.354201008
14-08-2020,11697316.961085828
15-08-2020,11337347.155739535
16-08-2020,10577896.893200755
17-08-2020,
18-08-2020,11526187.46324528
19-08-2020,11479770.037449624
20-08-2020,11293081.409654098
21-08-2020,11545601.466783676
22-08-2020,9574317.34097774
23-08-2020,9962688.161220562
24-08-2020,
25-08-2020,11532382.538306652
26-08-2020,11471990.472472133
27-08-2020,11350187.416190192
28-08-2020,11431956.643505588
29-08-2020,10073162.380175523
30-08-2020,10079051.854002971
31-08-2020,
01-09-2020,11543259.64081483
02-09-2020,11520938.246004375
03-09-2020,11138835.567615364
04-09-2020,11513158.681026883
05-09-2020,10092197.715687554
06-09-2020,10188770.361396093
07-09-2020,
08-09-2020,
09-09-2020,11512780.01300052
10-09-2020,11293269.931421833
11-09-2020,11469648.646503286
12-09-2020,11382630.201946983
13-09-2020,10080374.755358912
