Date,Mobility
15-02-2020,8316461.304903708
16-02-2020,8256530.806827167
17-02-2020,8684572.957861982
18-02-2020,8623227.277185636
19-02-2020,8298873.972593341
20-02-2020,8212046.082711189
21-02-2020,7822021.2020670585
22-02-2020,8231422.2683680365
23-02-2020,8164680.336735887
24-02-2020,8658380.97606302
25-02-2020,8598118.738726504
26-02-2020,8326149.397732131
27-02-2020,8295644.608317199
28-02-2020,8346592.423571967
29-02-2020,7678857.971147349
01-03-2020,8681696.298589164
02-03-2020,8666632.920548288
03-03-2020,8947580.58177793
04-03-2020,8436296.972726936
05-03-2020,8046264.214098972
06-03-2020,8220629.766456433
07-03-2020,7980958.430809979
08-03-2020,9056266.680099722
09-03-2020,9157095.470426269
10-03-2020,8327547.129985915
11-03-2020,7961246.143306651
12-03-2020,8111212.9297981355
13-03-2020,8003568.343329475
14-03-2020,8345857.322648955
15-03-2020,8641146.348755978
16-03-2020,8875085.331600148
17-03-2020,8602053.513009295
18-03-2020,8343711.401712644
19-03-2020,8471799.01402114
20-03-2020,7938610.9024573
21-03-2020,7543929.234366884
22-03-2020,5693564.960270826
23-03-2020,6299218.6310960855
24-03-2020,5598119.333140563
25-03-2020,5446338.364972741
26-03-2020,5643313.829849696
27-03-2020,5636124.362960909
28-03-2020,5675968.902787446
29-03-2020,5833133.88134073
30-03-2020,5861815.763906316
31-03-2020,5817704.710537013
01-04-2020,5642608.419843047
02-04-2020,5602058.470009859
03-04-2020,5832394.417831213
04-04-2020,5846399.680862115
05-04-2020,5780749.917742807
06-04-2020,5578365.114150533
07-04-2020,6171479.36120441
08-04-2020,6004256.98166253
09-04-2020,5971958.976314613
10-04-2020,5831659.316908202
11-04-2020,6028282.076781832
12-04-2020,6083198.719822258
13-04-2020,5871125.823401558
14-04-2020,5715783.751697622
15-04-2020,5711118.239078325
16-04-2020,5368824.897172339
17-04-2020,5451339.979438519
18-04-2020,5382099.421866734
19-04-2020,5640802.963339722
20-04-2020,5471073.232685197
21-04-2020,5524918.6729561305
22-04-2020,5363449.611959886
23-04-2020,5523104.491279795
24-04-2020,5519875.127003653
25-04-2020,5528127.0714889215
26-04-2020,5697856.802143447
27-04-2020,5593785.55978124
28-04-2020,5618562.358980396
29-04-2020,5468574.606745562
30-04-2020,5605997.606879156
01-05-2020,5642587.454099697
02-05-2020,5681701.255589728
03-05-2020,5771414.529917709
04-05-2020,5839210.213973327
05-05-2020,5790076.580394895
06-05-2020,5905599.44060215
07-05-2020,6011077.1403911505
08-05-2020,6276235.047829915
09-05-2020,6179361.9975295095
10-05-2020,5928218.078294657
11-05-2020,6499049.789502506
12-05-2020,6444893.575714949
13-05-2020,6222788.606635514
14-05-2020,6164651.324491957
15-05-2020,6642578.8131850585
16-05-2020,6424433.94671827
17-05-2020,6162514.128728658
18-05-2020,6853912.24609624
19-05-2020,6796526.668032541
20-05-2020,6769251.242893748
21-05-2020,6653707.416943145
22-05-2020,6850330.1768167745
23-05-2020,6570108.891337134
24-05-2020,6193023.280730098
25-05-2020,6835615.1411927175
26-05-2020,6693194.889179851
27-05-2020,6771775.197163241
28-05-2020,6641873.40317841
29-05-2020,6973042.503912818
30-05-2020,6628603.241070518
31-05-2020,6155702.695173051
01-06-2020,7199086.609861549
02-06-2020,6869731.690803478
03-06-2020,6962644.638491238
04-06-2020,6895550.001855765
05-06-2020,7007486.430197047
06-06-2020,6948643.738046842
07-06-2020,6348033.613174059
08-06-2020,7310317.628196184
09-06-2020,7281269.952867756
10-06-2020,7071729.73588956
11-06-2020,7090732.250799733
12-06-2020,7311401.071536013
13-06-2020,6385677.212818069
14-06-2020,6010027.750554188
15-06-2020,7305295.047987056
16-06-2020,7348011.884499904
17-06-2020,6928931.4505435135
18-06-2020,6881922.772158043
19-06-2020,7026866.9784404
20-06-2020,6257967.633842754
21-06-2020,5982395.2578255655
22-06-2020,7380288.924104474
23-06-2020,7374203.8662988655
24-06-2020,7069583.814953249
25-06-2020,7117654.970935199
26-06-2020,7188336.039436646
27-06-2020,6276991.114496277
28-06-2020,6038033.914029485
29-06-2020,7206654.110083518
30-06-2020,7348742.622836408
01-07-2020,7138471.667521708
02-07-2020,7114425.6066590585
03-07-2020,7314630.435812155
04-07-2020,7002489.178317776
05-07-2020,6246868.72100103
06-07-2020,7303879.86538725
07-07-2020,7503374.921947191
08-07-2020,7032993.967732709
09-07-2020,7106173.66217379
10-07-2020,7096485.569345366
11-07-2020,7046621.197430429
12-07-2020,6233594.196306635
13-07-2020,7302086.649454265
14-07-2020,7237511.604501776
15-07-2020,7032993.967732709
16-07-2020,6983108.630074423
17-07-2020,7065271.007337278
18-07-2020,7119448.186868186
19-07-2020,6319338.642848956
20-07-2020,7386394.9476534305
21-07-2020,7537818.848231421
22-07-2020,7066707.155680432
23-07-2020,7148869.532943288
24-07-2020,7173625.3663990935
25-07-2020,7032263.229396203
26-07-2020,6204878.260238182
27-07-2020,7294897.182565477
28-07-2020,7365951.921813595
29-07-2020,7021865.363974623
30-07-2020,7109403.026449931
31-07-2020,7183313.459227518
01-08-2020,7082853.977061139
02-08-2020,7146727.974593483
03-08-2020,6859354.791125247
04-08-2020,7341574.121690972
05-08-2020,6866880.359860518
06-08-2020,6988861.948620055
07-08-2020,6988509.24361673
08-08-2020,7011824.566142875
09-08-2020,6349847.794850395
10-08-2020,7234639.307815466
11-08-2020,7268373.46150654
12-08-2020,6607450.442637529
13-08-2020,6759235.773391856
14-08-2020,6908140.08228686
15-08-2020,6609243.658570516
16-08-2020,6252974.744549989
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,6780405.174981689
12-09-2020,6808390.372713638
13-09-2020,5867271.396694842
14-09-2020,6986716.027683744
15-09-2020,6989235.61936673
16-09-2020,6841393.788068206
17-09-2020,6728726.621390416
18-09-2020,6933954.030752641
19-09-2020,7112636.753312578
20-09-2020,6137779.261016202
21-09-2020,7197671.427261744
22-09-2020,7160724.512451373
23-09-2020,7018257.966365302
24-09-2020,7013945.15874933
25-09-2020,6864662.816521144
26-09-2020,7290206.341616323
27-09-2020,6240733.006535712
28-09-2020,7337215.020001794
29-09-2020,7421187.21635448
30-09-2020,6945809.010260725
01-10-2020,6867254.030607191
02-10-2020,6823113.286321526
03-10-2020,7026203.499920452
04-10-2020,6537525.440802446
05-10-2020,7028723.0916034365
06-10-2020,7180146.992181426
07-10-2020,6988173.141770248
08-10-2020,7188357.005179996
09-10-2020,7216694.907915267
10-10-2020,7356616.533988497
11-10-2020,7094339.648409055
12-10-2020,7520584.220924377
13-10-2020,7578011.7304747775
14-10-2020,7456009.17597189
15-10-2020,7597724.017978106
16-10-2020,7699262.580897809
17-10-2020,7736209.495708181
18-10-2020,7497978.670991388
19-10-2020,7773173.013675396
20-10-2020,7879755.122547576
21-10-2020,7420502.772091179
22-10-2020,7465722.59713017
23-10-2020,7523129.140937218
24-10-2020,7471828.620679128
25-10-2020,7291004.339769385
26-10-2020,7630421.022402556
27-10-2020,7830999.522302327
28-10-2020,7433445.557525601
29-10-2020,7429132.749909628
30-10-2020,7561155.136500916
31-10-2020,7668426.052222903
01-11-2020,7707187.148709609
02-11-2020,7956189.509594655
03-11-2020,8338323.028740675
04-11-2020,7209169.339179997
05-11-2020,7427318.5682332935
06-11-2020,7548237.67939635
07-11-2020,7726920.401956287
08-11-2020,7589497.401822694
09-11-2020,7687096.827873099
10-11-2020,7979525.79786415
11-11-2020,7630773.727405881
12-11-2020,7830978.556558976
13-11-2020,8347637.450822424
14-11-2020,7930320.541882658
15-11-2020,6745247.1135177985
16-11-2020,7347344.043393449
17-11-2020,7828853.601366016
18-11-2020,7421964.248764191
19-11-2020,7601352.381330779
20-11-2020,7606727.666543231
21-11-2020,7762447.771580348
22-11-2020,7413338.6335322475
23-11-2020,7657675.481797998
24-11-2020,7899156.636534281
25-11-2020,7240031.196184762
26-11-2020,7502312.44435071
27-11-2020,7416567.997808389
28-11-2020,7673826.665765209
29-11-2020,7167208.569333511
30-11-2020,7430917.240669603
01-12-2020,7921766.549053776
02-12-2020,8002114.744640295
03-12-2020,8051979.116555233
04-12-2020,8083193.678563321
05-12-2020,8289151.826262049
06-12-2020,7898430.2607842805
07-12-2020,8198027.731920769
08-12-2020,7046280.732997443
09-12-2020,7636149.012618333
10-12-2020,7969816.739292376
11-12-2020,8030431.681632218
12-12-2020,8083878.122826619
13-12-2020,7860357.971147379
14-12-2020,7993111.096075172
15-12-2020,8408605.09816559
16-12-2020,7809762.860895936
17-12-2020,7948248.338626013
18-12-2020,7907698.388792825
19-12-2020,8173561.706238239
20-12-2020,7913804.412341782
21-12-2020,8257890.970180755
22-12-2020,8330381.857772031
23-12-2020,7947185.861029532
24-12-2020,8118322.049110848
25-12-2020,8079556.590037636
26-12-2020,8118322.049110848
27-12-2020,7339029.20167813
28-12-2020,8119405.492450681
29-12-2020,8030427.319045711
30-12-2020,7870751.473982453
31-12-2020,8344009.087469752
