Date,Mobility
15-02-2020,45254517.17559256
16-02-2020,44640469.44172205
17-02-2020,47440821.3836215
18-02-2020,45927483.807980016
19-02-2020,45210179.98293325
20-02-2020,45293882.13836653
21-02-2020,42137365.59924923
22-02-2020,44873396.32678256
23-02-2020,44931628.04804769
24-02-2020,47764741.277044125
25-02-2020,45830230.71256683
26-02-2020,45539415.694867104
27-02-2020,45287278.46268954
28-02-2020,45461973.626484916
29-02-2020,44867393.3310195
01-03-2020,46426098.86519802
02-03-2020,48204781.02437107
03-03-2020,46845640.40824215
04-03-2020,47015363.342152216
05-03-2020,46523695.549237125
06-03-2020,41537296.49059675
07-03-2020,44441248.11229836
08-03-2020,46627895.90895323
09-03-2020,48515493.566439696
10-03-2020,36722932.78480803
11-03-2020,42868047.36960009
12-03-2020,45119530.56319707
13-03-2020,45035484.81913788
14-03-2020,39764273.73856085
15-03-2020,45314723.93127528
16-03-2020,46561772.65484534
17-03-2020,44037997.61341387
18-03-2020,43528150.239259474
19-03-2020,44867136.23973148
20-03-2020,41672713.18895606
21-03-2020,38237728.81156538
22-03-2020,27009132.666669857
23-03-2020,28140405.1249615
24-03-2020,23820455.520369496
25-03-2020,23983574.778602567
26-03-2020,24507316.681362797
27-03-2020,25103184.833993983
28-03-2020,25735755.737729713
29-03-2020,28238258.90028861
30-03-2020,26362410.143040285
31-03-2020,25372814.470159035
01-04-2020,25303006.843331594
02-04-2020,25277536.409163445
03-04-2020,26099040.59392631
04-04-2020,26363698.000206046
05-04-2020,28600856.57923337
06-04-2020,26311125.686078075
07-04-2020,26097065.559508715
08-04-2020,26267132.0820447
09-04-2020,26506662.6427822
10-04-2020,26397490.053180784
11-04-2020,26687617.893628664
12-04-2020,29462412.904022053
13-04-2020,26816344.418973073
14-04-2020,26013363.40407544
15-04-2020,26972172.824277304
16-04-2020,25185856.223549504
17-04-2020,25523327.056952033
18-04-2020,25548110.313868348
19-04-2020,27527215.162292935
20-04-2020,25534902.96251435
21-04-2020,25120677.237981457
22-04-2020,24992637.889888886
23-04-2020,24876174.44735863
24-04-2020,25206698.016458254
25-04-2020,25173593.14073535
26-04-2020,27327049.5643294
27-04-2020,25367155.063021883
28-04-2020,25069392.781019248
29-04-2020,25199750.752155337
30-04-2020,25432334.048589926
01-05-2020,25613976.47668823
02-05-2020,26227680.62193281
03-05-2020,28297434.890093584
04-05-2020,26465579.73687863
05-05-2020,26116532.99791379
06-05-2020,26570467.273846574
07-05-2020,27250037.58191104
08-05-2020,27664263.30644393
09-05-2020,27449859.591248646
10-05-2020,29552031.557880487
11-05-2020,28516210.155260254
12-05-2020,27668891.947703324
13-05-2020,28174110.680598326
14-05-2020,28846733.72435987
15-05-2020,29817462.638749972
16-05-2020,30496345.7695626
17-05-2020,32482397.882290106
18-05-2020,31898535.721185055
19-05-2020,31458839.562484022
20-05-2020,31356270.648559604
21-05-2020,32585396.88217836
22-05-2020,32359417.261420764
23-05-2020,33025093.04087939
24-05-2020,31854112.031187847
25-05-2020,32260876.30884181
26-05-2020,32325368.117158018
27-05-2020,32636681.339140568
28-05-2020,33174317.77050663
29-05-2020,33109138.78493859
30-05-2020,34726333.131670244
31-05-2020,32733847.937215842
01-06-2020,35837708.06559299
02-06-2020,34659866.28893644
03-06-2020,34596662.337786
04-06-2020,34894424.61978864
05-06-2020,35288839.31729052
06-06-2020,36589061.0349025
07-06-2020,33775071.655685216
08-06-2020,37227978.52302721
09-06-2020,35274601.20005878
