Date,Mobility
15-02-2020,9508917.332177855
16-02-2020,9454928.992435852
17-02-2020,9704768.061786544
18-02-2020,9660853.664148763
19-02-2020,9332413.755070142
20-02-2020,9402967.211574312
21-02-2020,9031698.76310907
22-02-2020,9316907.172597324
23-02-2020,9440693.491985153
24-02-2020,9694436.31710044
25-02-2020,9412285.676820187
26-02-2020,9338904.92972809
27-02-2020,9306335.556216646
28-02-2020,9613293.313328275
29-02-2020,8978135.5188326
01-03-2020,9529323.018968184
02-03-2020,9920011.198745329
03-03-2020,9832698.00863354
04-03-2020,9676857.920898039
05-03-2020,9831879.34603876
06-03-2020,9384054.547613366
07-03-2020,9788960.296953898
08-03-2020,11407302.819219418
09-03-2020,12507375.527140927
10-03-2020,11565332.55434455
11-03-2020,9052592.73110136
12-03-2020,8959561.77407728
13-03-2020,9117668.292387817
14-03-2020,8699069.971722163
15-03-2020,9614048.79018662
16-03-2020,9629858.430090442
17-03-2020,9426005.572107114
18-03-2020,9277909.810164368
19-03-2020,9396521.291765487
20-03-2020,8794172.742475826
21-03-2020,7971921.823604446
22-03-2020,6348386.532664901
23-03-2020,6641475.032493269
24-03-2020,5908654.372312381
25-03-2020,5881499.708282221
26-03-2020,5929815.535961054
27-03-2020,6084836.961101776
28-03-2020,6174239.895830465
29-03-2020,6541649.843380235
30-03-2020,6213798.118276315
31-03-2020,6124413.114434939
01-04-2020,6102175.485609602
02-04-2020,5993380.14353082
03-04-2020,6260282.003920138
04-04-2020,6215566.874574891
05-04-2020,6658944.988110117
06-04-2020,6282519.6327454755
07-04-2020,6453608.500371904
08-04-2020,6333165.076735778
09-04-2020,6302925.319535803
10-04-2020,6493343.408775897
11-04-2020,6446298.663119181
12-04-2020,6881932.450861653
13-04-2020,6536502.329555333
14-04-2020,6410707.382174355
15-04-2020,6447375.1282958435
16-04-2020,6031879.831687317
17-04-2020,6148917.173835313
18-04-2020,6129524.766485217
19-04-2020,6593308.566810769
20-04-2020,6202150.03671897
21-04-2020,6172986.744695659
22-04-2020,6049458.227889717
23-04-2020,6095186.636675196
24-04-2020,6235217.084506873
25-04-2020,6192831.571473095
26-04-2020,6674193.768001047
27-04-2020,6264959.167430388
28-04-2020,6271948.016364795
29-04-2020,6232389.793918945
30-04-2020,6219728.432921369
01-05-2020,6283532.912185707
