Date,Mobility
15-02-2020,1371390.978706366
16-02-2020,1514156.7814011776
17-02-2020,1370922.7440458834
18-02-2020,1351531.2191386477
19-02-2020,1330125.7586063684
20-02-2020,1401391.7037374454
21-02-2020,1343076.5418277928
22-02-2020,1344317.8318681396
23-02-2020,1423967.9558185148
24-02-2020,1328369.381757473
25-02-2020,1375934.3465601688
26-02-2020,1322209.8144475527
27-02-2020,1433406.3643935686
28-02-2020,1405935.0715912485
29-02-2020,1326121.1239046047
01-03-2020,1447972.9372759426
02-03-2020,1392000.5571056255
03-03-2020,1397855.3036961642
04-03-2020,1382843.322906463
05-03-2020,1415864.9513751077
06-03-2020,1416005.5385630534
07-03-2020,1353662.5054033136
08-03-2020,1453898.182358038
09-03-2020,1542635.0420160196
10-03-2020,1381789.0931507074
11-03-2020,1368370.0752688008
12-03-2020,1428558.5856155516
13-03-2020,1349517.2835136042
14-03-2020,1380548.2129055285
15-03-2020,1450432.2808083135
16-03-2020,1425724.7424625778
17-03-2020,1434436.5687544132
18-03-2020,1473008.532889383
19-03-2020,1542119.9552074706
20-03-2020,1517037.5074459647
21-03-2020,1418675.1789283382
22-03-2020,
23-03-2020,1535866.683601418
24-03-2020,1469728.933521409
25-03-2020,1468276.998340475
26-03-2020,1513453.5278975246
27-03-2020,1459190.2626328692
28-03-2020,
29-03-2020,1263707.2746893829
30-03-2020,1497434.5792953013
31-03-2020,1469728.9642651563
01-04-2020,1472656.5424580097
02-04-2020,1522376.439868862
03-04-2020,1480572.4866168255
04-04-2020,1352724.9296718354
05-04-2020,
06-04-2020,1488347.8435876956
07-04-2020,1509120.835928056
08-04-2020,1506263.7562267596
09-04-2020,1587693.9033695208
10-04-2020,1585023.8839528156
11-04-2020,1417058.6619082955
12-04-2020,1328720.3272658277
13-04-2020,1543899.251040764
14-04-2020,1533078.9652374177
15-04-2020,1464155.3920505086
16-04-2020,1490877.2758164553
17-04-2020,1444693.778446884
18-04-2020,1351554.138123045
19-04-2020,1265604.6485213914
20-04-2020,1446216.242863122
21-04-2020,1441063.643365723
22-04-2020,1424201.550687247
23-04-2020,1488465.1942273183
24-04-2020,1454061.688530381
25-04-2020,1364317.8610598778
26-04-2020,1247899.411766662
27-04-2020,1472703.8044012433
28-04-2020,1441602.3765177624
29-04-2020,1421742.616950044
30-04-2020,1476685.202554684
01-05-2020,1490338.5426644161
02-05-2020,1361765.1922827952
03-05-2020,1253122.0999604499
04-05-2020,1452165.1035449603
05-05-2020,1463008.2161014616
06-05-2020,1457996.6135871762
07-05-2020,1511018.5888114849
08-05-2020,1443827.776873728
09-05-2020,1370243.4851933934
10-05-2020,1269539.5735781866
11-05-2020,1508255.2441500677
12-05-2020,1435021.836490593
13-05-2020,1460291.7235881109
14-05-2020,1532096.401871227
15-05-2020,1459823.4889276281
16-05-2020,1339891.876141454
17-05-2020,1263286.6810235542
18-05-2020,1465210.0008576843
19-05-2020,1460900.5454365388
20-05-2020,1457879.6419989734
21-05-2020,1518068.1523457244
22-05-2020,1479121.2787949843
23-05-2020,1357737.7000841286
24-05-2020,1266588.7588370105
25-05-2020,1569918.547174655
26-05-2020,1483734.7353451762
27-05-2020,1490339.3007672564
28-05-2020,1531979.4302830242
29-05-2020,1498957.8018143796
30-05-2020,1339002.2589685547
31-05-2020,1271952.0342187437
01-06-2020,1530738.1402426776
02-06-2020,1543970.0978399932
03-06-2020,1507412.0693300671
04-06-2020,1564204.766823482
05-06-2020,1479168.1309430504
06-06-2020,1373780.2642860948
07-06-2020,1285183.991816059
08-06-2020,1536569.6502848936
09-06-2020,1471252.1867842346
10-06-2020,1505702.5446292376
11-06-2020,1589591.6255092018
12-06-2020,1485397.7869493598
13-06-2020,1376473.520251123
14-06-2020,1257783.1975052955
15-06-2020,1500948.5008911001
16-06-2020,1475092.9977497298
17-06-2020,1461462.894188321
18-06-2020,1486639.0769897064
19-06-2020,1452774.3044448087
20-06-2020,1341461.192705758
21-06-2020,1262279.7132110326
22-06-2020,1524040.2495758855
23-06-2020,1411251.1465172428
24-06-2020,1421860.3466410867
25-06-2020,1488278.512994147
26-06-2020,1460807.2201918268
27-06-2020,1340430.609293493
28-06-2020,1271905.1820706776
29-06-2020,1460502.8092676126
30-06-2020,1499824.1824389559
01-07-2020,1440549.3146600148
02-07-2020,1496428.3695856202
03-07-2020,1548045.2310333133
04-07-2020,1399026.5357838692
05-07-2020,1291202.971938034
06-07-2020,1540504.1962902683
07-07-2020,1548513.4656937963
08-07-2020,1492634.4107681906
09-07-2020,1569989.424717632
10-07-2020,1540504.1962902683
11-07-2020,1407668.2733793156
12-07-2020,1292209.9397505554
13-07-2020,1530738.1402426776
14-07-2020,1495350.9032815418
15-07-2020,1553431.7429633695
16-07-2020,1599310.8294087267
17-07-2020,1550972.8092261667
18-07-2020,1421111.3166561332
19-07-2020,1310360.1746174446
20-07-2020,1543291.1872951759
21-07-2020,1535890.3299449086
22-07-2020,1550340.3410342478
23-07-2020,1583057.5585786784
24-07-2020,1551417.807338326
25-07-2020,1423500.1616969472
26-07-2020,1346379.4699753313
27-07-2020,1577366.635724408
28-07-2020,1532892.6630556667
29-07-2020,1574134.6466073412
30-07-2020,1663550.8266053072
31-07-2020,1578514.1907248755
01-08-2020,1454390.0941057585
02-08-2020,1322608.4009505613
03-08-2020,1594673.726515044
04-08-2020,1547810.9088054884
05-08-2020,1487997.3078745082
06-08-2020,1587437.1026962132
07-08-2020,1492236.2648040974
08-08-2020,1372538.9742457482
09-08-2020,1252419.922123562
10-08-2020,1515328.0134888827
11-08-2020,1552518.1003955596
12-08-2020,1513782.312524322
13-08-2020,1520550.70168267
14-08-2020,1479472.5418672645
15-08-2020,1369892.191377366
16-08-2020,1231998.1928554818
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,1457902.8478035491
12-09-2020,1392866.5586787814
13-09-2020,1294808.641085369
14-09-2020,1484460.4980380596
15-09-2020,1521861.670624239
16-09-2020,1471532.9513649582
17-09-2020,1538185.4399458433
18-09-2020,1473851.707709383
19-09-2020,1413874.2830421347
20-09-2020,1384248.4674268258
21-09-2020,1508020.8911784953
22-09-2020,1560059.1351386046
23-09-2020,1535187.773056601
24-09-2020,1570832.5687938852
25-09-2020,1560668.3667822005
26-09-2020,1434905.2439538105
27-09-2020,1359798.4878572382
28-09-2020,1512189.759411695
29-09-2020,1518747.0628905413
30-09-2020,1500854.356056053
01-10-2020,1540409.6416600537
02-10-2020,1602424.2385006684
03-10-2020,1393264.2948477075
04-10-2020,1370640.7808234044
05-10-2020,1490385.3333249872
06-10-2020,1524015.7836420601
07-10-2020,1531463.4931403932
08-10-2020,1589029.2460136723
09-10-2020,1525234.2469292516
10-10-2020,1477434.9598987305
11-10-2020,1462422.9791090293
12-10-2020,1604579.9599554127
13-10-2020,1592425.0588670082
14-10-2020,1569473.8973701682
15-10-2020,1633737.5409102393
16-10-2020,1582026.9444226664
17-10-2020,1475116.6133494729
18-10-2020,1443874.5982780468
19-10-2020,1590270.5360540191
20-10-2020,1614275.517511447
21-10-2020,1560855.3963230448
22-10-2020,1620270.8512899312
23-10-2020,1572705.476692068
24-10-2020,1445326.564202728
25-10-2020,1303919.4021878857
26-10-2020,1606921.1332578254
27-10-2020,1566944.055346241
28-10-2020,1522446.8461291762
29-10-2020,1620809.174646803
30-10-2020,1649029.4974340764
31-10-2020,1430782.8180735093
01-11-2020,1426239.4502197064
02-11-2020,1588420.0143700766
03-11-2020,1565632.2668143373
04-11-2020,1564555.210305427
05-11-2020,1639193.7317415169
06-11-2020,1569169.0766507864
07-11-2020,1444085.2741623812
08-11-2020,1450853.6633207297
09-11-2020,1641278.1658581167
10-11-2020,1618115.9186817748
11-11-2020,1612565.58301545
12-11-2020,1738305.4692955173
13-11-2020,1800601.240512023
14-11-2020,1461203.34792383
15-11-2020,1446005.095696125
16-11-2020,1535725.686618305
17-11-2020,1506943.0150792492
18-11-2020,1549777.551743551
19-11-2020,1615961.395868786
20-11-2020,1560011.8424516239
21-11-2020,1426684.448331866
22-11-2020,1417784.7729088515
23-11-2020,1581089.6555113662
24-11-2020,1479026.7241647698
25-11-2020,
26-11-2020,1634345.5739120794
27-11-2020,1540152.0828839059
28-11-2020,1458254.1108758294
29-11-2020,1324973.1898527173
30-11-2020,1593806.526300133
01-12-2020,1614954.4280562638
02-12-2020,1415443.2205550182
03-12-2020,1568982.0471099424
04-12-2020,1465092.240422894
05-12-2020,1413218.1992504727
06-12-2020,1407269.7176200545
07-12-2020,1610200.3843181264
08-12-2020,1506216.8425911984
09-12-2020,1637859.1164564579
10-12-2020,1728375.9993068257
11-12-2020,1697204.4827269558
12-12-2020,1521955.7847155384
13-12-2020,1493173.1131764827
14-12-2020,1666735.5230353936
15-12-2020,1648889.6990927188
16-12-2020,1600013.3555532866
17-12-2020,1656993.1133312932
18-12-2020,1563947.2080473339
19-12-2020,1494391.1666685066
20-12-2020,1507810.1845504132
21-12-2020,1682590.647901348
22-12-2020,1677672.3706317744
23-12-2020,1686267.6351305747
24-12-2020,1788634.5983499652
25-12-2020,1876434.1998403936
26-12-2020,1599779.0333254617
27-12-2020,1563057.1810792673
28-12-2020,1708516.2397391074
29-12-2020,1581347.6240826815
30-12-2020,1642566.7178416974
31-12-2020,1815005.188299884
