Date,Mobility
15-02-2020,40295006.454655364
16-02-2020,40157091.96393572
17-02-2020,40163641.11927264
18-02-2020,40796343.17105764
19-02-2020,41245788.66884052
20-02-2020,41367146.575871
21-02-2020,38147718.61588103
22-02-2020,40720327.32730963
23-02-2020,39804228.25264587
24-02-2020,40288457.29931844
25-02-2020,40665996.72177745
26-02-2020,40807369.4855124
27-02-2020,41519545.65406073
28-02-2020,41519545.65406073
29-02-2020,42477712.21433848
01-03-2020,43473836.491806105
02-03-2020,43131999.09497103
03-03-2020,42740626.58045078
04-03-2020,42830108.12556635
05-03-2020,42100356.48722633
06-03-2020,40522769.88118428
07-03-2020,41855017.590905726
08-03-2020,42533061.70597319
09-03-2020,39517924.04279235
10-03-2020,30598581.16214875
11-03-2020,39922311.58200789
12-03-2020,40845143.50735542
13-03-2020,40488637.82770342
14-03-2020,40388313.66347994
15-03-2020,39412387.938063644
16-03-2020,39081209.46498963
17-03-2020,39914559.845221594
18-03-2020,39741310.7195717
19-03-2020,39921292.69590537
20-03-2020,38917967.76769199
21-03-2020,34179026.18492259
22-03-2020,24220188.550379705
23-03-2020,27043164.403287277
24-03-2020,24303488.330852043
25-03-2020,23877699.658135794
26-03-2020,24347995.20337883
27-03-2020,24635034.19461974
28-03-2020,24116122.008425776
29-03-2020,24859623.45284848
30-03-2020,24095271.960965622
31-03-2020,24552101.804841105
01-04-2020,24323686.88290336
02-04-2020,24171471.500060484
03-04-2020,24769674.107670926
04-04-2020,24994630.75659336
05-04-2020,25423510.311631218
06-04-2020,24434202.17082593
07-04-2020,24866723.694225952
08-04-2020,24977238.982148513
09-04-2020,24859339.348133344
10-04-2020,24917963.417436514
11-04-2020,25070178.800279394
12-04-2020,25806947.394018315
13-04-2020,25232585.306821357
14-04-2020,25060171.371927153
15-04-2020,25872671.704698958
16-04-2020,24651590.778308906
17-04-2020,24789688.964375407
18-04-2020,24661598.206661142
19-04-2020,25215110.246397953
20-04-2020,24972945.518377524
21-04-2020,25038953.9337733
22-04-2020,24921054.29975813
23-04-2020,24671789.33036023
24-04-2020,24699372.228504162
25-04-2020,24464224.455882646
26-04-2020,25273734.315701123
27-04-2020,24927787.150441904
28-04-2020,25000528.416521452
29-04-2020,25287567.40776237
30-04-2020,25391349.845001165
01-05-2020,25104310.853760246
02-05-2020,25550298.07852782
03-05-2020,25972444.7828819
04-05-2020,25934386.656323746
05-05-2020,26052286.290338922
06-05-2020,26352790.982947383
07-05-2020,26474148.88997787
08-05-2020,26477423.46764633
09-05-2020,26169534.428945266
10-05-2020,26574105.663507655
11-05-2020,26280049.716867834
12-05-2020,26736879.560743313
13-05-2020,27279916.372065898
14-05-2020,28054826.378341537
15-05-2020,28826278.111601867
16-05-2020,29116591.680511247
17-05-2020,30015766.780792136
18-05-2020,29863918.78864295
19-05-2020,30479696.866045084
20-05-2020,31319963.79230767
21-05-2020,31188598.45692495
22-05-2020,30953450.684303433
23-05-2020,31053774.84852691
24-05-2020,31855900.362252783
25-05-2020,29777895.516542695
26-05-2020,32005208.558120895
27-05-2020,32945799.64860696
28-05-2020,33229564.06217941
29-05-2020,33485561.882261083
30-05-2020,33339895.65475513
31-05-2020,33917716.01496741
01-06-2020,34530770.600741625
02-06-2020,34603511.86682118
03-06-2020,34821084.169651
04-06-2020,34994333.29530087
05-06-2020,34963292.12414163
06-06-2020,35077081.98973267
07-06-2020,34921040.943180785
08-06-2020,35039491.66323651
09-06-2020,34800885.61759968
10-06-2020,35613569.64571833
11-06-2020,35454621.412191674
12-06-2020,35118965.77999983
13-06-2020,34575928.968677245
14-06-2020,35429945.70102251
15-06-2020,35029484.23488426
16-06-2020,35181699.617727146
17-06-2020,35534095.528955005
18-06-2020,35240323.68703031
19-06-2020,35164124.14793546
20-06-2020,35634419.69317848
21-06-2020,34094607.10897944
22-06-2020,35752503.02254051
23-06-2020,35666296.0550934
24-06-2020,35503054.35779576
25-06-2020,36326581.00502233
26-06-2020,35749044.7495252
27-06-2020,35413572.8126802
28-06-2020,35150474.75122105
29-06-2020,35372524.21316872
30-06-2020,35400107.11131265
01-07-2020,36323122.73200702
02-07-2020,36433638.01992959
03-07-2020,35810943.39649683
04-07-2020,35866109.19278469
05-07-2020,35859192.64675406
06-07-2020,35368230.749397725
07-07-2020,36005042.56960687
08-07-2020,35475287.76430498
09-07-2020,36195031.97429276
10-07-2020,35890417.513260156
11-07-2020,35575795.62387531
12-07-2020,35893508.39558177
13-07-2020,35804210.545813054
14-07-2020,35572337.35086001
15-07-2020,36751534.4869829
16-07-2020,36568277.932980776
17-07-2020,36256930.6212644
18-07-2020,36291246.3700921
19-07-2020,36446736.330603436
20-07-2020,35707344.65460488
21-07-2020,36412604.27712259
22-07-2020,36678793.22090334
23-07-2020,36229347.723120466
24-07-2020,33838609.288897775
25-07-2020,36156606.45704091
26-07-2020,35350471.58425918
27-07-2020,36201764.82497653
28-07-2020,36305547.26221533
29-07-2020,36391754.229662426
30-07-2020,36260388.89427971
31-07-2020,36655320.09118356
01-08-2020,33711537.417286046
02-08-2020,37371606.02815602
03-08-2020,30621503.205828
04-08-2020,35175801.95779905
05-08-2020,35071000.63445773
06-08-2020,35254257.18845984
07-08-2020,34970492.7748874
08-08-2020,34863435.75998014
09-08-2020,35043050.3456201
10-08-2020,34835852.8618362
11-08-2020,35195633.11915667
12-08-2020,34531605.7914973
13-08-2020,35178057.649364986
14-08-2020,34790510.79855374
15-08-2020,33047794.1943418
16-08-2020,33510805.802860517
17-08-2020,35195633.11915667
18-08-2020,35192174.84614137
19-08-2020,35330456.72755471
20-08-2020,35372156.82247502
21-08-2020,35326998.454539396
22-08-2020,34967218.19721893
23-08-2020,34807902.57299858
24-08-2020,34299365.20585056
25-08-2020,34649138.034818776
26-08-2020,35797293.99978243
27-08-2020,35614037.445780315
28-08-2020,34047660.84953987
29-08-2020,34555363.02593222
30-08-2020,33002084.740365636
31-08-2020,35085301.52658095
01-09-2020,34718788.41857672
02-09-2020,35586454.54763638
03-09-2020,34721227.8054895
04-09-2020,35541296.179700755
05-09-2020,35596461.97598862
06-09-2020,34869984.915317066
07-09-2020,35223399.71264746
08-09-2020,35271832.65825153
09-09-2020,35880226.38956107
10-09-2020,35330456.72755471
11-09-2020,35171508.49402806
12-09-2020,34759837.0180882
13-09-2020,35039959.46329849
14-09-2020,35354765.048030175
15-09-2020,35589912.820651695
16-09-2020,36741527.05863066
17-09-2020,35368414.44474458
18-09-2020,36357438.48083472
19-09-2020,36177456.50450107
20-09-2020,36235896.8784574
21-09-2020,36094707.81006928
22-09-2020,35893875.78627546
23-09-2020,36695717.19528621
24-09-2020,36363519.83610967
25-09-2020,36650558.82735059
26-09-2020,36259737.39887088
27-09-2020,35664625.67358205
28-09-2020,35990273.877421655
29-09-2020,35775976.152260296
30-09-2020,36073857.76260912
01-10-2020,35220125.13497899
02-10-2020,34594707.01991831
03-10-2020,35479581.22807597
04-10-2020,35631796.61091885
05-10-2020,35573356.23696253
06-10-2020,35497156.69786766
07-10-2020,36575845.974420235
08-10-2020,36668785.79255111
09-10-2020,36727409.86185428
10-10-2020,36550886.15853593
11-10-2020,37045306.32890758
12-10-2020,36879808.940044
13-10-2020,36693094.113026574
14-10-2020,38138480.19293022
15-10-2020,38034697.75569143
16-10-2020,38422428.301849514
17-10-2020,37235663.12428717
18-10-2020,37778516.24026291
19-10-2020,37353562.758302346
20-10-2020,37401995.70390643
21-10-2020,37844708.35100553
22-10-2020,37433688.3704745
23-10-2020,37430413.79280604
24-10-2020,36361915.63995256
25-10-2020,36562380.273052685
26-10-2020,36953385.39687923
27-10-2020,37067175.26247027
28-10-2020,37727460.21239919
29-10-2020,37239589.197364464
30-10-2020,36458313.73109875
31-10-2020,36831192.29909307
01-11-2020,37896415.874278076
02-11-2020,37340097.056934796
03-11-2020,38042265.79713089
04-11-2020,38048998.647814654
05-11-2020,37596094.87701647
06-11-2020,37879859.29058892
07-11-2020,37755226.80588997
08-11-2020,38875616.177362844
09-11-2020,37177874.245739676
10-11-2020,37855734.6654603
11-11-2020,39000616.05275549
12-11-2020,39021649.7955625
13-11-2020,39817777.23999199
14-11-2020,36915878.35636163
