Date,Mobility
15-02-2020,27660267.956039526
16-02-2020,27003679.470878877
17-02-2020,27722569.462810025
18-02-2020,27773438.987147827
19-02-2020,27888489.108466953
20-02-2020,27355459.46768526
21-02-2020,25497499.234829966
22-02-2020,26705056.746293668
23-02-2020,26604257.242723484
24-02-2020,27122505.378323365
25-02-2020,27386405.89223424
26-02-2020,27494330.704678897
27-02-2020,26810571.581094626
28-02-2020,27815286.506696634
29-02-2020,27432968.74301381
01-03-2020,27154391.347977757
02-03-2020,27464854.712668203
03-03-2020,27500516.468447953
04-03-2020,27959812.62002645
05-03-2020,27571839.980007447
06-03-2020,28392060.362941656
07-03-2020,28252249.580842603
08-03-2020,28810039.882404223
09-03-2020,25588850.470234916
10-03-2020,19424413.529442843
11-03-2020,24110040.282168902
12-03-2020,26231492.371262535
13-03-2020,27466325.145206496
14-03-2020,26642328.976146933
15-03-2020,26494435.734364294
16-03-2020,26784975.999265924
17-03-2020,27109707.58740901
18-03-2020,26777833.084687747
19-03-2020,27015093.84760788
20-03-2020,27211020.37270837
21-03-2020,25670013.301928487
22-03-2020,18109608.685415525
23-03-2020,18963611.733918656
24-03-2020,17689854.699798763
25-03-2020,17728865.978327624
26-03-2020,18005564.283152856
27-03-2020,18041226.038932607
28-03-2020,17639924.720566377
29-03-2020,18699180.332574908
30-03-2020,17774489.284001783
31-03-2020,17991296.059700213
01-04-2020,18054537.111576125
02-04-2020,17568601.20900688
03-04-2020,18672645.205640785
04-04-2020,18167194.860955253
05-04-2020,19604461.563088376
06-04-2020,18044575.561681714
07-04-2020,19079192.742670655
08-04-2020,19077296.046756126
09-04-2020,18996950.53040763
10-04-2020,19216167.283749763
11-04-2020,18930873.237511776
12-04-2020,20270176.677094653
13-04-2020,19003136.294176687
14-04-2020,18817702.20640348
15-04-2020,19777202.484003864
16-04-2020,19214696.851211477
17-04-2020,19428667.385889962
18-04-2020,19113897.34764129
19-04-2020,20235454.466420315
20-04-2020,19322621.663656134
21-04-2020,19575090.195134312
22-04-2020,19709654.75856972
23-04-2020,19769546.28769652
24-04-2020,20182279.588495445
25-04-2020,20039632.565376453
26-04-2020,20965263.15905499
