Date,Mobility
15-02-2020,17951205.997709394
16-02-2020,17872597.00072622
17-02-2020,17789798.444679692
18-02-2020,17879763.4074383
19-02-2020,18333611.586989656
20-02-2020,17658765.371187735
21-02-2020,16653109.114729505
22-02-2020,17300283.961321093
23-02-2020,17515107.873409152
24-02-2020,17890347.055977333
25-02-2020,18271650.38005143
26-02-2020,18636802.055355366
27-02-2020,18313710.77333436
28-02-2020,18468944.202201553
29-02-2020,18237858.658686746
01-03-2020,17974247.877230022
02-03-2020,18361339.16684842
03-03-2020,18094587.319526363
04-03-2020,18851845.932756606
05-03-2020,18308528.931721434
06-03-2020,18391933.61169933
07-03-2020,18499814.823014077
08-03-2020,18635257.420882564
09-03-2020,17558544.732771445
10-03-2020,13858078.867235225
11-03-2020,18246677.707439795
12-03-2020,17973751.735955235
13-03-2020,17980422.00139253
14-03-2020,17896245.004178222
15-03-2020,18069118.50563994
16-03-2020,17889684.72139752
17-03-2020,17848616.610664163
18-03-2020,18462990.043352224
19-03-2020,18229257.60015845
20-03-2020,18395570.81883946
21-03-2020,18127440.530349623
22-03-2020,13383999.462506948
23-03-2020,14468648.899478132
24-03-2020,13149108.54345857
25-03-2020,12963224.45909203
26-03-2020,13142548.260677865
27-03-2020,13195688.443774616
28-03-2020,13297781.689545058
29-03-2020,13848927.43187212
30-03-2020,13363546.29692843
31-03-2020,13232513.22343647
01-04-2020,13358530.648620527
02-04-2020,13052969.456537459
03-04-2020,13608634.705897639
04-04-2020,13561778.62961998
05-04-2020,14047159.764563669
06-04-2020,13297781.689545058
07-04-2020,13501415.829162708
08-04-2020,13715853.582632568
09-04-2020,13559847.836528976
10-04-2020,13535647.481153745
11-04-2020,13780349.731504755
12-04-2020,14504755.133911736
13-04-2020,13995173.643592816
14-04-2020,13953223.232966471
15-04-2020,14497698.709856244
16-04-2020,13603066.70566651
17-04-2020,13686857.544262612
18-04-2020,13818662.934990974
19-04-2020,14148424.48244927
20-04-2020,14062979.02672378
21-04-2020,14009948.826283617
22-04-2020,14481327.095772905
23-04-2020,14248090.793853916
24-04-2020,14409112.188265415
25-04-2020,14265840.849105034
26-04-2020,14566496.375536785
27-04-2020,14313855.401237292
28-04-2020,14332267.79106822
29-04-2020,14893611.023316117
30-04-2020,14523167.52374266
01-05-2020,14517103.382236745
02-05-2020,14702711.290641673
03-05-2020,14841959.26404373
04-05-2020,15275410.488665001
05-05-2020,15323811.199415462
06-05-2020,16271969.545320146
07-05-2020,16056759.474613883
08-05-2020,16003453.098212106
09-05-2020,15759137.0064793
10-05-2020,16548810.874994867
11-05-2020,15783337.36185453
12-05-2020,15878207.990264451
13-05-2020,16708067.669620387
