Date,Mobility
15-02-2020,37077538.7241986
16-02-2020,36300704.24121113
17-02-2020,37325612.30391429
18-02-2020,37526778.518906936
19-02-2020,38453716.59204527
20-02-2020,37791694.45841494
21-02-2020,36407963.05029853
22-02-2020,36703036.67119642
23-02-2020,35934198.59748442
24-02-2020,37372519.66863734
25-02-2020,36615297.71885467
26-02-2020,37785083.13584573
27-02-2020,37790309.3717087
28-02-2020,37896275.770549
29-02-2020,37624748.50847177
01-03-2020,36905587.97289531
02-03-2020,37671655.87319483
03-03-2020,37606521.06197323
04-03-2020,39162646.09039865
05-03-2020,38041153.12483689
06-03-2020,38412035.4631852
07-03-2020,38663728.75755476
08-03-2020,38131126.70512626
09-03-2020,36180572.97953186
10-03-2020,28855078.171484653
11-03-2020,37885509.18786105
12-03-2020,37765470.60264093
13-03-2020,38402653.96720348
14-03-2020,38238164.0797108
15-03-2020,37238630.331540264
16-03-2020,29062855.709046513
17-03-2020,37577527.03278672
18-03-2020,38156186.90869688
19-03-2020,37567295.99556363
20-03-2020,34953335.164818145
21-03-2020,26146453.070051674
22-03-2020,24075325.32895778
23-03-2020,24456124.59356717
24-03-2020,23748801.616422895
25-03-2020,23762024.26156133
26-03-2020,23785477.943922862
27-03-2020,24051778.970137108
28-03-2020,23858609.164419923
29-03-2020,24649608.510246363
30-03-2020,23996875.196138598
31-03-2020,24353149.802642215
01-04-2020,24208272.44835433
02-04-2020,23972036.427070826
03-04-2020,23582077.100982584
04-04-2020,23570239.542550396
05-04-2020,24426373.69959843
06-04-2020,23767250.49742431
07-04-2020,24914431.773295216
08-04-2020,25267086.66514497
09-04-2020,25272312.90100794
10-04-2020,25466867.793431368
11-04-2020,25345444.121505003
12-04-2020,26257867.139257804
13-04-2020,25733168.819645613
14-04-2020,25532002.60465297
15-04-2020,26380583.221431267
16-04-2020,25733168.819645613
17-04-2020,25679650.13235335
18-04-2020,25704488.90142112
19-04-2020,26374064.575321194
20-04-2020,25987632.28742768
21-04-2020,25932728.513429165
22-04-2020,26067374.83049396
