Date,Mobility
15-02-2020,16318667.134336062
16-02-2020,16198912.692507507
17-02-2020,16243927.795990014
18-02-2020,16378883.93463989
19-02-2020,16763501.388410063
20-02-2020,16269909.17064836
21-02-2020,15551347.248626318
22-02-2020,15547587.747066576
23-02-2020,16222995.686689805
24-02-2020,16372509.634432625
25-02-2020,16165285.883539677
26-02-2020,16847695.369744007
27-02-2020,16368731.503176704
28-02-2020,16148883.59471759
29-02-2020,16257249.74203147
01-03-2020,16292721.03072844
02-03-2020,16239487.147309527
03-03-2020,16327583.70274776
04-03-2020,16885798.098443046
05-03-2020,16356107.34561054
06-03-2020,16415017.740761427
07-03-2020,16686793.127486505
08-03-2020,16825527.397392306
09-03-2020,15976485.256451597
10-03-2020,12698336.444623632
11-03-2020,16480213.264321938
12-03-2020,16381390.931793597
13-03-2020,16283839.73336747
14-03-2020,16237588.766833475
15-03-2020,16347226.048249569
16-03-2020,16142579.836611783
17-03-2020,16296534.43303509
18-03-2020,16634900.920271268
19-03-2020,16216083.311906343
20-03-2020,16027266.043463716
21-03-2020,15455156.356100045
22-03-2020,11644306.990760403
23-03-2020,12316474.873703903
24-03-2020,11594223.992223578
25-03-2020,11478945.470126238
26-03-2020,11701927.622112889
27-03-2020,11645559.495166436
28-03-2020,11749449.7227491
29-03-2020,12186657.172209801
30-03-2020,11850205.706804223
31-03-2020,11892016.024657734
01-04-2020,12067511.347058902
02-04-2020,11637305.444179302
03-04-2020,11955367.068489103
04-04-2020,11955367.068489103
05-04-2020,12590881.700431056
06-04-2020,11959180.470795752
07-04-2020,12085882.558458498
08-04-2020,12277242.095105555
09-04-2020,12173316.596472166
10-04-2020,12302560.952339342
11-04-2020,12262649.014961883
12-04-2020,12902604.295584321
13-04-2020,12455279.68571116
14-04-2020,12526849.509478938
15-04-2020,12947565.498319916
16-04-2020,12792948.384472046
17-04-2020,12818929.759130392
18-04-2020,12879773.805808058
19-04-2020,13089523.183550894
20-04-2020,12810710.979193985
21-04-2020,13136991.383440195
22-04-2020,13370161.237940762
23-04-2020,13213037.126939187
24-04-2020,13313757.83994358
25-04-2020,13024847.104870396
26-04-2020,13674954.816956019
27-04-2020,13322639.137304552
28-04-2020,13424630.984411163
29-04-2020,13804807.78950085
30-04-2020,13541215.911661448
01-05-2020,13617226.38410971
02-05-2020,13767402.849277096
03-05-2020,14270503.6107736
04-05-2020,14536548.585019799
05-05-2020,14776666.085354557
06-05-2020,15286087.246311419
07-05-2020,15176449.964895325
08-05-2020,15317082.615277177
09-05-2020,15146027.941556491
10-05-2020,15766376.147727845
11-05-2020,15389350.227520246
12-05-2020,15244241.657407181
13-05-2020,15828437.427760815
14-05-2020,15555964.252560446
15-05-2020,15827739.639285527
16-05-2020,15720036.009396212
17-05-2020,15636469.274436107
18-05-2020,16059011.11331004
19-05-2020,16122362.157141414
20-05-2020,16325772.50572771
21-05-2020,16116650.374358712
22-05-2020,16336498.282817824
23-05-2020,16396679.812070925
24-05-2020,16221238.390416665
25-05-2020,15514727.280333862
26-05-2020,16309245.77405726
27-05-2020,16823107.583694607
28-05-2020,16698912.493185569
29-05-2020,16774922.965633832
30-05-2020,16799633.20618996
31-05-2020,16570957.90111679
01-06-2020,16409966.487061653
02-06-2020,16542380.357507098
03-06-2020,16918116.5139163
04-06-2020,16607002.535440685
05-06-2020,16890201.48773117
06-06-2020,16793886.15235653
07-06-2020,16110957.221272193
08-06-2020,16778057.20916137
09-06-2020,16546821.006187582
10-06-2020,17207027.248989485
11-06-2020,17158842.63092871
12-06-2020,17336844.950483583
13-06-2020,17134097.11932185
14-06-2020,16908591.32882695
15-06-2020,17149926.06251701
16-06-2020,17163248.008558463
17-06-2020,17350829.413949605
18-06-2020,16713435.031227784
19-06-2020,17030834.13811302
20-06-2020,17114454.77382004
21-06-2020,16444220.542403316
22-06-2020,17128385.336539146
23-06-2020,16715942.028381485
24-06-2020,17313424.47372585
25-06-2020,17028291.869908586
26-06-2020,16832491.68458104
27-06-2020,16747599.91477181
28-06-2020,16186932.422669725
29-06-2020,16478958.771574268
30-06-2020,16823610.387220073
01-07-2020,17281731.3162848
02-07-2020,16835696.470210038
03-07-2020,16990922.200735565
04-07-2020,17006751.143930726
05-07-2020,16632340.022370653
06-07-2020,16835696.470210038
07-07-2020,17001039.361148022
08-07-2020,17128439.237286057
09-07-2020,16623458.725009682
10-07-2020,17001039.361148022
11-07-2020,16733669.352052698
12-07-2020,16339651.156041546
13-07-2020,16679199.605582299
14-07-2020,16624729.859111898
15-07-2020,17272276.673296906
16-07-2020,17022615.35817661
17-07-2020,16753974.214979075
18-07-2020,16775514.940956935
19-07-2020,16244642.225819854
20-07-2020,16596814.832926769
21-07-2020,16726721.706218509
22-07-2020,17177232.472024485
23-07-2020,16776786.075059157
24-07-2020,16978262.772118673
25-07-2020,16707723.248445082
26-07-2020,15673803.6725584
27-07-2020,17036545.920895725
28-07-2020,14974329.380107425
29-07-2020,15332965.459219249
30-07-2020,15398160.98277976
31-07-2020,16201506.873117216
01-08-2020,15632512.799584903
02-08-2020,16608238.398492174
03-08-2020,14682035.515809964
04-08-2020,14848130.095970148
05-08-2020,15759931.305419121
06-08-2020,15214411.609391456
07-08-2020,16005725.317485852
08-08-2020,15716814.582412668
09-08-2020,15025004.353967357
10-08-2020,15759896.034368394
11-08-2020,15291747.116688846
12-08-2020,15921477.435405001
13-08-2020,15722561.6362461
14-08-2020,16097600.004180007
15-08-2020,15545097.391267419
16-08-2020,15045273.945843004
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,15898665.575324921
12-09-2020,15862531.769203387
13-09-2020,14810814.327544035
14-09-2020,15971506.533194916
15-09-2020,16001928.556533748
16-09-2020,16830019.958478063
17-09-2020,16148308.26074903
18-09-2020,16403018.841227464
19-09-2020,16505010.688334074
20-09-2020,15463445.678137913
21-09-2020,16392203.892339714
22-09-2020,16084957.216917662
23-09-2020,16703388.412916781
24-09-2020,16226931.54350319
25-09-2020,16471489.69251843
26-09-2020,16165478.880147867
27-09-2020,15412162.087600326
28-09-2020,16077382.324709635
29-09-2020,15900615.868206248
30-09-2020,16024775.68766456
01-10-2020,14854504.396177413
02-10-2020,15088856.21298256
03-10-2020,15417697.515129386
04-10-2020,14459125.894266402
05-10-2020,15720538.812921679
06-10-2020,15306824.370661803
07-10-2020,16313615.880636286
08-10-2020,16226825.730351
09-10-2020,16541717.840082536
10-10-2020,16189456.061177978
11-10-2020,15386110.17084052
12-10-2020,16542988.974184752
13-10-2020,16383322.594978742
14-10-2020,17424314.259547982
15-10-2020,17193686.673251845
16-10-2020,17215227.39922971
17-10-2020,16940247.22687563
18-10-2020,16276925.370242374
19-10-2020,17210786.75054922
20-10-2020,17008038.91938749
21-10-2020,17620687.79050245
22-10-2020,17012409.025966514
23-10-2020,17276574.249432843
24-10-2020,16945190.67908158
25-10-2020,16181775.355817767
26-10-2020,16799508.763341594
27-10-2020,16791289.983405184
28-10-2020,17006123.89755689
29-10-2020,16727974.210624544
30-10-2020,16340222.513326835
31-10-2020,16349122.440383988
01-11-2020,16425168.18388298
02-11-2020,17039696.80577781
03-11-2020,17184770.104840145
04-11-2020,17483833.27137652
05-11-2020,16916128.961642608
06-11-2020,17203106.04518901
07-11-2020,17428665.736430828
08-11-2020,17261443.094712973
09-11-2020,16866708.480530344
10-11-2020,17248729.765349172
11-11-2020,18050839.79263514
12-11-2020,17873410.81870719
13-11-2020,18377066.29613444
14-11-2020,17230913.269880317
15-11-2020,16528341.993294168
16-11-2020,15525901.96020253
17-11-2020,16504832.344738796
18-11-2020,17489474.512057766
19-11-2020,17037727.883200303
20-11-2020,17279116.517637275
21-11-2020,17613042.35619297
22-11-2020,16878759.292469583
23-11-2020,17294318.2144586
24-11-2020,17123228.26968719
25-11-2020,16924885.81615521
26-11-2020,15679372.382796552
27-11-2020,17110568.841070294
28-11-2020,17076368.686475538
29-11-2020,16920534.33927236
30-11-2020,15913724.199601699
01-12-2020,16576491.340304213
02-12-2020,17234190.585952412
03-12-2020,16899028.88434523
04-12-2020,16931957.904837765
05-12-2020,16903434.261974983
06-12-2020,16918027.342118658
07-12-2020,16605642.22954083
08-12-2020,15501334.792190947
09-12-2020,17703645.908784904
10-12-2020,17268999.35722482
11-12-2020,17448308.081932638
12-12-2020,17036527.291199543
13-12-2020,17640365.40705499
14-12-2020,17431905.793110553
15-12-2020,17611877.035242934
16-12-2020,18057947.152368426
17-12-2020,17380640.832269147
18-12-2020,17808948.3546727
19-12-2020,17648673.358789034
20-12-2020,17480125.682222057
21-12-2020,17600488.740728263
22-12-2020,17458584.956244193
23-12-2020,17980665.54581795
24-12-2020,17513054.702714592
25-12-2020,17407839.440282803
26-12-2020,17367318.886227693
27-12-2020,17689821.15921798
28-12-2020,17424330.900902525
29-12-2020,17351489.943032533
30-12-2020,17814660.1374554
31-12-2020,17460464.70702406
