Date,Mobility
15-02-2020,32207536.668274168
16-02-2020,31523916.629179057
17-02-2020,31906400.990520187
18-02-2020,32335914.162577428
19-02-2020,31907526.278512307
20-02-2020,32010519.428228844
21-02-2020,29925372.969175905
22-02-2020,31794472.31251933
23-02-2020,30859359.99685156
24-02-2020,32694503.481804922
25-02-2020,31860861.48227717
26-02-2020,31767929.148837067
27-02-2020,32053808.360487625
28-02-2020,31953429.801236294
29-02-2020,32339654.041034754
01-03-2020,31593715.194016676
02-03-2020,32357558.628706817
03-03-2020,32495996.939286508
04-03-2020,32562055.6256668
05-03-2020,32408327.317880258
06-03-2020,31124686.499261416
07-03-2020,33709872.724171154
08-03-2020,35536478.226424605
09-03-2020,32830030.53619952
10-03-2020,23479897.96999173
11-03-2020,32060526.843891133
12-03-2020,32606833.860398673
13-03-2020,32657602.54957211
14-03-2020,31940754.39449465
15-03-2020,31720967.400327817
16-03-2020,31676553.180076912
17-03-2020,31436247.007772807
18-03-2020,31677678.468069028
19-03-2020,31405667.0133591
20-03-2020,30775430.253902636
21-03-2020,29682452.206406582
22-03-2020,21070879.3236125
23-03-2020,22146283.26681403
24-03-2020,20912285.849376507
25-03-2020,20339138.71691259
26-03-2020,20730592.137641467
27-03-2020,20987347.12624798
28-03-2020,21012697.939731263
29-03-2020,21881751.569018744
30-03-2020,21012697.939731263
31-03-2020,21031727.81539545
01-04-2020,20834677.04424669
02-04-2020,20471256.089673173
03-04-2020,20869030.44822116
04-04-2020,21082462.973465458
05-04-2020,21966806.599959794
06-04-2020,20762297.420047294
07-04-2020,21363443.487563137
08-04-2020,21404117.829356708
09-04-2020,21532528.8547634
10-04-2020,21654551.880144116
11-04-2020,21889628.871517807
12-04-2020,23043402.8933603
13-04-2020,21707901.62867933
14-04-2020,21883274.402595267
15-04-2020,22319108.512471613
16-04-2020,21520945.204910442
17-04-2020,21439596.521323293
18-04-2020,21633999.17090341
19-04-2020,22888151.751997232
20-04-2020,21330248.902684223
21-04-2020,21668319.04377445
22-04-2020,21909750.504070677
23-04-2020,22254208.64518687
24-04-2020,22294882.986980442
25-04-2020,22307558.393722087
26-04-2020,23561710.97481591
27-04-2020,22360908.142257303
28-04-2020,22645628.534812316
29-04-2020,22962054.209773153
30-04-2020,23143781.45261163
01-05-2020,23171780.387663554
02-05-2020,23729637.52292062
03-05-2020,24573306.807621382
04-05-2020,24647175.73429387
05-05-2020,25139007.71427407
06-05-2020,25455433.38923491
07-05-2020,25765538.12637664
08-05-2020,25765538.12637664
09-05-2020,25677868.504970383
10-05-2020,25441268.680020176
11-05-2020,25280060.61531897
12-05-2020,25677834.97386696
13-05-2020,25346085.770595837
14-05-2020,25884946.56129215
15-05-2020,26060319.33520809
16-05-2020,26483478.038342785
17-05-2020,26390545.704902682
18-05-2020,26376745.01016892
19-05-2020,26498768.03554964
20-05-2020,27168587.37991099
21-05-2020,27438017.77525915
22-05-2020,27262645.001343206
23-05-2020,27463402.119845863
24-05-2020,27188742.54356729
25-05-2020,26531996.151531987
26-05-2020,28233566.492355105
27-05-2020,28678369.661619198
28-05-2020,28684724.130541734
29-05-2020,27861176.478393845
30-05-2020,28660431.542843703
31-05-2020,27990612.19848236
01-06-2020,28884322.429948844
02-06-2020,29078725.07952896
03-06-2020,28997376.395941816
04-06-2020,29160073.763116106
05-06-2020,29667195.740303162
06-06-2020,29702640.901166316
07-06-2020,27796176.01779881
08-06-2020,30268341.80781901
09-06-2020,29880628.26554746
10-06-2020,30368720.367070336
11-06-2020,29833632.985934783
12-06-2020,29639196.805251237
13-06-2020,29886982.734469995
14-06-2020,28538374.98635956
15-06-2020,29973527.067884136
16-06-2020,30171669.59592158
17-06-2020,30199668.530973505
18-06-2020,30131028.785231438
19-06-2020,30011620.35031593
20-06-2020,30297432.499759626
21-06-2020,26508828.85182607
22-06-2020,30596317.60152937
23-06-2020,30317951.677896902
24-06-2020,30694081.57031549
25-06-2020,30497064.33027016
26-06-2020,29789185.23458045
27-06-2020,29864179.44924506
28-06-2020,28430516.670193575
29-06-2020,30100745.74309184
30-06-2020,29920143.788245488
01-07-2020,29651838.680889443
02-07-2020,30227633.93492201
03-07-2020,30171669.59592158
04-07-2020,29865304.737237178
05-07-2020,28181241.43850172
06-07-2020,29895884.731650885
07-07-2020,29996263.290902212
08-07-2020,29405178.0396628
09-07-2020,29492881.192172483
10-07-2020,29561554.469017982
11-07-2020,29151071.17262493
12-07-2020,27379338.252483215
13-07-2020,29057013.551192712
14-07-2020,29257770.669695366
15-07-2020,29088752.364701968
16-07-2020,29041757.08508929
17-07-2020,29101461.30254704
18-07-2020,29220869.73746255
19-07-2020,27984224.19845639
20-07-2020,29050692.613373604
21-07-2020,29405178.0396628
22-07-2020,29743248.18075303
23-07-2020,29208160.799617477
24-07-2020,28885380.6557341
25-07-2020,29148456.58215972
26-07-2020,27006914.707418527
27-07-2020,29304799.480411474
28-07-2020,29386148.16399862
29-07-2020,29623839.74583752
30-07-2020,29758571.70906331
31-07-2020,30180605.124205895
01-08-2020,28476420.192917567
02-08-2020,29059628.14165792
03-08-2020,26356886.79878673
04-08-2020,29412988.279955
05-08-2020,28628592.136024162
06-08-2020,28281586.466649618
07-08-2020,28692036.23193924
08-08-2020,28163269.788622793
09-08-2020,26952008.594203357
10-08-2020,28172238.84801054
11-08-2020,28388285.96372005
12-08-2020,27450559.057587065
13-08-2020,27332275.910663676
14-08-2020,28228203.187010966
15-08-2020,27323306.851275932
16-08-2020,25990022.631475773
17-08-2020,
18-08-2020,
19-08-2020,26954623.184668563
20-08-2020,
21-08-2020,28469634.647307195
22-08-2020,28071860.288759213
23-08-2020,26112045.656856492
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,27998355.3765677
29-08-2020,28247233.06267515
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,28090923.695526823
04-09-2020,28741713.16422399
05-09-2020,28306970.811236333
06-09-2020,26086694.8433732
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,28465928.299953297
11-09-2020,28487572.766082693
12-09-2020,27861042.353980128
13-09-2020,26129983.775631987
14-09-2020,29229771.734643437
15-09-2020,29073428.836391684
16-09-2020,29313735.008695792
17-09-2020,28772326.68974113
18-09-2020,29520880.12722441
19-09-2020,29227190.67528166
20-09-2020,26752807.84038065
21-09-2020,29711542.898347203
22-09-2020,29013758.150037356
23-09-2020,28710041.412921596
24-09-2020,28588051.91864431
25-09-2020,28776133.630405318
26-09-2020,28425354.55147002
27-09-2020,25963647.12331065
28-09-2020,28762299.404568125
29-09-2020,28145829.808741994
30-09-2020,27393502.96169795
01-10-2020,26127699.668544315
02-10-2020,25671710.395011675
03-10-2020,26374360.309770964
04-10-2020,24182083.27695976
05-10-2020,27072145.05808081
06-10-2020,26368005.840848427
07-10-2020,27355376.148162726
