Date,Mobility
15-02-2020,25043007.47162565
16-02-2020,24709141.220856536
17-02-2020,24855951.320603527
18-02-2020,25004064.96563741
19-02-2020,25178445.441638503
20-02-2020,25632134.365307838
21-02-2020,23740325.320221376
22-02-2020,25095401.781358376
23-02-2020,24119874.97497265
24-02-2020,25608086.56055267
25-02-2020,25560657.719807457
26-02-2020,25384585.634157743
27-02-2020,25362034.554005593
28-02-2020,25845845.411658898
29-02-2020,25055683.14664667
01-03-2020,24726060.063256048
02-03-2020,25437173.123206604
03-03-2020,24991001.22625465
04-03-2020,25260573.62099346
05-03-2020,24879859.773156997
06-03-2020,25681006.10354163
07-03-2020,25986581.382177092
08-03-2020,26563948.08176341
09-03-2020,24300245.760844756
10-03-2020,20015454.373413373
11-03-2020,26011988.26506306
12-03-2020,26137829.534348175
13-03-2020,26192775.40181077
14-03-2020,25126827.26062923
15-03-2020,24840917.267168757
16-03-2020,24067201.96083653
17-03-2020,24616749.572008714
18-03-2020,24505747.47111276
19-03-2020,24815953.981488433
20-03-2020,24919050.991305277
21-03-2020,22723248.91727363
22-03-2020,17828610.517858222
23-03-2020,19330273.907182734
24-03-2020,18309730.465579968
25-03-2020,17913982.564308733
26-03-2020,18412300.05883338
27-03-2020,18366367.942691185
28-03-2020,18250207.193491586
29-03-2020,18377491.360265285
30-03-2020,18463390.823279217
31-03-2020,18632224.586614937
01-04-2020,18328480.269829795
02-04-2020,18424975.73385441
03-04-2020,18967394.382670935
04-04-2020,18456013.148763534
05-04-2020,19023534.43546208
06-04-2020,18404783.032115992
07-04-2020,18930282.838533014
08-04-2020,19026390.238195896
09-04-2020,19426630.019005653
10-04-2020,19872413.851595875
11-04-2020,18772293.78836801
12-04-2020,19074485.84770623
13-04-2020,18850039.448142793
14-04-2020,18883823.30582739
15-04-2020,19315627.918109696
16-04-2020,19166986.85651239
17-04-2020,19580429.728906598
18-04-2020,19069575.911562618
19-04-2020,19300484.504716586
20-04-2020,19153395.700566206
21-04-2020,19400502.540240135
22-04-2020,19373320.228347763
23-04-2020,19165543.95902381
24-04-2020,19553247.41701423
25-04-2020,19068133.01407404
26-04-2020,19480023.629021324
27-04-2020,19533582.131839246
28-04-2020,19580041.66454487
29-04-2020,19909137.331372067
30-04-2020,19961143.576743066
01-05-2020,20115858.767569173
02-05-2020,19973431.187402364
03-05-2020,20049236.525368493
04-05-2020,19949134.67048716
05-05-2020,20298811.103414502
06-05-2020,20646656.57449153
07-05-2020,21099430.01723571
08-05-2020,21460866.644258924
09-05-2020,20872127.814938463
10-05-2020,21386727.375340857
11-05-2020,21272895.012311645
12-05-2020,21280412.039029032
13-05-2020,21498893.669322003
14-05-2020,21712604.71567307
15-05-2020,22222682.404293586
16-05-2020,21757760.703091804
17-05-2020,22646860.62990017
18-05-2020,22488011.631653916
19-05-2020,22637568.17417638
20-05-2020,23244141.326821513
21-05-2020,23328488.53238852
22-05-2020,23612567.56399868
23-05-2020,23024356.151241645
24-05-2020,23474661.855613746
25-05-2020,21952582.59299134
26-05-2020,23374560.00073241
27-05-2020,23697054.121767383
28-05-2020,23929514.972368278
29-05-2020,24090831.70898661
30-05-2020,23729007.017601665
31-05-2020,24599357.140160203
01-06-2020,24020075.659365784
02-06-2020,24111551.827288445
03-06-2020,24078295.386167277
04-06-2020,24596666.23022864
05-06-2020,24065619.71114625
06-06-2020,24472988.45431166
07-06-2020,24554867.92150659
08-06-2020,24453323.169136677
09-06-2020,24078822.802730702
10-06-2020,24828350.95210607
11-06-2020,24873755.651684843
12-06-2020,25028470.842510954
13-06-2020,24382567.119515847
14-06-2020,25000651.754096813
15-06-2020,24454238.65006183
16-06-2020,24525522.116246086
17-06-2020,24698987.111322016
18-06-2020,24602352.295095712
19-06-2020,24834425.081334874
20-06-2020,24440259.429753914
21-06-2020,22686330.552451834
22-06-2020,24945954.598794255
23-06-2020,24591119.51756327
24-06-2020,24848543.65384448
25-06-2020,24577528.361617085
26-06-2020,24835867.978823457
27-06-2020,24008982.234035034
28-06-2020,22831643.92759581
29-06-2020,24392303.17244528
30-06-2020,24218450.113007613
01-07-2020,24209629.541003335
02-07-2020,24189436.839264926
03-07-2020,24834952.497898296
04-07-2020,24312338.48645845
05-07-2020,23315454.785249118
06-07-2020,24331476.35507001
07-07-2020,24099930.985394273
08-07-2020,24149718.204553228
09-07-2020,24117765.308718942
10-07-2020,24724865.877927504
11-07-2020,23814020.9919338
12-07-2020,23947379.287936307
13-07-2020,24040407.713305894
14-07-2020,23408095.146256972
15-07-2020,24026428.492997974
16-07-2020,24181531.74818581
17-07-2020,24407530.40519617
18-07-2020,23638336.97064582
19-07-2020,24102094.47876241
20-07-2020,22954794.286949366
21-07-2020,23484925.325106602
22-07-2020,23995003.01372712
23-07-2020,24111163.762926716
24-07-2020,24478813.871380426
25-07-2020,23289964.083005365
26-07-2020,23830691.12217328
27-07-2020,23496685.51920247
28-07-2020,23077556.581941195
29-07-2020,23541702.15441951
30-07-2020,23820095.1211626
31-07-2020,24461367.61241748
01-08-2020,23337587.808796186
02-08-2020,25612717.792292885
03-08-2020,21341185.02928987
04-08-2020,23910462.628843978
05-08-2020,23744707.839801554
06-08-2020,23795798.6042474
07-08-2020,24124506.206712864
08-08-2020,23051956.5197391
09-08-2020,23302002.981504627
10-08-2020,23621030.06388458
11-08-2020,23194911.516469337
12-08-2020,22931273.898757625
13-08-2020,23278343.24111119
14-08-2020,23058030.6489679
15-08-2020,22794532.383457884
16-08-2020,23437968.368080907
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,22432180.275509514
23-08-2020,23153361.91990732
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,23246002.28091518
30-08-2020,23121409.024073042
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,23303167.17458982
06-09-2020,23986709.858286276
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,23814020.9919338
12-09-2020,22955182.3513111
13-09-2020,23405876.12004493
14-09-2020,23775078.48594556
15-09-2020,23181569.072683193
16-09-2020,24215176.253668714
17-09-2020,22915712.428759433
18-09-2020,24659517.188770358
19-09-2020,23993948.180600267
20-09-2020,24515786.063316654
21-09-2020,24117625.95651725
22-09-2020,23329543.365515374
23-09-2020,24270758.89765308
24-09-2020,24004902.25372932
25-09-2020,24767106.078125715
26-09-2020,23824447.648499426
27-09-2020,24464028.53010569
28-09-2020,23225252.170369986
29-09-2020,23148421.99152036
30-09-2020,23316867.690494347
01-10-2020,21560526.607664093
02-10-2020,22506707.60878931
03-10-2020,22169846.203084692
04-10-2020,22969161.571619015
05-10-2020,22589363.204707704
06-10-2020,21873091.49645351
07-10-2020,23260230.21338313
08-10-2020,23426566.24610341
09-10-2020,24388889.960904684
10-10-2020,22981170.47787492
11-10-2020,24032363.270025082
12-10-2020,23671702.77172533
13-10-2020,23407816.441853587
14-10-2020,24214121.420541864
15-10-2020,24484997.36056757
16-10-2020,24375298.8049585
17-10-2020,23916311.880783826
18-10-2020,24928562.166945744
19-10-2020,24226657.743361197
20-10-2020,23891487.94730519
21-10-2020,24142837.95435761
22-10-2020,23594872.592875704
23-10-2020,24403008.533414297
24-10-2020,23539399.30884968
25-10-2020,23778740.409646187
26-10-2020,23887384.132128406
27-10-2020,23285969.62778692
28-10-2020,23916978.649548944
29-10-2020,23567690.280983333
30-10-2020,20967683.963166837
31-10-2020,11924753.13683203
01-11-2020,11841460.764391871
02-11-2020,11789842.583382605
03-11-2020,12159851.070250053
04-11-2020,11958676.34671832
05-11-2020,11320289.650440605
06-11-2020,11011386.685351815
07-11-2020,10624210.64392482
08-11-2020,10695494.110109072
09-11-2020,10642433.031611223
10-11-2020,10733381.78297046
11-11-2020,11669966.083367946
12-11-2020,20087410.765735026
13-11-2020,24790767.52424863
14-11-2020,24248736.939793825
15-11-2020,21603240.3973113
16-11-2020,22164076.318859834
17-11-2020,23435581.703153286
18-11-2020,23800097.304469794
19-11-2020,23618199.80175132
20-11-2020,24120760.46365445
21-11-2020,23178102.03402816
22-11-2020,24242746.629922815
23-11-2020,23140463.07332681
24-11-2020,23084213.66057733
25-11-2020,23397166.613728475
26-11-2020,22533889.92068168
27-11-2020,24483500.63596455
28-11-2020,23997858.816460934
29-11-2020,24610645.450536557
30-11-2020,22313826.040698428
01-12-2020,23688955.85137214
02-12-2020,24274032.75699197
03-12-2020,24170408.33061171
04-12-2020,24983702.919453945
05-12-2020,24306373.717187986
06-12-2020,25255245.628244773
07-12-2020,23752722.290839013
08-12-2020,23209000.096735593
09-12-2020,24586597.645781394
10-12-2020,24662900.408067588
11-12-2020,24212734.055897187
12-12-2020,24679819.250467107
13-12-2020,25588833.17461049
14-12-2020,23831825.323015116
15-12-2020,24561688.1872155
16-12-2020,25115867.0301279
17-12-2020,24740839.247158505
18-12-2020,25489451.91560871
19-12-2020,24881963.28203842
20-12-2020,25501739.52626801
21-12-2020,24682231.455995277
22-12-2020,24217697.819155227
23-12-2020,24817281.3616464
24-12-2020,24727248.091212317
25-12-2020,24903180.824660335
26-12-2020,24740699.89495681
27-12-2020,25740801.92266113
28-12-2020,24611336.054172754
29-12-2020,23753024.830113478
30-12-2020,23777460.69923038
31-12-2020,24961012.487100102
