Date,Mobility
15-02-2020,27572149.38304264
16-02-2020,27103325.0440403
17-02-2020,27911869.67726471
18-02-2020,27684159.85839276
19-02-2020,27743824.117388107
20-02-2020,27579048.115821015
21-02-2020,25299951.50352873
22-02-2020,26940000.712260745
23-02-2020,26671957.402207777
24-02-2020,28015136.9857506
25-02-2020,27279721.00648282
26-02-2020,27289190.008240823
27-02-2020,27160419.034056015
28-02-2020,27166591.93194061
29-02-2020,27226256.190935966
01-03-2020,27337540.831392307
02-03-2020,27939131.537782755
03-03-2020,27693628.860150762
04-03-2020,27906755.684869338
05-03-2020,27026926.831774138
06-03-2020,25756456.592325754
07-03-2020,27982035.297943406
08-03-2020,28575608.672363386
09-03-2020,27141761.010007687
10-03-2020,20092236.059264433
11-03-2020,26177629.397506498
12-03-2020,27568853.279169235
13-03-2020,27549215.986323338
14-03-2020,26760308.64594482
15-03-2020,26854526.2625349
16-03-2020,27382262.480074935
17-03-2020,27121843.737694107
18-03-2020,27087290.38009937
19-03-2020,27149105.598212145
20-03-2020,26198718.360139944
21-03-2020,25346151.367562782
22-03-2020,18810505.47509996
23-03-2020,19913296.373406164
24-03-2020,18249614.478624962
25-03-2020,17991346.69536156
26-03-2020,18041541.952598903
27-03-2020,17897854.913665254
28-03-2020,18041541.952598903
29-03-2020,19434636.813911386
30-03-2020,18419837.543182883
31-03-2020,18312155.53163151
01-04-2020,18285619.50600724
02-04-2020,18188831.620437525
03-04-2020,18483104.431083206
04-04-2020,18618774.138046395
05-04-2020,19935137.716497265
06-04-2020,18546764.08328184
07-04-2020,19100337.03711626
08-04-2020,19015588.422284182
09-04-2020,19083576.538281564
10-04-2020,19077403.64039696
11-04-2020,19042124.447908457
12-04-2020,20079131.280462485
13-04-2020,18511484.890793335
14-04-2020,18579473.006790712
15-04-2020,18874471.652330164
16-04-2020,17827715.838550445
17-04-2020,17948469.480764795
18-04-2020,18154697.572704993
19-04-2020,19482681.1120313
20-04-2020,18341681.136097614
21-04-2020,18518802.933433913
22-04-2020,18519528.768327683
23-04-2020,18425311.151737604
24-04-2020,18737376.821143318
25-04-2020,18552237.69183656
26-04-2020,20180666.93969314
27-04-2020,19016007.732146386
28-04-2020,19087291.952017166
29-04-2020,19505921.03378217
30-04-2020,19314609.006590806
01-05-2020,19187682.466491852
02-05-2020,19564859.457883745
03-05-2020,20681167.84227902
04-05-2020,19854077.969836906
05-05-2020,20063908.690682076
06-05-2020,20361784.13023273
07-05-2020,20502900.900186747
08-05-2020,20426169.617325135
09-05-2020,20211924.193414472
10-05-2020,22022922.301598188
11-05-2020,20852090.196166825
12-05-2020,20964826.506410718
13-05-2020,21271445.1128256
14-05-2020,21221249.85558826
15-05-2020,21527142.62710937
16-05-2020,21548231.58974281
17-05-2020,22832918.60461015
18-05-2020,22164738.360882092
19-05-2020,22427334.607944235
20-05-2020,22945628.36929015
21-05-2020,22921969.137677077
22-05-2020,22724484.212601114
23-05-2020,22710293.98274605
24-05-2020,23909506.54788754
25-05-2020,22563703.604237307
26-05-2020,23406828.140620347
27-05-2020,23522134.719843864
28-05-2020,23172219.588970017
29-05-2020,23024929.92113139
30-05-2020,23354481.924265575
31-05-2020,24338723.230602633
01-06-2020,23755291.601706654
02-06-2020,23450124.66507931
03-06-2020,23609453.603655573
04-06-2020,23691631.94950802
05-06-2020,24582354.92858488
06-06-2020,24412131.864026956
07-06-2020,25390200.27247941
08-06-2020,24901712.095067285
09-06-2020,24561991.800845213
10-06-2020,24882800.63711516
11-06-2020,24900593.495875195
12-06-2020,24703108.57079923
13-06-2020,24467774.184255134
14-06-2020,25908494.033825323
15-06-2020,25063191.99276097
16-06-2020,24867158.73747255
17-06-2020,24832605.379877817
18-06-2020,24794030.083515912
19-06-2020,24511796.54360787
20-06-2020,24950788.75311254
21-06-2020,24911514.167420745
22-06-2020,25636402.23944129
23-06-2020,25013722.570417404
24-06-2020,25229419.664115604
25-06-2020,24752577.9931428
26-06-2020,24540177.003318
27-06-2020,24416853.092124015
28-06-2020,25218525.538133945
29-06-2020,24909003.592143968
30-06-2020,24936265.452662013
01-07-2020,25349447.471436188
02-07-2020,25305425.112083446
03-07-2020,25226123.560242206
04-07-2020,25423608.48531817
05-07-2020,26457319.213998795
06-07-2020,25977574.203450903
07-07-2020,25652044.139083896
08-07-2020,25500033.24314821
09-07-2020,25623663.679373764
10-07-2020,25467630.844670907
11-07-2020,24935146.85346993
12-07-2020,25245787.398651987
13-07-2020,25262521.351922795
14-07-2020,24928248.120691556
15-07-2020,25229419.664115604
16-07-2020,25150118.11227436
17-07-2020,25114838.919785857
18-07-2020,24979895.047716442
19-07-2020,25274893.69325589
20-07-2020,25347995.80164864
21-07-2020,23867302.07705677
22-07-2020,25173777.343887433
23-07-2020,25179224.406878263
24-07-2020,24987912.3796869
25-07-2020,24808220.313370973
26-07-2020,25062492.703431085
27-07-2020,25257074.288931966
28-07-2020,24931544.22456496
29-07-2020,24996655.54655114
30-07-2020,25411262.689548958
31-07-2020,25460732.111892533
01-08-2020,24774366.245106123
02-08-2020,26179081.067294046
03-08-2020,22941246.814363632
04-08-2020,24803891.84957223
05-08-2020,25020314.77816421
06-08-2020,24714422.006643094
07-08-2020,24731908.340371564
08-08-2020,24417272.40198622
09-08-2020,25260396.938369256
10-08-2020,25113080.724966742
11-08-2020,24963946.623042263
12-08-2020,23951324.856995076
13-08-2020,24667522.85327916
14-08-2020,24808639.62323318
15-08-2020,23828420.255663294
16-08-2020,25174922.488643408
17-08-2020,25051265.506853968
18-08-2020,24852661.98258592
19-08-2020,24767913.367753845
20-08-2020,24044117.349361494
21-08-2020,24793723.55848434
22-08-2020,24367077.144748878
23-08-2020,24847940.754488856
24-08-2020,25021433.37735629
25-08-2020,24702076.21087389
26-08-2020,24887941.17507442
27-08-2020,24580903.258797336
28-08-2020,24374675.16685714
29-08-2020,24690762.77503002
30-08-2020,24561685.275813643
31-08-2020,25512045.968321964
01-09-2020,25162856.672341887
02-09-2020,25302548.31807225
03-09-2020,24420875.03089119
04-09-2020,24732214.86540313
05-09-2020,24599841.262313347
06-09-2020,24723891.008401103
07-09-2020,25362186.031503707
08-09-2020,24875176.06944301
09-09-2020,25146515.483369395
10-09-2020,24925371.326680355
