Date,Mobility
15-02-2020,28369203.647614375
16-02-2020,27588135.918553714
17-02-2020,27146671.000968274
18-02-2020,28260240.56298138
19-02-2020,28188906.343337286
20-02-2020,27906532.80510407
21-02-2020,27059626.31825032
22-02-2020,27182694.34928541
23-02-2020,26852808.189888783
24-02-2020,28729798.25616855
25-02-2020,28889484.995308504
26-02-2020,28292638.08085865
27-02-2020,28169272.3699297
28-02-2020,28815866.347156953
29-02-2020,28675482.336376227
01-03-2020,28089743.462830838
02-03-2020,28208209.07169652
03-03-2020,28515795.59723628
04-03-2020,28755640.16841732
05-03-2020,28330895.870789785
06-03-2020,29363297.443877753
07-03-2020,29125737.301204175
08-03-2020,28750408.821305685
09-03-2020,27425716.3886555
10-03-2020,22061790.496917367
11-03-2020,26315474.977188386
12-03-2020,28308646.22382638
13-03-2020,28883905.981409546
14-03-2020,28307967.3119907
15-03-2020,27020010.704647824
16-03-2020,27367510.52368395
17-03-2020,28094643.56489411
18-03-2020,28029517.2840912
19-03-2020,28299474.944642056
20-03-2020,28488595.86131614
21-03-2020,27807286.372549668
22-03-2020,21241686.092302967
23-03-2020,22538516.2989363
24-03-2020,21510633.59596978
25-03-2020,21471017.98236728
26-03-2020,21338149.747205645
27-03-2020,22285493.38618926
28-03-2020,21823120.223572817
29-03-2020,22212553.649873395
30-03-2020,22036146.290775537
31-03-2020,22081969.843219224
01-04-2020,22015535.7256384
02-04-2020,21927183.20614254
03-04-2020,22296303.74719985
04-04-2020,22492311.5145508
05-04-2020,22714542.426092338
06-04-2020,22850919.374491382
07-04-2020,24259626.019207396
08-04-2020,24324073.38817462
09-04-2020,24300168.237645984
10-04-2020,24498791.67855275
11-04-2020,24254344.685202304
12-04-2020,24782854.285505697
13-04-2020,24454954.874722663
14-04-2020,24511886.468070798
15-04-2020,25384601.302018818
16-04-2020,25160764.87380551
17-04-2020,25499772.325492997
18-04-2020,25534785.516926087
19-04-2020,25456945.678546954
20-04-2020,26289713.653844118
21-04-2020,26299216.1780768
22-04-2020,26182058.40598903
23-04-2020,26576689.614246745
24-04-2020,26462826.427550472
